Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.833149,0.166851
2022-01-03T00:00:00Z,99.86763,0.13237
2022-01-10T00:00:00Z,99.765151,0.234849
2022-01-17T00:00:00Z,99.832994,0.167006
2022-01-24T00:00:00Z,99.856527,0.143473
2022-01-31T00:00:00Z,99.877276,0.122724
2022-02-07T00:00:00Z,99.797515,0.202485
2022-02-14T00:00:00Z,99.857852,0.142148
2022-02-21T00:00:00Z,99.734508,0.265492
2022-02-28T00:00:00Z,99.830877,0.169123
2022-03-07T00:00:00Z,99.810477,0.189523
2022-03-14T00:00:00Z,99.87262,0.12738
2022-03-21T00:00:00Z,99.861376,0.138624
2022-03-28T00:00:00Z,99.860317,0.139683
2022-04-04T00:00:00Z,99.887304,0.112696
2022-04-11T00:00:00Z,99.774528,0.225472
2022-04-18T00:00:00Z,99.509533,0.490467
2022-04-25T00:00:00Z,99.864181,0.135819
2022-05-02T00:00:00Z,99.839118,0.160882
2022-05-09T00:00:00Z,99.87286,0.12714
2022-05-16T00:00:00Z,99.772081,0.227919
2022-05-23T00:00:00Z,99.840794,0.159206
2022-05-30T00:00:00Z,99.588724,0.411276
2022-06-06T00:00:00Z,99.891239,0.108761
2022-06-13T00:00:00Z,99.905462,0.094538
2022-06-20T00:00:00Z,99.845652,0.154348
2022-06-27T00:00:00Z,99.864949,0.135051
2022-07-04T00:00:00Z,99.789348,0.210652
2022-07-11T00:00:00Z,99.794571,0.205429
2022-07-18T00:00:00Z,99.795964,0.204036
2022-07-25T00:00:00Z,99.644893,0.355107
2022-08-01T00:00:00Z,99.801834,0.198166
2022-08-08T00:00:00Z,99.812809,0.187191
2022-08-15T00:00:00Z,99.77898,0.22102
2022-08-22T00:00:00Z,99.808569,0.191431
2022-08-29T00:00:00Z,99.598394,0.401606
2022-09-05T00:00:00Z,99.787926,0.212074
2022-09-12T00:00:00Z,99.857884,0.142116
2022-09-19T00:00:00Z,99.70882,0.29118
2022-09-26T00:00:00Z,99.848253,0.151747
2022-10-03T00:00:00Z,99.74372,0.25628
2022-10-10T00:00:00Z,99.770231,0.229769
2022-10-17T00:00:00Z,99.717821,0.282179
2022-10-24T00:00:00Z,99.805677,0.194323
2022-10-31T00:00:00Z,99.751584,0.248416
2022-11-07T00:00:00Z,99.715952,0.284048
2022-11-14T00:00:00Z,99.671302,0.328698
2022-11-21T00:00:00Z,99.714792,0.285208
2022-11-28T00:00:00Z,99.705236,0.294764
2022-12-05T00:00:00Z,99.653819,0.346181
2022-12-12T00:00:00Z,99.740025,0.259975
2022-12-19T00:00:00Z,99.757997,0.242003
2022-12-26T00:00:00Z,99.498593,0.501407
