Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,86.769309,13.230691
2022-01-03T00:00:00Z,88.677503,11.322497
2022-01-10T00:00:00Z,90.45608,9.54392
2022-01-17T00:00:00Z,89.599061,10.400939
2022-01-24T00:00:00Z,90.159701,9.840299
2022-01-31T00:00:00Z,89.249681,10.750319
2022-02-07T00:00:00Z,88.24612,11.75388
2022-02-14T00:00:00Z,90.024422,9.975578
2022-02-21T00:00:00Z,89.222391,10.777609
2022-02-28T00:00:00Z,90.463517,9.536483
2022-03-07T00:00:00Z,91.005056,8.994944
2022-03-14T00:00:00Z,90.913401,9.086599
2022-03-21T00:00:00Z,91.552619,8.447381
2022-03-28T00:00:00Z,89.243477,10.756523
2022-04-04T00:00:00Z,90.333365,9.666635
2022-04-11T00:00:00Z,89.633536,10.366464
2022-04-18T00:00:00Z,87.443321,12.556679
2022-04-25T00:00:00Z,88.04849,11.95151
2022-05-02T00:00:00Z,89.729865,10.270135
2022-05-09T00:00:00Z,88.828092,11.171908
2022-05-16T00:00:00Z,87.956548,12.043452
2022-05-23T00:00:00Z,89.090157,10.909843
2022-05-30T00:00:00Z,86.037856,13.962144
2022-06-06T00:00:00Z,88.817653,11.182347
2022-06-13T00:00:00Z,90.185298,9.814702
2022-06-20T00:00:00Z,88.860323,11.139677
2022-06-27T00:00:00Z,89.11729,10.88271
2022-07-04T00:00:00Z,89.494467,10.505533
2022-07-11T00:00:00Z,88.950018,11.049982
2022-07-18T00:00:00Z,86.744252,13.255748
2022-07-25T00:00:00Z,88.275632,11.724368
2022-08-01T00:00:00Z,88.144317,11.855683
2022-08-08T00:00:00Z,88.492701,11.507299
2022-08-15T00:00:00Z,88.272419,11.727581
2022-08-22T00:00:00Z,85.643234,14.356766
2022-08-29T00:00:00Z,88.887625,11.112375
2022-09-05T00:00:00Z,89.930823,10.069177
2022-09-12T00:00:00Z,90.621566,9.378434
2022-09-19T00:00:00Z,91.157121,8.842879
2022-09-26T00:00:00Z,91.30326,8.69674
2022-10-03T00:00:00Z,88.061001,11.938999
2022-10-10T00:00:00Z,88.917135,11.082865
2022-10-17T00:00:00Z,88.872197,11.127803
2022-10-24T00:00:00Z,90.046388,9.953612
2022-10-31T00:00:00Z,91.3343,8.6657
2022-11-07T00:00:00Z,90.250138,9.749862
2022-11-14T00:00:00Z,91.174092,8.825908
2022-11-21T00:00:00Z,90.819275,9.180725
2022-11-28T00:00:00Z,90.320809,9.679191
2022-12-05T00:00:00Z,90.04929,9.95071
2022-12-12T00:00:00Z,89.425913,10.574087
2022-12-19T00:00:00Z,89.625317,10.374683
2022-12-26T00:00:00Z,90.247883,9.752117
