Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,100.0,0.0
2022-01-03T00:00:00Z,53.625954,46.374046
2022-01-10T00:00:00Z,40.153097,59.846903
2022-01-17T00:00:00Z,68.035191,31.964809
2022-01-24T00:00:00Z,74.534932,25.465068
2022-01-31T00:00:00Z,78.92562,21.07438
2022-02-07T00:00:00Z,70.303867,29.696133
2022-02-14T00:00:00Z,80.702875,19.297125
2022-02-21T00:00:00Z,58.641161,41.358839
2022-02-28T00:00:00Z,67.650531,32.349469
2022-03-07T00:00:00Z,61.566938,38.433062
2022-03-14T00:00:00Z,69.943995,30.056005
2022-03-21T00:00:00Z,51.58371,48.41629
2022-03-28T00:00:00Z,71.345339,28.654661
2022-04-04T00:00:00Z,72.679875,27.320125
2022-04-11T00:00:00Z,79.419703,20.580297
2022-04-18T00:00:00Z,47.231013,52.768987
2022-04-25T00:00:00Z,71.15629,28.84371
2022-05-02T00:00:00Z,61.19403,38.80597
2022-05-09T00:00:00Z,65.619335,34.380665
2022-05-16T00:00:00Z,81.024511,18.975489
2022-05-23T00:00:00Z,66.841854,33.158146
2022-05-30T00:00:00Z,59.52381,40.47619
2022-06-06T00:00:00Z,27.412437,72.587563
2022-06-13T00:00:00Z,64.35683,35.64317
2022-06-20T00:00:00Z,79.258242,20.741758
2022-06-27T00:00:00Z,46.309315,53.690685
2022-07-04T00:00:00Z,26.393322,73.606678
2022-07-11T00:00:00Z,59.941306,40.058694
2022-07-18T00:00:00Z,53.922052,46.077948
2022-07-25T00:00:00Z,56.100758,43.899242
2022-08-01T00:00:00Z,84.679878,15.320122
2022-08-08T00:00:00Z,57.757644,42.242356
2022-08-15T00:00:00Z,55.529037,44.470963
2022-08-22T00:00:00Z,58.736349,41.263651
2022-08-29T00:00:00Z,67.177522,32.822478
2022-09-05T00:00:00Z,54.705432,45.294568
2022-09-12T00:00:00Z,46.762208,53.237792
2022-09-19T00:00:00Z,57.47407,42.52593
2022-09-26T00:00:00Z,66.070327,33.929673
2022-10-03T00:00:00Z,69.815951,30.184049
2022-10-10T00:00:00Z,74.534987,25.465013
2022-10-17T00:00:00Z,71.538462,28.461538
2022-10-24T00:00:00Z,86.324786,13.675214
2022-10-31T00:00:00Z,85.756787,14.243213
2022-11-07T00:00:00Z,77.493713,22.506287
2022-11-14T00:00:00Z,65.750916,34.249084
2022-11-21T00:00:00Z,74.904943,25.095057
2022-11-28T00:00:00Z,91.017624,8.982376
2022-12-05T00:00:00Z,62.513369,37.486631
2022-12-12T00:00:00Z,83.356354,16.643646
2022-12-19T00:00:00Z,72.305046,27.694954
2022-12-26T00:00:00Z,65.878877,34.121123
