Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.720217,0.279783
2022-01-03T00:00:00Z,99.777438,0.222562
2022-01-10T00:00:00Z,99.540661,0.459339
2022-01-17T00:00:00Z,99.822252,0.177748
2022-01-24T00:00:00Z,99.517957,0.482043
2022-01-31T00:00:00Z,98.547128,1.452872
2022-02-07T00:00:00Z,99.585524,0.414476
2022-02-14T00:00:00Z,99.544697,0.455303
2022-02-21T00:00:00Z,99.669838,0.330162
2022-02-28T00:00:00Z,97.285737,2.714263
2022-03-07T00:00:00Z,94.454036,5.545964
2022-03-14T00:00:00Z,94.710747,5.289253
2022-03-21T00:00:00Z,95.490046,4.509954
2022-03-28T00:00:00Z,96.693496,3.306504
2022-04-04T00:00:00Z,95.404683,4.595317
2022-04-11T00:00:00Z,94.554596,5.445404
2022-04-18T00:00:00Z,93.712991,6.287009
2022-04-25T00:00:00Z,95.483586,4.516414
2022-05-02T00:00:00Z,93.920924,6.079076
2022-05-09T00:00:00Z,94.812048,5.187952
2022-05-16T00:00:00Z,92.455682,7.544318
2022-05-23T00:00:00Z,95.340936,4.659064
2022-05-30T00:00:00Z,95.475187,4.524813
2022-06-06T00:00:00Z,93.724496,6.275504
2022-06-13T00:00:00Z,92.98007,7.01993
2022-06-20T00:00:00Z,95.057971,4.942029
2022-06-27T00:00:00Z,94.323033,5.676967
2022-07-04T00:00:00Z,94.561325,5.438675
2022-07-11T00:00:00Z,93.901993,6.098007
2022-07-18T00:00:00Z,94.92673,5.07327
2022-07-25T00:00:00Z,94.488283,5.511717
2022-08-01T00:00:00Z,95.030654,4.969346
2022-08-08T00:00:00Z,93.843613,6.156387
2022-08-15T00:00:00Z,91.902185,8.097815
2022-08-22T00:00:00Z,95.116382,4.883618
2022-08-29T00:00:00Z,93.635123,6.364877
2022-09-05T00:00:00Z,93.740603,6.259397
2022-09-12T00:00:00Z,95.215142,4.784858
2022-09-19T00:00:00Z,93.897151,6.102849
2022-09-26T00:00:00Z,94.040808,5.959192
2022-10-03T00:00:00Z,93.972738,6.027262
2022-10-10T00:00:00Z,94.579886,5.420114
2022-10-17T00:00:00Z,93.290716,6.709284
2022-10-24T00:00:00Z,92.971891,7.028109
2022-10-31T00:00:00Z,94.281435,5.718565
2022-11-07T00:00:00Z,93.680453,6.319547
2022-11-14T00:00:00Z,93.46192,6.53808
2022-11-21T00:00:00Z,92.242894,7.757106
2022-11-28T00:00:00Z,92.169981,7.830019
2022-12-05T00:00:00Z,91.129242,8.870758
2022-12-12T00:00:00Z,92.2355,7.7645
2022-12-19T00:00:00Z,91.008641,8.991359
2022-12-26T00:00:00Z,91.930082,8.069918
