Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,97.728758,2.271242
2022-01-03T00:00:00Z,97.629128,2.370872
2022-01-10T00:00:00Z,97.396394,2.603606
2022-01-17T00:00:00Z,97.226698,2.773302
2022-01-24T00:00:00Z,97.224153,2.775847
2022-01-31T00:00:00Z,97.290369,2.709631
2022-02-07T00:00:00Z,97.325743,2.674257
2022-02-14T00:00:00Z,97.498978,2.501022
2022-02-21T00:00:00Z,97.512727,2.487273
2022-02-28T00:00:00Z,97.297826,2.702174
2022-03-07T00:00:00Z,97.387679,2.612321
2022-03-14T00:00:00Z,97.342738,2.657262
2022-03-21T00:00:00Z,97.015708,2.984292
2022-03-28T00:00:00Z,97.272638,2.727362
2022-04-04T00:00:00Z,97.438559,2.561441
2022-04-11T00:00:00Z,97.271129,2.728871
2022-04-18T00:00:00Z,97.327469,2.672531
2022-04-25T00:00:00Z,97.546403,2.453597
2022-05-02T00:00:00Z,97.600107,2.399893
2022-05-09T00:00:00Z,97.45762,2.54238
2022-05-16T00:00:00Z,97.452539,2.547461
2022-05-23T00:00:00Z,97.654704,2.345296
2022-05-30T00:00:00Z,97.260114,2.739886
2022-06-06T00:00:00Z,97.233615,2.766385
2022-06-13T00:00:00Z,97.269405,2.730595
2022-06-20T00:00:00Z,97.289528,2.710472
2022-06-27T00:00:00Z,97.338164,2.661836
2022-07-04T00:00:00Z,97.246727,2.753273
2022-07-11T00:00:00Z,97.586688,2.413312
2022-07-18T00:00:00Z,97.357314,2.642686
2022-07-25T00:00:00Z,97.471225,2.528775
2022-08-01T00:00:00Z,97.523747,2.476253
2022-08-08T00:00:00Z,97.392413,2.607587
2022-08-15T00:00:00Z,97.48418,2.51582
2022-08-22T00:00:00Z,97.342884,2.657116
2022-08-29T00:00:00Z,97.257893,2.742107
2022-09-05T00:00:00Z,97.410932,2.589068
2022-09-12T00:00:00Z,97.213992,2.786008
2022-09-19T00:00:00Z,97.255579,2.744421
2022-09-26T00:00:00Z,97.269166,2.730834
2022-10-03T00:00:00Z,97.283567,2.716433
2022-10-10T00:00:00Z,97.375317,2.624683
2022-10-17T00:00:00Z,97.325902,2.674098
2022-10-24T00:00:00Z,97.326181,2.673819
2022-10-31T00:00:00Z,97.231369,2.768631
2022-11-07T00:00:00Z,97.129882,2.870118
2022-11-14T00:00:00Z,97.08349,2.91651
2022-11-21T00:00:00Z,96.879253,3.120747
2022-11-28T00:00:00Z,96.477077,3.522923
2022-12-05T00:00:00Z,96.464482,3.535518
2022-12-12T00:00:00Z,96.354408,3.645592
2022-12-19T00:00:00Z,96.431959,3.568041
2022-12-26T00:00:00Z,96.32409,3.67591
