Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,69.503753,30.496247
2022-01-03T00:00:00Z,69.560182,30.439818
2022-01-10T00:00:00Z,71.225897,28.774103
2022-01-17T00:00:00Z,71.302114,28.697886
2022-01-24T00:00:00Z,71.264515,28.735485
2022-01-31T00:00:00Z,71.583434,28.416566
2022-02-07T00:00:00Z,72.279038,27.720962
2022-02-14T00:00:00Z,72.715123,27.284877
2022-02-21T00:00:00Z,72.015446,27.984554
2022-02-28T00:00:00Z,70.901616,29.098384
2022-03-07T00:00:00Z,71.349373,28.650627
2022-03-14T00:00:00Z,72.817508,27.182492
2022-03-21T00:00:00Z,71.864641,28.135359
2022-03-28T00:00:00Z,71.757373,28.242627
2022-04-04T00:00:00Z,72.500747,27.499253
2022-04-11T00:00:00Z,71.713589,28.286411
2022-04-18T00:00:00Z,72.901157,27.098843
2022-04-25T00:00:00Z,73.418972,26.581028
2022-05-02T00:00:00Z,73.999015,26.000985
2022-05-09T00:00:00Z,73.744822,26.255178
2022-05-16T00:00:00Z,74.169776,25.830224
2022-05-23T00:00:00Z,74.018596,25.981404
2022-05-30T00:00:00Z,74.365981,25.634019
2022-06-06T00:00:00Z,74.638719,25.361281
2022-06-13T00:00:00Z,74.950302,25.049698
2022-06-20T00:00:00Z,73.505355,26.494645
2022-06-27T00:00:00Z,74.980071,25.019929
2022-07-04T00:00:00Z,75.894196,24.105804
2022-07-11T00:00:00Z,76.598483,23.401517
2022-07-18T00:00:00Z,75.569094,24.430906
2022-07-25T00:00:00Z,75.106819,24.893181
2022-08-01T00:00:00Z,76.510998,23.489002
2022-08-08T00:00:00Z,75.629212,24.370788
2022-08-15T00:00:00Z,75.780613,24.219387
2022-08-22T00:00:00Z,74.018664,25.981336
2022-08-29T00:00:00Z,74.927198,25.072802
2022-09-05T00:00:00Z,74.14577,25.85423
2022-09-12T00:00:00Z,74.945447,25.054553
2022-09-19T00:00:00Z,77.311015,22.688985
2022-09-26T00:00:00Z,76.123235,23.876765
2022-10-03T00:00:00Z,75.340162,24.659838
2022-10-10T00:00:00Z,76.144945,23.855055
2022-10-17T00:00:00Z,76.442309,23.557691
2022-10-24T00:00:00Z,75.711018,24.288982
2022-10-31T00:00:00Z,75.808825,24.191175
2022-11-07T00:00:00Z,77.005503,22.994497
2022-11-14T00:00:00Z,76.375179,23.624821
2022-11-21T00:00:00Z,77.487477,22.512523
2022-11-28T00:00:00Z,77.956082,22.043918
2022-12-05T00:00:00Z,77.346031,22.653969
2022-12-12T00:00:00Z,76.161305,23.838695
2022-12-19T00:00:00Z,76.427996,23.572004
2022-12-26T00:00:00Z,75.909589,24.090411
