Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.941226,0.058774
2022-01-03T00:00:00Z,99.982531,0.017469
2022-01-10T00:00:00Z,99.482795,0.517205
2022-01-17T00:00:00Z,99.655695,0.344305
2022-01-24T00:00:00Z,99.781036,0.218964
2022-01-31T00:00:00Z,99.717958,0.282042
2022-02-07T00:00:00Z,99.747676,0.252324
2022-02-14T00:00:00Z,99.923061,0.076939
2022-02-21T00:00:00Z,99.910944,0.089056
2022-02-28T00:00:00Z,99.949068,0.050932
2022-03-07T00:00:00Z,99.960778,0.039222
2022-03-14T00:00:00Z,99.989425,0.010575
2022-03-21T00:00:00Z,99.944475,0.055525
2022-03-28T00:00:00Z,99.646437,0.353563
2022-04-04T00:00:00Z,99.986307,0.013693
2022-04-11T00:00:00Z,99.903105,0.096895
2022-04-18T00:00:00Z,99.959573,0.040427
2022-04-25T00:00:00Z,99.510718,0.489282
2022-05-02T00:00:00Z,99.958783,0.041217
2022-05-09T00:00:00Z,99.992699,0.007301
2022-05-16T00:00:00Z,99.950716,0.049284
2022-05-23T00:00:00Z,99.952201,0.047799
2022-05-30T00:00:00Z,99.739164,0.260836
2022-06-06T00:00:00Z,99.967787,0.032213
2022-06-13T00:00:00Z,100.0,0.0
2022-06-20T00:00:00Z,99.825109,0.174891
2022-06-27T00:00:00Z,99.933975,0.066025
2022-07-04T00:00:00Z,99.92449,0.07551
2022-07-11T00:00:00Z,99.996537,0.003463
2022-07-18T00:00:00Z,99.980813,0.019187
2022-07-25T00:00:00Z,99.82904,0.17096
2022-08-01T00:00:00Z,99.934794,0.065206
2022-08-08T00:00:00Z,100.0,0.0
2022-08-15T00:00:00Z,98.427698,1.572302
2022-08-22T00:00:00Z,99.968203,0.031797
2022-08-29T00:00:00Z,99.795966,0.204034
2022-09-05T00:00:00Z,99.968812,0.031188
2022-09-12T00:00:00Z,99.872434,0.127566
2022-09-19T00:00:00Z,99.6773,0.3227
2022-09-26T00:00:00Z,99.834608,0.165392
2022-10-03T00:00:00Z,99.960043,0.039957
2022-10-10T00:00:00Z,99.988794,0.011206
2022-10-17T00:00:00Z,99.793543,0.206457
2022-10-24T00:00:00Z,99.840281,0.159719
2022-10-31T00:00:00Z,99.968978,0.031022
2022-11-07T00:00:00Z,99.931348,0.068652
2022-11-14T00:00:00Z,99.951759,0.048241
2022-11-21T00:00:00Z,99.997666,0.002334
2022-11-28T00:00:00Z,99.963906,0.036094
2022-12-05T00:00:00Z,99.573458,0.426542
2022-12-12T00:00:00Z,99.96178,0.03822
2022-12-19T00:00:00Z,99.963567,0.036433
2022-12-26T00:00:00Z,99.919977,0.080023
