Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.937143,0.062857
2022-01-03T00:00:00Z,99.949616,0.050384
2022-01-10T00:00:00Z,99.954915,0.045085
2022-01-17T00:00:00Z,99.961873,0.038127
2022-01-24T00:00:00Z,99.949313,0.050687
2022-01-31T00:00:00Z,99.972951,0.027049
2022-02-07T00:00:00Z,99.96765,0.03235
2022-02-14T00:00:00Z,99.921134,0.078866
2022-02-21T00:00:00Z,99.963398,0.036602
2022-02-28T00:00:00Z,99.952857,0.047143
2022-03-07T00:00:00Z,99.936855,0.063145
2022-03-14T00:00:00Z,99.959481,0.040519
2022-03-21T00:00:00Z,99.948745,0.051255
2022-03-28T00:00:00Z,99.93452,0.06548
2022-04-04T00:00:00Z,99.864285,0.135715
2022-04-11T00:00:00Z,99.934307,0.065693
2022-04-18T00:00:00Z,99.895495,0.104505
2022-04-25T00:00:00Z,99.896371,0.103629
2022-05-02T00:00:00Z,99.902133,0.097867
2022-05-09T00:00:00Z,99.932616,0.067384
2022-05-16T00:00:00Z,99.947294,0.052706
2022-05-23T00:00:00Z,99.902438,0.097562
2022-05-30T00:00:00Z,99.871801,0.128199
2022-06-06T00:00:00Z,99.925117,0.074883
2022-06-13T00:00:00Z,99.93064,0.06936
2022-06-20T00:00:00Z,99.925367,0.074633
2022-06-27T00:00:00Z,99.918787,0.081213
2022-07-04T00:00:00Z,99.903766,0.096234
2022-07-11T00:00:00Z,99.872638,0.127362
2022-07-18T00:00:00Z,99.883009,0.116991
2022-07-25T00:00:00Z,99.815969,0.184031
2022-08-01T00:00:00Z,99.861927,0.138073
2022-08-08T00:00:00Z,99.832415,0.167585
2022-08-15T00:00:00Z,99.862851,0.137149
2022-08-22T00:00:00Z,99.827759,0.172241
2022-08-29T00:00:00Z,99.861903,0.138097
2022-09-05T00:00:00Z,99.837636,0.162364
2022-09-12T00:00:00Z,99.863664,0.136336
2022-09-19T00:00:00Z,99.870121,0.129879
2022-09-26T00:00:00Z,99.874501,0.125499
2022-10-03T00:00:00Z,99.889358,0.110642
2022-10-10T00:00:00Z,99.915976,0.084024
2022-10-17T00:00:00Z,99.866969,0.133031
2022-10-24T00:00:00Z,99.863659,0.136341
2022-10-31T00:00:00Z,99.849781,0.150219
2022-11-07T00:00:00Z,99.844372,0.155628
2022-11-14T00:00:00Z,99.896155,0.103845
2022-11-21T00:00:00Z,99.877657,0.122343
2022-11-28T00:00:00Z,99.897823,0.102177
2022-12-05T00:00:00Z,99.910076,0.089924
2022-12-12T00:00:00Z,99.884851,0.115149
2022-12-19T00:00:00Z,99.89862,0.10138
2022-12-26T00:00:00Z,99.911959,0.088041
