Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,78.118047,21.881953
2022-01-03T00:00:00Z,78.574822,21.425178
2022-01-10T00:00:00Z,78.28666,21.71334
2022-01-17T00:00:00Z,78.404729,21.595271
2022-01-24T00:00:00Z,79.181641,20.818359
2022-01-31T00:00:00Z,78.156702,21.843298
2022-02-07T00:00:00Z,77.318005,22.681995
2022-02-14T00:00:00Z,76.882961,23.117039
2022-02-21T00:00:00Z,79.652409,20.347591
2022-02-28T00:00:00Z,79.417068,20.582932
2022-03-07T00:00:00Z,79.30804,20.69196
2022-03-14T00:00:00Z,79.905944,20.094056
2022-03-21T00:00:00Z,80.61438,19.38562
2022-03-28T00:00:00Z,80.614311,19.385689
2022-04-04T00:00:00Z,80.87984,19.12016
2022-04-11T00:00:00Z,81.143413,18.856587
2022-04-18T00:00:00Z,81.055986,18.944014
2022-04-25T00:00:00Z,81.726192,18.273808
2022-05-02T00:00:00Z,81.807829,18.192171
2022-05-09T00:00:00Z,81.640116,18.359884
2022-05-16T00:00:00Z,80.804254,19.195746
2022-05-23T00:00:00Z,80.957919,19.042081
2022-05-30T00:00:00Z,81.182381,18.817619
2022-06-06T00:00:00Z,81.408563,18.591437
2022-06-13T00:00:00Z,82.025286,17.974714
2022-06-20T00:00:00Z,82.079607,17.920393
2022-06-27T00:00:00Z,82.313039,17.686961
2022-07-04T00:00:00Z,81.639508,18.360492
2022-07-11T00:00:00Z,81.803962,18.196038
2022-07-18T00:00:00Z,82.263805,17.736195
2022-07-25T00:00:00Z,82.601997,17.398003
2022-08-01T00:00:00Z,82.099607,17.900393
2022-08-08T00:00:00Z,82.490596,17.509404
2022-08-15T00:00:00Z,82.683405,17.316595
2022-08-22T00:00:00Z,82.365975,17.634025
2022-08-29T00:00:00Z,82.32701,17.67299
2022-09-05T00:00:00Z,81.919855,18.080145
2022-09-12T00:00:00Z,82.459238,17.540762
2022-09-19T00:00:00Z,83.131848,16.868152
2022-09-26T00:00:00Z,82.500559,17.499441
2022-10-03T00:00:00Z,82.445396,17.554604
2022-10-10T00:00:00Z,82.408528,17.591472
2022-10-17T00:00:00Z,82.541317,17.458683
2022-10-24T00:00:00Z,82.601711,17.398289
2022-10-31T00:00:00Z,82.566311,17.433689
2022-11-07T00:00:00Z,82.538432,17.461568
2022-11-14T00:00:00Z,82.62811,17.37189
2022-11-21T00:00:00Z,81.554986,18.445014
2022-11-28T00:00:00Z,81.029599,18.970401
2022-12-05T00:00:00Z,82.603805,17.396195
2022-12-12T00:00:00Z,82.179373,17.820627
2022-12-19T00:00:00Z,81.92931,18.07069
2022-12-26T00:00:00Z,81.73099,18.26901
