Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,71.231297,28.768703
2022-01-03T00:00:00Z,71.176229,28.823771
2022-01-10T00:00:00Z,71.179518,28.820482
2022-01-17T00:00:00Z,69.124749,30.875251
2022-01-24T00:00:00Z,69.983949,30.016051
2022-01-31T00:00:00Z,68.147759,31.852241
2022-02-07T00:00:00Z,70.158028,29.841972
2022-02-14T00:00:00Z,69.405656,30.594344
2022-02-21T00:00:00Z,69.432091,30.567909
2022-02-28T00:00:00Z,68.613081,31.386919
2022-03-07T00:00:00Z,68.652492,31.347508
2022-03-14T00:00:00Z,69.118454,30.881546
2022-03-21T00:00:00Z,65.598707,34.401293
2022-03-28T00:00:00Z,67.847967,32.152033
2022-04-04T00:00:00Z,63.459469,36.540531
2022-04-11T00:00:00Z,64.794971,35.205029
2022-04-18T00:00:00Z,66.018649,33.981351
2022-04-25T00:00:00Z,64.651943,35.348057
2022-05-02T00:00:00Z,64.078897,35.921103
2022-05-09T00:00:00Z,64.931879,35.068121
2022-05-16T00:00:00Z,65.020653,34.979347
2022-05-23T00:00:00Z,64.762872,35.237128
2022-05-30T00:00:00Z,62.745517,37.254483
2022-06-06T00:00:00Z,62.342852,37.657148
2022-06-13T00:00:00Z,65.311272,34.688728
2022-06-20T00:00:00Z,65.29399,34.70601
2022-06-27T00:00:00Z,64.702144,35.297856
2022-07-04T00:00:00Z,67.903333,32.096667
2022-07-11T00:00:00Z,68.064907,31.935093
2022-07-18T00:00:00Z,65.673276,34.326724
2022-07-25T00:00:00Z,64.157517,35.842483
2022-08-01T00:00:00Z,66.938375,33.061625
2022-08-08T00:00:00Z,67.286119,32.713881
2022-08-15T00:00:00Z,68.246547,31.753453
2022-08-22T00:00:00Z,65.026519,34.973481
2022-08-29T00:00:00Z,65.813942,34.186058
2022-09-05T00:00:00Z,64.891742,35.108258
2022-09-12T00:00:00Z,65.000897,34.999103
2022-09-19T00:00:00Z,66.877683,33.122317
2022-09-26T00:00:00Z,65.304818,34.695182
2022-10-03T00:00:00Z,64.099305,35.900695
2022-10-10T00:00:00Z,65.830198,34.169802
2022-10-17T00:00:00Z,68.062098,31.937902
2022-10-24T00:00:00Z,63.397708,36.602292
2022-10-31T00:00:00Z,66.64258,33.35742
2022-11-07T00:00:00Z,65.514482,34.485518
2022-11-14T00:00:00Z,65.622212,34.377788
2022-11-21T00:00:00Z,68.238898,31.761102
2022-11-28T00:00:00Z,66.768131,33.231869
2022-12-05T00:00:00Z,68.167576,31.832424
2022-12-12T00:00:00Z,66.389311,33.610689
2022-12-19T00:00:00Z,64.66827,35.33173
2022-12-26T00:00:00Z,65.917505,34.082495
