Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.963289,0.036711
2022-01-03T00:00:00Z,99.805825,0.194175
2022-01-10T00:00:00Z,99.806384,0.193616
2022-01-17T00:00:00Z,99.582541,0.417459
2022-01-24T00:00:00Z,99.892424,0.107576
2022-01-31T00:00:00Z,99.610136,0.389864
2022-02-07T00:00:00Z,99.863773,0.136227
2022-02-14T00:00:00Z,99.072544,0.927456
2022-02-21T00:00:00Z,99.887926,0.112074
2022-02-28T00:00:00Z,99.595473,0.404527
2022-03-07T00:00:00Z,99.762881,0.237119
2022-03-14T00:00:00Z,99.353448,0.646552
2022-03-21T00:00:00Z,99.908809,0.091191
2022-03-28T00:00:00Z,99.228706,0.771294
2022-04-04T00:00:00Z,99.866794,0.133206
2022-04-11T00:00:00Z,99.506653,0.493347
2022-04-18T00:00:00Z,99.309851,0.690149
2022-04-25T00:00:00Z,99.966621,0.033379
2022-05-02T00:00:00Z,99.97941,0.02059
2022-05-09T00:00:00Z,99.838159,0.161841
2022-05-16T00:00:00Z,99.961879,0.038121
2022-05-23T00:00:00Z,99.371381,0.628619
2022-05-30T00:00:00Z,99.648132,0.351868
2022-06-06T00:00:00Z,99.797246,0.202754
2022-06-13T00:00:00Z,99.292291,0.707709
2022-06-20T00:00:00Z,99.775507,0.224493
2022-06-27T00:00:00Z,99.904635,0.095365
2022-07-04T00:00:00Z,99.764582,0.235418
2022-07-11T00:00:00Z,99.635847,0.364153
2022-07-18T00:00:00Z,99.935259,0.064741
2022-07-25T00:00:00Z,99.953378,0.046622
2022-08-01T00:00:00Z,99.866204,0.133796
2022-08-08T00:00:00Z,99.545263,0.454737
2022-08-15T00:00:00Z,99.987524,0.012476
2022-08-22T00:00:00Z,99.848691,0.151309
2022-08-29T00:00:00Z,99.893726,0.106274
2022-09-05T00:00:00Z,99.755896,0.244104
2022-09-12T00:00:00Z,99.662721,0.337279
2022-09-19T00:00:00Z,95.852719,4.147281
2022-09-26T00:00:00Z,96.144555,3.855445
2022-10-03T00:00:00Z,95.905801,4.094199
2022-10-10T00:00:00Z,96.927101,3.072899
2022-10-17T00:00:00Z,96.407971,3.592029
2022-10-24T00:00:00Z,95.971117,4.028883
2022-10-31T00:00:00Z,94.526721,5.473279
2022-11-07T00:00:00Z,96.053441,3.946559
2022-11-14T00:00:00Z,95.572211,4.427789
2022-11-21T00:00:00Z,96.627578,3.372422
2022-11-28T00:00:00Z,95.798057,4.201943
2022-12-05T00:00:00Z,95.271961,4.728039
2022-12-12T00:00:00Z,95.203047,4.796953
2022-12-19T00:00:00Z,94.880125,5.119875
2022-12-26T00:00:00Z,92.54627,7.45373
