Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,85.454545,14.545455
2022-01-03T00:00:00Z,83.425902,16.574098
2022-01-10T00:00:00Z,85.564901,14.435099
2022-01-17T00:00:00Z,84.225465,15.774535
2022-01-24T00:00:00Z,85.470124,14.529876
2022-01-31T00:00:00Z,84.656071,15.343929
2022-02-07T00:00:00Z,83.511792,16.488208
2022-02-14T00:00:00Z,79.419764,20.580236
2022-02-21T00:00:00Z,81.030616,18.969384
2022-02-28T00:00:00Z,80.464754,19.535246
2022-03-07T00:00:00Z,80.614765,19.385235
2022-03-14T00:00:00Z,85.122076,14.877924
2022-03-21T00:00:00Z,83.729968,16.270032
2022-03-28T00:00:00Z,77.362067,22.637933
2022-04-04T00:00:00Z,74.110385,25.889615
2022-04-11T00:00:00Z,71.629565,28.370435
2022-04-18T00:00:00Z,73.433306,26.566694
2022-04-25T00:00:00Z,76.536834,23.463166
2022-05-02T00:00:00Z,67.776415,32.223585
2022-05-09T00:00:00Z,71.316968,28.683032
2022-05-16T00:00:00Z,68.095759,31.904241
2022-05-23T00:00:00Z,82.413562,17.586438
2022-05-30T00:00:00Z,77.942221,22.057779
2022-06-06T00:00:00Z,75.027486,24.972514
2022-06-13T00:00:00Z,79.211953,20.788047
2022-06-20T00:00:00Z,87.372024,12.627976
2022-06-27T00:00:00Z,88.69528,11.30472
2022-07-04T00:00:00Z,90.903712,9.096288
2022-07-11T00:00:00Z,89.599035,10.400965
2022-07-18T00:00:00Z,90.885275,9.114725
2022-07-25T00:00:00Z,91.128267,8.871733
2022-08-01T00:00:00Z,89.593942,10.406058
2022-08-08T00:00:00Z,86.305877,13.694123
2022-08-15T00:00:00Z,89.180955,10.819045
2022-08-22T00:00:00Z,86.740764,13.259236
2022-08-29T00:00:00Z,86.334867,13.665133
2022-09-05T00:00:00Z,84.516129,15.483871
2022-09-12T00:00:00Z,83.406231,16.593769
2022-09-19T00:00:00Z,84.012198,15.987802
2022-09-26T00:00:00Z,88.665207,11.334793
2022-10-03T00:00:00Z,89.284331,10.715669
2022-10-10T00:00:00Z,93.677153,6.322847
2022-10-17T00:00:00Z,90.248166,9.751834
2022-10-24T00:00:00Z,90.574528,9.425472
2022-10-31T00:00:00Z,92.836935,7.163065
2022-11-07T00:00:00Z,92.937323,7.062677
2022-11-14T00:00:00Z,95.510445,4.489555
2022-11-21T00:00:00Z,94.877694,5.122306
2022-11-28T00:00:00Z,90.492557,9.507443
2022-12-05T00:00:00Z,93.691334,6.308666
2022-12-12T00:00:00Z,92.754883,7.245117
2022-12-19T00:00:00Z,95.345683,4.654317
2022-12-26T00:00:00Z,90.798405,9.201595
