Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,62.018431,37.981569
2022-01-03T00:00:00Z,62.387537,37.612463
2022-01-10T00:00:00Z,62.110614,37.889386
2022-01-17T00:00:00Z,59.68515,40.31485
2022-01-24T00:00:00Z,58.876178,41.123822
2022-01-31T00:00:00Z,57.272184,42.727816
2022-02-07T00:00:00Z,59.824307,40.175693
2022-02-14T00:00:00Z,62.712402,37.287598
2022-02-21T00:00:00Z,63.117869,36.882131
2022-02-28T00:00:00Z,63.174898,36.825102
2022-03-07T00:00:00Z,63.599011,36.400989
2022-03-14T00:00:00Z,64.432862,35.567138
2022-03-21T00:00:00Z,64.250827,35.749173
2022-03-28T00:00:00Z,63.366265,36.633735
2022-04-04T00:00:00Z,63.608776,36.391224
2022-04-11T00:00:00Z,63.760547,36.239453
2022-04-18T00:00:00Z,64.069899,35.930101
2022-04-25T00:00:00Z,64.771513,35.228487
2022-05-02T00:00:00Z,64.416588,35.583412
2022-05-09T00:00:00Z,64.151415,35.848585
2022-05-16T00:00:00Z,64.214318,35.785682
2022-05-23T00:00:00Z,63.816115,36.183885
2022-05-30T00:00:00Z,65.115887,34.884113
2022-06-06T00:00:00Z,65.202066,34.797934
2022-06-13T00:00:00Z,64.819309,35.180691
2022-06-20T00:00:00Z,63.886129,36.113871
2022-06-27T00:00:00Z,63.848758,36.151242
2022-07-04T00:00:00Z,63.072457,36.927543
2022-07-11T00:00:00Z,62.53359,37.46641
2022-07-18T00:00:00Z,62.852189,37.147811
2022-07-25T00:00:00Z,62.142526,37.857474
2022-08-01T00:00:00Z,62.568286,37.431714
2022-08-08T00:00:00Z,63.164063,36.835937
2022-08-15T00:00:00Z,63.436757,36.563243
2022-08-22T00:00:00Z,61.713202,38.286798
2022-08-29T00:00:00Z,60.744149,39.255851
2022-09-05T00:00:00Z,62.071039,37.928961
2022-09-12T00:00:00Z,62.909856,37.090144
2022-09-19T00:00:00Z,64.389075,35.610925
2022-09-26T00:00:00Z,64.771334,35.228666
2022-10-03T00:00:00Z,64.502767,35.497233
2022-10-10T00:00:00Z,65.02878,34.97122
2022-10-17T00:00:00Z,65.007665,34.992335
2022-10-24T00:00:00Z,62.923675,37.076325
2022-10-31T00:00:00Z,63.137693,36.862307
2022-11-07T00:00:00Z,63.289374,36.710626
2022-11-14T00:00:00Z,63.38684,36.61316
2022-11-21T00:00:00Z,63.054603,36.945397
2022-11-28T00:00:00Z,63.137046,36.862954
2022-12-05T00:00:00Z,63.769201,36.230799
2022-12-12T00:00:00Z,63.39737,36.60263
2022-12-19T00:00:00Z,63.640605,36.359395
2022-12-26T00:00:00Z,62.297693,37.702307
