Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,93.165203,6.834797
2022-01-03T00:00:00Z,93.210271,6.789729
2022-01-10T00:00:00Z,93.375822,6.624178
2022-01-17T00:00:00Z,92.992288,7.007712
2022-01-24T00:00:00Z,92.2468,7.7532
2022-01-31T00:00:00Z,93.569361,6.430639
2022-02-07T00:00:00Z,92.70311,7.29689
2022-02-14T00:00:00Z,92.620052,7.379948
2022-02-21T00:00:00Z,93.121729,6.878271
2022-02-28T00:00:00Z,93.64815,6.35185
2022-03-07T00:00:00Z,92.870639,7.129361
2022-03-14T00:00:00Z,93.667136,6.332864
2022-03-21T00:00:00Z,93.505728,6.494272
2022-03-28T00:00:00Z,93.470144,6.529856
2022-04-04T00:00:00Z,91.846709,8.153291
2022-04-11T00:00:00Z,92.932812,7.067188
2022-04-18T00:00:00Z,92.190688,7.809312
2022-04-25T00:00:00Z,91.907373,8.092627
2022-05-02T00:00:00Z,93.107095,6.892905
2022-05-09T00:00:00Z,91.547205,8.452795
2022-05-16T00:00:00Z,91.796549,8.203451
2022-05-23T00:00:00Z,90.700033,9.299967
2022-05-30T00:00:00Z,92.560592,7.439408
2022-06-06T00:00:00Z,93.057146,6.942854
2022-06-13T00:00:00Z,93.757013,6.242987
2022-06-20T00:00:00Z,93.132493,6.867507
2022-06-27T00:00:00Z,93.026011,6.973989
2022-07-04T00:00:00Z,93.866601,6.133399
2022-07-11T00:00:00Z,93.07155,6.92845
2022-07-18T00:00:00Z,92.370801,7.629199
2022-07-25T00:00:00Z,90.972211,9.027789
2022-08-01T00:00:00Z,92.367958,7.632042
2022-08-08T00:00:00Z,87.610144,12.389856
2022-08-15T00:00:00Z,91.27029,8.72971
2022-08-22T00:00:00Z,91.373118,8.626882
2022-08-29T00:00:00Z,92.471521,7.528479
2022-09-05T00:00:00Z,93.600019,6.399981
2022-09-12T00:00:00Z,90.872545,9.127455
2022-09-19T00:00:00Z,93.570804,6.429196
2022-09-26T00:00:00Z,94.211346,5.788654
2022-10-03T00:00:00Z,93.429241,6.570759
2022-10-10T00:00:00Z,94.973805,5.026195
2022-10-17T00:00:00Z,93.64538,6.35462
2022-10-24T00:00:00Z,94.329265,5.670735
2022-10-31T00:00:00Z,94.417776,5.582224
2022-11-07T00:00:00Z,94.065002,5.934998
2022-11-14T00:00:00Z,93.388949,6.611051
2022-11-21T00:00:00Z,93.871794,6.128206
2022-11-28T00:00:00Z,94.024011,5.975989
2022-12-05T00:00:00Z,93.914045,6.085955
2022-12-12T00:00:00Z,94.925867,5.074133
2022-12-19T00:00:00Z,94.262097,5.737903
2022-12-26T00:00:00Z,93.704565,6.295435
