Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,55.910451,25.154268,16.67674,1.850714,0.407827
2022-01-03T00:00:00Z,54.376002,25.795159,17.666662,1.769097,0.393081
2022-01-10T00:00:00Z,56.160461,24.650212,17.301167,1.626458,0.261702
2022-01-17T00:00:00Z,57.864351,23.520761,16.402095,1.976114,0.236678
2022-01-24T00:00:00Z,58.524899,22.349589,17.178597,1.780507,0.166407
2022-01-31T00:00:00Z,55.719993,24.899118,17.596292,1.522305,0.262292
2022-02-07T00:00:00Z,56.738108,24.094445,17.110084,1.830277,0.227086
2022-02-14T00:00:00Z,58.721812,23.24684,15.905599,1.866623,0.259126
2022-02-21T00:00:00Z,57.684213,23.224657,17.238885,1.589663,0.262583
2022-02-28T00:00:00Z,56.741326,22.964223,18.359531,1.701545,0.233375
2022-03-07T00:00:00Z,58.222712,22.467127,17.345221,1.72092,0.244021
2022-03-14T00:00:00Z,59.033495,20.492939,18.657859,1.443751,0.371956
2022-03-21T00:00:00Z,56.071841,23.675529,18.397947,1.655624,0.199058
2022-03-28T00:00:00Z,58.78974,20.841551,18.704146,1.448111,0.216452
2022-04-04T00:00:00Z,57.056897,22.947539,18.240424,1.519642,0.235497
2022-04-11T00:00:00Z,57.621633,22.111444,18.450341,1.601907,0.214674
2022-04-18T00:00:00Z,55.28789,23.416759,19.502365,1.488737,0.304249
2022-04-25T00:00:00Z,55.63706,24.078296,18.414092,1.553509,0.317043
2022-05-02T00:00:00Z,54.309903,24.627564,18.657341,2.018129,0.387063
2022-05-09T00:00:00Z,57.264927,23.245977,17.230586,1.907504,0.351006
2022-05-16T00:00:00Z,56.453248,21.981872,19.74633,1.486501,0.33205
2022-05-23T00:00:00Z,59.285022,20.31591,17.036898,1.424719,1.937452
2022-05-30T00:00:00Z,58.535222,18.744772,21.107384,1.37367,0.238953
2022-06-06T00:00:00Z,61.763012,19.361192,16.899905,1.245256,0.730635
2022-06-13T00:00:00Z,53.491328,25.112228,19.633757,1.534978,0.227709
2022-06-20T00:00:00Z,56.348621,21.964882,19.925933,1.455484,0.30508
2022-06-27T00:00:00Z,56.890519,21.772893,19.285078,1.79722,0.25429
2022-07-04T00:00:00Z,53.943585,21.272511,22.576035,1.87645,0.331419
2022-07-11T00:00:00Z,54.198767,22.593394,20.463269,1.999301,0.745269
2022-07-18T00:00:00Z,53.084345,22.794684,21.965871,1.647769,0.507331
2022-07-25T00:00:00Z,55.447785,20.948135,21.230732,1.91111,0.462238
2022-08-01T00:00:00Z,53.682314,21.108672,22.99358,1.74371,0.471724
2022-08-08T00:00:00Z,54.516287,21.114084,22.723265,1.363089,0.283274
2022-08-15T00:00:00Z,56.815081,20.431885,21.04067,1.372171,0.340193
2022-08-22T00:00:00Z,55.543203,22.191719,20.339195,1.639629,0.286254
2022-08-29T00:00:00Z,52.612555,22.362825,23.199026,1.541448,0.284146
2022-09-05T00:00:00Z,54.16149,22.259371,21.882798,1.404936,0.291405
2022-09-12T00:00:00Z,57.917654,18.832799,20.217543,2.808186,0.223818
2022-09-19T00:00:00Z,58.986475,18.938307,19.969636,1.767766,0.337815
2022-09-26T00:00:00Z,59.318077,20.434419,18.509192,1.48051,0.257802
2022-10-03T00:00:00Z,60.884803,20.18178,17.238051,1.183905,0.51146
2022-10-10T00:00:00Z,60.801435,18.67315,18.802668,1.325997,0.39675
2022-10-17T00:00:00Z,66.254176,16.889217,15.395155,1.117328,0.344123
2022-10-24T00:00:00Z,65.150793,16.671523,16.788345,0.994758,0.394581
2022-10-31T00:00:00Z,62.179722,18.310838,17.785618,1.245623,0.478199
2022-11-07T00:00:00Z,62.775338,17.791499,17.353031,1.556897,0.523235
2022-11-14T00:00:00Z,60.862987,17.114778,19.94608,1.423982,0.652172
2022-11-21T00:00:00Z,60.78951,17.490265,19.752788,1.429443,0.537994
2022-11-28T00:00:00Z,60.153676,17.747529,20.101875,1.441501,0.55542
2022-12-05T00:00:00Z,61.786514,16.993281,19.029713,1.620473,0.570018
2022-12-12T00:00:00Z,60.175115,18.360061,19.618433,1.328725,0.517665
2022-12-19T00:00:00Z,59.307432,20.2621,17.83869,1.65765,0.934128
2022-12-26T00:00:00Z,59.210231,21.152756,17.786518,1.364944,0.485551
