Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S  Q U I C,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,55.022693,32.387984,6.377276,6.189274,0.022773
2022-01-03T00:00:00Z,55.022959,30.705483,8.183665,6.063426,0.024466
2022-01-10T00:00:00Z,59.538335,30.579892,3.254426,6.599547,0.027801
2022-01-17T00:00:00Z,57.472591,30.847382,4.712912,6.938951,0.028165
2022-01-24T00:00:00Z,59.785878,30.584746,2.141549,7.461539,0.026287
2022-01-31T00:00:00Z,60.984195,30.261716,1.159869,7.550512,0.043709
2022-02-07T00:00:00Z,58.889315,30.027664,3.955257,7.103647,0.024116
2022-02-14T00:00:00Z,61.469184,30.13141,1.361537,7.015104,0.022765
2022-02-21T00:00:00Z,59.924999,30.102265,2.764385,7.174397,0.033953
2022-02-28T00:00:00Z,57.790836,29.915292,5.096323,7.177692,0.019857
2022-03-07T00:00:00Z,59.287848,30.796013,2.447279,7.450747,0.018113
2022-03-14T00:00:00Z,60.360959,29.785927,1.21149,8.612639,0.028985
2022-03-21T00:00:00Z,60.543425,27.934361,1.449612,10.052553,0.020048
2022-03-28T00:00:00Z,59.920331,27.547265,1.298677,11.210649,0.023078
2022-04-04T00:00:00Z,58.802518,28.023702,1.749047,11.406838,0.017895
2022-04-11T00:00:00Z,57.841038,28.758411,2.27741,11.096054,0.027087
2022-04-18T00:00:00Z,52.335755,28.436628,9.41087,9.542048,0.274699
2022-04-25T00:00:00Z,53.94903,28.203338,7.892568,9.740748,0.214316
2022-05-02T00:00:00Z,53.386797,27.563046,9.554155,9.154865,0.341137
2022-05-09T00:00:00Z,52.740071,28.276508,9.237755,9.448459,0.297206
2022-05-16T00:00:00Z,53.793817,27.767531,8.41942,9.788205,0.231027
2022-05-23T00:00:00Z,56.921879,27.03723,5.151306,10.769419,0.120166
2022-05-30T00:00:00Z,58.310403,25.635028,4.920283,10.976191,0.158094
2022-06-06T00:00:00Z,56.554729,26.963027,4.843342,11.483277,0.155624
2022-06-13T00:00:00Z,56.325142,31.780416,0.591387,11.281546,0.021509
2022-06-20T00:00:00Z,52.79459,34.989192,1.213705,10.957761,0.044752
2022-06-27T00:00:00Z,49.553782,39.162598,1.324948,9.92256,0.036111
2022-07-04T00:00:00Z,50.713438,38.648854,0.454874,10.166585,0.01625
2022-07-11T00:00:00Z,50.362669,38.918436,0.353865,10.351533,0.013498
2022-07-18T00:00:00Z,51.738448,37.829025,0.358134,10.061173,0.013221
2022-07-25T00:00:00Z,50.113431,39.499905,0.379493,9.994208,0.012963
2022-08-01T00:00:00Z,40.212627,51.577548,0.295961,7.90385,0.010013
2022-08-08T00:00:00Z,52.901647,37.024059,0.356418,9.705965,0.011911
2022-08-15T00:00:00Z,51.950142,37.111791,0.340777,10.581023,0.016267
2022-08-22T00:00:00Z,50.175725,39.410503,0.349974,10.048747,0.01505
2022-08-29T00:00:00Z,50.95859,38.843452,0.457982,9.721366,0.01861
2022-09-05T00:00:00Z,51.605209,37.425294,0.506242,10.449846,0.013408
2022-09-12T00:00:00Z,51.345995,37.340892,0.45006,10.850099,0.012953
2022-09-19T00:00:00Z,52.682186,37.161801,0.480092,9.654895,0.021026
2022-09-26T00:00:00Z,58.344818,29.994305,0.563299,11.074008,0.02357
2022-10-03T00:00:00Z,61.648615,26.092302,0.542701,11.700629,0.015753
2022-10-10T00:00:00Z,62.16756,25.530515,0.55837,11.723116,0.020439
2022-10-17T00:00:00Z,64.155171,23.762188,0.518966,11.550171,0.013504
2022-10-24T00:00:00Z,64.152304,23.676412,0.635992,11.522661,0.012631
2022-10-31T00:00:00Z,64.520146,22.808176,0.805693,11.852667,0.013318
2022-11-07T00:00:00Z,63.031505,23.632638,0.750236,12.569884,0.015738
2022-11-14T00:00:00Z,63.189448,24.337663,0.366476,12.092953,0.01346
2022-11-21T00:00:00Z,65.100023,21.972738,0.266823,12.650345,0.010071
2022-11-28T00:00:00Z,64.334256,22.351415,0.256631,13.044448,0.01325
2022-12-05T00:00:00Z,64.013544,23.023379,0.234343,12.714156,0.014578
2022-12-12T00:00:00Z,62.962579,23.221776,0.247406,13.558639,0.0096
2022-12-19T00:00:00Z,63.322566,23.273509,0.247178,13.148662,0.008084
2022-12-26T00:00:00Z,63.319891,22.972688,0.227418,13.471482,0.00852
