Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,62.304219,23.091997,14.363786,0.22894,0.011058
2022-01-03T00:00:00Z,62.575727,23.18714,14.040628,0.184811,0.011694
2022-01-10T00:00:00Z,66.686574,19.214081,13.933984,0.153711,0.011651
2022-01-17T00:00:00Z,69.925506,17.120933,12.787803,0.158233,0.007525
2022-01-24T00:00:00Z,68.701958,16.472549,14.654091,0.162814,0.008588
2022-01-31T00:00:00Z,69.786465,17.580254,12.473848,0.150754,0.008679
2022-02-07T00:00:00Z,69.339668,19.248134,11.278606,0.118927,0.014664
2022-02-14T00:00:00Z,66.781332,21.428549,11.637428,0.14224,0.01045
2022-02-21T00:00:00Z,68.490625,19.291735,12.094791,0.11329,0.009559
2022-02-28T00:00:00Z,68.443183,18.886976,12.545148,0.1172,0.007492
2022-03-07T00:00:00Z,67.734509,19.448554,12.672498,0.136645,0.007794
2022-03-14T00:00:00Z,59.69786,25.236642,14.91731,0.138119,0.010069
2022-03-21T00:00:00Z,58.753151,25.387494,15.695929,0.151944,0.011482
2022-03-28T00:00:00Z,59.495187,28.884782,11.484062,0.132203,0.003767
2022-04-04T00:00:00Z,61.511292,25.638517,12.67134,0.165079,0.013773
2022-04-11T00:00:00Z,61.289693,24.420261,14.111582,0.171992,0.006472
2022-04-18T00:00:00Z,62.491475,24.293869,13.085626,0.124511,0.004519
2022-04-25T00:00:00Z,63.078743,24.341988,12.45687,0.114845,0.007554
2022-05-02T00:00:00Z,62.04234,23.099806,14.698656,0.147829,0.01137
2022-05-09T00:00:00Z,63.222468,22.831865,13.823947,0.113257,0.008464
2022-05-16T00:00:00Z,62.18833,24.611145,13.052524,0.139051,0.008951
2022-05-23T00:00:00Z,64.659856,22.809058,12.414584,0.104963,0.01154
2022-05-30T00:00:00Z,62.070184,24.866974,12.934236,0.123363,0.005244
2022-06-06T00:00:00Z,64.717283,22.06968,13.080112,0.122665,0.010261
2022-06-13T00:00:00Z,64.734402,22.147348,12.96972,0.139882,0.008648
2022-06-20T00:00:00Z,64.671544,22.54568,12.668477,0.109492,0.004808
2022-06-27T00:00:00Z,64.657132,19.967914,15.272563,0.096414,0.005977
2022-07-04T00:00:00Z,62.335536,23.983779,13.576674,0.09125,0.012761
2022-07-11T00:00:00Z,61.492868,24.184958,14.196288,0.10767,0.018216
2022-07-18T00:00:00Z,61.29731,24.68867,13.893639,0.102053,0.018329
2022-07-25T00:00:00Z,63.197608,21.791589,14.863047,0.140896,0.006859
2022-08-01T00:00:00Z,63.95868,18.872312,17.055175,0.108294,0.005538
2022-08-08T00:00:00Z,62.498784,19.515748,17.857375,0.121835,0.006257
2022-08-15T00:00:00Z,64.736587,19.156112,16.014848,0.08795,0.004504
2022-08-22T00:00:00Z,62.909769,17.275727,19.676378,0.132936,0.005191
2022-08-29T00:00:00Z,61.524697,17.175971,21.148446,0.14243,0.008456
2022-09-05T00:00:00Z,63.337498,17.356696,19.123614,0.176728,0.005464
2022-09-12T00:00:00Z,64.969824,19.040413,15.860415,0.120285,0.009063
2022-09-19T00:00:00Z,65.849125,18.034117,15.99587,0.116385,0.004502
2022-09-26T00:00:00Z,67.469728,17.395612,15.000851,0.125709,0.008099
2022-10-03T00:00:00Z,67.579741,16.059926,16.274753,0.082246,0.003335
2022-10-10T00:00:00Z,68.253942,14.517901,17.15071,0.0723,0.005146
2022-10-17T00:00:00Z,69.762282,14.518384,15.628468,0.085057,0.00581
2022-10-24T00:00:00Z,69.540731,15.285386,15.09318,0.073491,0.007212
2022-10-31T00:00:00Z,68.393701,13.876023,17.634652,0.088789,0.006835
2022-11-07T00:00:00Z,67.085353,13.956007,18.86063,0.089696,0.008315
2022-11-14T00:00:00Z,67.003722,13.854469,19.042041,0.092381,0.007388
2022-11-21T00:00:00Z,66.835944,14.61111,18.463606,0.083719,0.005621
2022-11-28T00:00:00Z,65.588862,15.020651,19.278066,0.102908,0.009513
2022-12-05T00:00:00Z,65.555138,14.964339,19.377272,0.096924,0.006327
2022-12-12T00:00:00Z,66.092544,13.494184,20.332398,0.073952,0.006922
2022-12-19T00:00:00Z,65.982956,13.826011,20.08058,0.100041,0.010412
2022-12-26T00:00:00Z,65.418026,13.7462,20.729506,0.096446,0.009822
