Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,56.997665,29.576885,12.770874,0.625537,0.029038
2022-01-03T00:00:00Z,60.41424,26.952074,11.964463,0.592982,0.07624
2022-01-10T00:00:00Z,60.908914,25.592514,12.867922,0.615293,0.015357
2022-01-17T00:00:00Z,59.979884,27.262514,12.367053,0.37557,0.01498
2022-01-24T00:00:00Z,59.158949,28.736087,11.571817,0.508774,0.024372
2022-01-31T00:00:00Z,59.445859,28.298716,11.943575,0.294363,0.017487
2022-02-07T00:00:00Z,57.536881,31.101017,11.071553,0.284411,0.006138
2022-02-14T00:00:00Z,57.666618,31.866219,10.061737,0.396675,0.00875
2022-02-21T00:00:00Z,60.467905,27.956298,10.616583,0.941948,0.017266
2022-02-28T00:00:00Z,61.898274,26.917994,10.660247,0.49685,0.026635
2022-03-07T00:00:00Z,60.920851,27.973361,10.424907,0.666397,0.014485
2022-03-14T00:00:00Z,55.785452,28.046866,15.847108,0.311117,0.009456
2022-03-21T00:00:00Z,60.143118,27.997417,11.017971,0.828581,0.012913
2022-03-28T00:00:00Z,66.72258,23.337156,9.542311,0.370567,0.027386
2022-04-04T00:00:00Z,60.092564,28.245171,11.320594,0.339779,0.001893
2022-04-11T00:00:00Z,59.714472,24.212052,15.706856,0.36283,0.003789
2022-04-18T00:00:00Z,55.454628,30.089622,14.179911,0.264724,0.011114
2022-04-25T00:00:00Z,54.36112,31.45956,13.81159,0.367731,0.0
2022-05-02T00:00:00Z,58.293692,27.674438,13.513514,0.50769,0.010666
2022-05-09T00:00:00Z,43.273755,46.28477,10.141626,0.299849,0.0
2022-05-16T00:00:00Z,60.821455,23.309987,15.540737,0.319989,0.007832
2022-05-23T00:00:00Z,58.048253,26.888804,14.627493,0.428378,0.007072
2022-05-30T00:00:00Z,59.614339,25.453213,14.359618,0.537306,0.035524
2022-06-06T00:00:00Z,63.793533,21.85777,14.037805,0.295727,0.015165
2022-06-13T00:00:00Z,60.991781,22.774966,15.633386,0.591448,0.008419
2022-06-20T00:00:00Z,64.167517,19.112506,16.529842,0.183203,0.006932
2022-06-27T00:00:00Z,58.766089,25.008251,15.974258,0.248491,0.002912
2022-07-04T00:00:00Z,60.515057,21.917473,17.099795,0.460528,0.007148
2022-07-11T00:00:00Z,58.893532,22.592274,18.246897,0.266273,0.001024
2022-07-18T00:00:00Z,61.922436,20.584633,16.886011,0.575607,0.031313
2022-07-25T00:00:00Z,60.392271,21.87496,17.444322,0.281569,0.006877
2022-08-01T00:00:00Z,59.615961,23.585034,16.074848,0.695119,0.029039
2022-08-08T00:00:00Z,60.961869,20.75146,18.031604,0.243044,0.012023
2022-08-15T00:00:00Z,62.980008,18.654093,18.061863,0.294983,0.009053
2022-08-22T00:00:00Z,61.931938,20.057383,17.683113,0.318185,0.009381
2022-08-29T00:00:00Z,60.421539,21.096334,18.226103,0.248412,0.007612
2022-09-05T00:00:00Z,60.71801,21.075546,17.910364,0.28488,0.011199
2022-09-12T00:00:00Z,62.502405,21.578576,15.623285,0.28647,0.009264
2022-09-19T00:00:00Z,64.825574,20.32626,14.321837,0.518402,0.007927
2022-09-26T00:00:00Z,61.326953,20.224768,18.034154,0.409002,0.005122
2022-10-03T00:00:00Z,62.542744,19.163298,18.038794,0.24478,0.010385
2022-10-10T00:00:00Z,64.874668,21.322633,13.583166,0.207786,0.011748
2022-10-17T00:00:00Z,61.732507,22.972833,15.145966,0.137006,0.011688
2022-10-24T00:00:00Z,66.930569,19.334891,13.530741,0.164436,0.039363
2022-10-31T00:00:00Z,66.195081,18.516227,14.993366,0.250038,0.045288
2022-11-07T00:00:00Z,60.667894,22.468128,16.645809,0.193408,0.024762
2022-11-14T00:00:00Z,61.968279,18.301388,19.488501,0.186025,0.055807
2022-11-21T00:00:00Z,59.165478,18.750255,21.901989,0.154325,0.027953
2022-11-28T00:00:00Z,59.515405,19.114446,21.1709,0.158047,0.041203
2022-12-05T00:00:00Z,60.625725,20.385993,18.782369,0.182826,0.023087
2022-12-12T00:00:00Z,56.124948,26.32679,17.271608,0.244863,0.031792
2022-12-19T00:00:00Z,57.949888,21.510956,20.25063,0.265558,0.022967
2022-12-26T00:00:00Z,59.967976,19.492134,20.329276,0.180716,0.029898
