Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,53.756225,37.222766,7.681067,1.268,0.071943
2022-01-03T00:00:00Z,52.972201,37.651051,8.015953,1.30603,0.054765
2022-01-10T00:00:00Z,56.048414,34.920302,7.551974,1.410966,0.068344
2022-01-17T00:00:00Z,54.483449,35.668308,8.471343,1.291643,0.085257
2022-01-24T00:00:00Z,55.728072,33.681987,9.215922,1.293128,0.080891
2022-01-31T00:00:00Z,55.542046,33.323981,10.000208,1.071414,0.062352
2022-02-07T00:00:00Z,55.080586,33.287968,10.17939,1.37597,0.076086
2022-02-14T00:00:00Z,53.356379,35.112478,10.301704,1.154383,0.075056
2022-02-21T00:00:00Z,56.443362,33.235135,8.750678,1.482553,0.088273
2022-02-28T00:00:00Z,56.95012,32.697593,8.846367,1.384694,0.121226
2022-03-07T00:00:00Z,56.759293,33.07756,9.008904,1.058963,0.095281
2022-03-14T00:00:00Z,58.639067,32.556571,7.727091,0.979424,0.097847
2022-03-21T00:00:00Z,56.238562,34.371598,8.185309,1.144723,0.059808
2022-03-28T00:00:00Z,56.606517,32.273383,9.071723,1.710694,0.337683
2022-04-04T00:00:00Z,56.198037,35.95314,6.682145,1.020241,0.146437
2022-04-11T00:00:00Z,64.475473,26.97581,7.592658,0.84713,0.10893
2022-04-18T00:00:00Z,56.807977,31.805676,10.213245,1.064689,0.108412
2022-04-25T00:00:00Z,61.745773,28.633979,8.77798,0.736723,0.105545
2022-05-02T00:00:00Z,51.020224,39.286744,8.522297,1.109449,0.061286
2022-05-09T00:00:00Z,53.526564,35.66076,10.026069,0.711217,0.075391
2022-05-16T00:00:00Z,51.756075,38.436914,8.838314,0.929515,0.039181
2022-05-23T00:00:00Z,59.579629,30.632777,8.852392,0.841255,0.093947
2022-05-30T00:00:00Z,64.792965,25.237544,8.875963,0.973149,0.12038
2022-06-06T00:00:00Z,50.667867,36.923769,11.47041,0.847925,0.090029
2022-06-13T00:00:00Z,58.406316,30.394221,10.303505,0.803001,0.092956
2022-06-20T00:00:00Z,60.993105,27.257007,10.845804,0.778131,0.125953
2022-06-27T00:00:00Z,64.502238,22.861606,11.809719,0.745166,0.081272
2022-07-04T00:00:00Z,61.999406,28.003564,9.268894,0.632445,0.095692
2022-07-11T00:00:00Z,57.496202,30.807581,11.003946,0.613766,0.078505
2022-07-18T00:00:00Z,57.679689,30.490564,10.728941,0.999931,0.100875
2022-07-25T00:00:00Z,59.22469,27.993263,12.020834,0.691664,0.06955
2022-08-01T00:00:00Z,64.391521,21.322899,13.584014,0.633764,0.067802
2022-08-08T00:00:00Z,57.537274,27.09141,14.714506,0.600665,0.056145
2022-08-15T00:00:00Z,65.056346,22.355993,11.231708,1.209007,0.146946
2022-08-22T00:00:00Z,60.380851,27.493552,11.247607,0.812387,0.065602
2022-08-29T00:00:00Z,60.4538,27.351233,11.723769,0.435858,0.03534
2022-09-05T00:00:00Z,65.21106,20.934901,13.265818,0.558604,0.029617
2022-09-12T00:00:00Z,67.375583,21.004443,10.861482,0.698072,0.060419
2022-09-19T00:00:00Z,64.67689,24.320054,10.205568,0.722753,0.074735
2022-09-26T00:00:00Z,67.864268,22.491022,9.049299,0.53986,0.055551
2022-10-03T00:00:00Z,65.82414,23.565866,9.877515,0.679753,0.052726
2022-10-10T00:00:00Z,67.124969,24.087904,8.055674,0.571599,0.159854
2022-10-17T00:00:00Z,69.944538,21.50995,7.770697,0.494499,0.280316
2022-10-24T00:00:00Z,69.809499,21.642654,7.788791,0.491544,0.267512
2022-10-31T00:00:00Z,73.045865,19.883435,6.415493,0.439952,0.215255
2022-11-07T00:00:00Z,69.438208,21.968472,7.715618,0.533059,0.344644
2022-11-14T00:00:00Z,62.493324,27.626536,9.156744,0.475981,0.247416
2022-11-21T00:00:00Z,66.688588,22.863286,9.570423,0.583449,0.294254
2022-11-28T00:00:00Z,65.369794,23.848888,9.955673,0.601014,0.224632
2022-12-05T00:00:00Z,65.506579,21.561485,12.067605,0.659718,0.204613
2022-12-12T00:00:00Z,60.969438,25.39894,12.647311,0.685816,0.298495
2022-12-19T00:00:00Z,64.154081,26.192627,8.952616,0.520864,0.179812
2022-12-26T00:00:00Z,64.209266,24.011527,11.154955,0.500998,0.123254
