Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,60.293163,20.051334,19.44831,0.207193,0.0
2022-01-03T00:00:00Z,55.984143,21.602064,22.272212,0.141581,0.0
2022-01-10T00:00:00Z,56.633112,22.008509,21.322428,0.035952,0.0
2022-01-17T00:00:00Z,57.546192,21.107466,21.216831,0.129511,0.0
2022-01-24T00:00:00Z,54.739219,22.351248,22.773063,0.13647,0.0
2022-01-31T00:00:00Z,56.893154,21.740243,21.151631,0.214971,0.0
2022-02-07T00:00:00Z,59.243436,21.635337,18.774274,0.346953,0.0
2022-02-14T00:00:00Z,62.860293,21.017961,15.944289,0.177458,0.0
2022-02-21T00:00:00Z,58.464753,22.012651,19.41956,0.103037,0.0
2022-02-28T00:00:00Z,63.552314,19.789605,16.546919,0.108451,0.002711
2022-03-07T00:00:00Z,63.582406,20.272292,15.984037,0.161265,0.0
2022-03-14T00:00:00Z,63.815512,20.262281,15.8096,0.112607,0.0
2022-03-21T00:00:00Z,57.251145,26.225193,16.499974,0.021056,0.002632
2022-03-28T00:00:00Z,57.009927,20.406418,22.155984,0.419896,0.007776
2022-04-04T00:00:00Z,54.45174,27.059346,17.270911,1.214832,0.003172
2022-04-11T00:00:00Z,60.919746,21.918825,17.105128,0.056301,0.0
2022-04-18T00:00:00Z,57.89065,25.040699,16.950935,0.110201,0.007514
2022-04-25T00:00:00Z,57.787501,24.704714,17.271556,0.236229,0.0
2022-05-02T00:00:00Z,63.54939,23.467259,12.927858,0.055494,0.0
2022-05-09T00:00:00Z,35.489751,16.434722,47.974745,0.100781,0.0
2022-05-16T00:00:00Z,67.810068,18.339799,13.725357,0.056716,0.06806
2022-05-23T00:00:00Z,65.909257,19.451834,14.548605,0.087863,0.002441
2022-05-30T00:00:00Z,63.502781,20.760574,15.684905,0.05174,0.0
2022-06-06T00:00:00Z,65.696684,20.925416,13.32809,0.047188,0.002622
2022-06-13T00:00:00Z,62.404996,23.885198,13.619453,0.090353,0.0
2022-06-20T00:00:00Z,61.911712,21.041344,16.951626,0.095318,0.0
2022-06-27T00:00:00Z,47.780318,37.151808,14.997319,0.070556,0.0
2022-07-04T00:00:00Z,57.872766,24.343102,17.64975,0.134382,0.0
2022-07-11T00:00:00Z,53.712066,31.784979,14.492994,0.009961,0.0
2022-07-18T00:00:00Z,54.658575,25.662008,19.633444,0.045973,0.0
2022-07-25T00:00:00Z,54.867413,29.0291,15.997784,0.098905,0.006798
2022-08-01T00:00:00Z,61.835652,23.671304,14.363975,0.129069,0.0
2022-08-08T00:00:00Z,59.346747,28.169614,12.398405,0.082189,0.003044
2022-08-15T00:00:00Z,53.603762,25.629869,20.684492,0.081877,0.0
2022-08-22T00:00:00Z,64.538059,24.604881,10.697269,0.159791,0.0
2022-08-29T00:00:00Z,60.130645,27.030071,12.782971,0.056313,0.0
2022-09-05T00:00:00Z,59.750452,26.278794,13.931233,0.028229,0.011292
2022-09-12T00:00:00Z,59.197259,23.198727,17.515908,0.088106,0.0
2022-09-19T00:00:00Z,60.319561,29.696561,9.974252,0.007219,0.002406
2022-09-26T00:00:00Z,66.351102,22.228223,11.334901,0.085774,0.0
2022-10-03T00:00:00Z,64.465236,26.066305,9.44459,0.021481,0.002387
2022-10-10T00:00:00Z,58.701545,22.436975,18.818108,0.037951,0.005422
2022-10-17T00:00:00Z,65.403792,18.46861,16.12389,0.003707,0.0
2022-10-24T00:00:00Z,69.279203,15.353479,15.202989,0.164329,0.0
2022-10-31T00:00:00Z,66.369339,19.588187,14.019549,0.016673,0.006252
2022-11-07T00:00:00Z,67.078612,20.589747,12.294627,0.028788,0.008225
2022-11-14T00:00:00Z,66.720475,23.846622,9.294872,0.135692,0.00234
2022-11-21T00:00:00Z,58.215574,28.157991,13.568521,0.05295,0.004964
2022-11-28T00:00:00Z,58.958183,26.385281,14.607707,0.033204,0.015625
2022-12-05T00:00:00Z,64.232837,20.869598,14.870784,0.01339,0.01339
2022-12-12T00:00:00Z,58.734386,22.031589,19.114277,0.101167,0.018582
2022-12-19T00:00:00Z,53.528016,27.451268,18.988921,0.019566,0.012229
2022-12-26T00:00:00Z,66.967564,19.446144,13.575363,0.0,0.010928
