Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,64.800527,17.83026,17.331577,0.037636,0.0
2022-01-03T00:00:00Z,62.369123,18.853076,16.54691,2.23089,0.0
2022-01-10T00:00:00Z,65.501066,14.149254,20.315565,0.017058,0.017058
2022-01-17T00:00:00Z,54.599068,26.443451,18.928945,0.028536,0.0
2022-01-24T00:00:00Z,55.607003,19.403849,24.989148,0.0,0.0
2022-01-31T00:00:00Z,62.585616,17.494292,19.820205,0.099886,0.0
2022-02-07T00:00:00Z,69.419946,21.132972,9.447083,0.0,0.0
2022-02-14T00:00:00Z,65.252734,20.543896,14.129471,0.059119,0.01478
2022-02-21T00:00:00Z,60.072202,19.783394,20.144404,0.0,0.0
2022-02-28T00:00:00Z,60.460038,18.59077,20.920076,0.029116,0.0
2022-03-07T00:00:00Z,71.098602,15.517363,13.384034,0.0,0.0
2022-03-14T00:00:00Z,64.462312,14.090452,21.065327,0.38191,0.0
2022-03-21T00:00:00Z,66.299721,17.598708,15.822692,0.278879,0.0
2022-03-28T00:00:00Z,64.574558,21.293176,14.132266,0.0,0.0
2022-04-04T00:00:00Z,67.684055,20.218276,12.097669,0.0,0.0
2022-04-11T00:00:00Z,70.79123,11.935176,17.273594,0.0,0.0
2022-04-18T00:00:00Z,62.023376,18.164399,19.812225,0.0,0.0
2022-04-25T00:00:00Z,60.429242,20.21015,18.824055,0.536553,0.0
2022-05-02T00:00:00Z,56.744926,30.335588,12.919485,0.0,0.0
2022-05-09T00:00:00Z,65.563218,17.057471,17.37931,0.0,0.0
2022-05-16T00:00:00Z,65.567993,14.904643,19.527363,0.0,0.0
2022-05-23T00:00:00Z,64.084652,11.958085,23.607972,0.349291,0.0
2022-05-30T00:00:00Z,60.349988,17.361271,21.920332,0.368409,0.0
2022-06-06T00:00:00Z,75.357845,10.8476,13.794555,0.0,0.0
2022-06-13T00:00:00Z,64.511342,12.253551,23.235107,0.0,0.0
2022-06-20T00:00:00Z,63.076405,10.063952,26.859643,0.0,0.0
2022-06-27T00:00:00Z,73.582138,7.398957,18.660365,0.35854,0.0
2022-07-04T00:00:00Z,63.654046,13.485477,22.821577,0.0389,0.0
2022-07-11T00:00:00Z,51.783599,20.837173,26.852705,0.526524,0.0
2022-07-18T00:00:00Z,70.908312,14.967152,13.953156,0.17138,0.0
2022-07-25T00:00:00Z,56.386266,16.915594,26.669528,0.028612,0.0
2022-08-01T00:00:00Z,51.441606,16.934307,31.350365,0.273723,0.0
2022-08-08T00:00:00Z,59.100686,8.685855,31.988118,0.225341,0.0
2022-08-15T00:00:00Z,44.733439,28.984049,26.282512,0.0,0.0
2022-08-22T00:00:00Z,56.822917,15.434028,26.267361,1.475694,0.0
2022-08-29T00:00:00Z,62.608814,18.403156,18.974429,0.013602,0.0
2022-09-05T00:00:00Z,55.827922,19.675325,24.496753,0.0,0.0
2022-09-12T00:00:00Z,42.654678,38.860104,18.012801,0.472417,0.0
2022-09-19T00:00:00Z,26.227719,9.894507,63.877774,0.0,0.0
2022-09-26T00:00:00Z,54.956245,21.511535,19.077168,4.455052,0.0
2022-10-03T00:00:00Z,58.008546,18.179464,23.786093,0.025897,0.0
2022-10-10T00:00:00Z,55.818686,19.33395,24.033302,0.777058,0.037003
2022-10-17T00:00:00Z,72.102712,11.232038,16.66525,0.0,0.0
2022-10-24T00:00:00Z,72.749869,11.512297,15.737834,0.0,0.0
2022-10-31T00:00:00Z,66.074672,19.001009,14.924319,0.0,0.0
2022-11-07T00:00:00Z,60.0,10.189349,29.313609,0.497041,0.0
2022-11-14T00:00:00Z,69.529767,12.275215,18.105663,0.089356,0.0
2022-11-21T00:00:00Z,68.844697,8.884298,22.227961,0.043044,0.0
2022-11-28T00:00:00Z,64.683558,19.633888,15.671392,0.0,0.011162
2022-12-05T00:00:00Z,61.833578,10.809643,27.04571,0.311069,0.0
2022-12-12T00:00:00Z,55.716835,15.121951,28.792385,0.368828,0.0
2022-12-19T00:00:00Z,66.843555,18.256965,14.889274,0.010205,0.0
2022-12-26T00:00:00Z,46.119005,13.428064,40.44405,0.008881,0.0
