Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,66.882381,17.868121,15.131625,0.117873,0.0
2022-01-03T00:00:00Z,65.736642,18.023268,16.143313,0.0906,0.006177
2022-01-10T00:00:00Z,67.427423,17.123716,15.433229,0.013399,0.002233
2022-01-17T00:00:00Z,64.654162,20.323229,14.806984,0.215626,0.0
2022-01-24T00:00:00Z,66.073552,20.876433,12.809927,0.226625,0.013463
2022-01-31T00:00:00Z,65.773847,19.578859,14.230364,0.414824,0.002106
2022-02-07T00:00:00Z,64.904216,20.887327,14.033738,0.17472,0.0
2022-02-14T00:00:00Z,61.368117,19.141606,19.386506,0.101696,0.002075
2022-02-21T00:00:00Z,65.204088,18.61858,15.760693,0.41664,0.0
2022-02-28T00:00:00Z,62.643129,20.217534,16.848299,0.288913,0.002124
2022-03-07T00:00:00Z,62.168259,19.86402,17.860509,0.107211,0.0
2022-03-14T00:00:00Z,59.885373,23.419063,16.539036,0.156528,0.0
2022-03-21T00:00:00Z,65.60317,20.197119,13.927909,0.271801,0.0
2022-03-28T00:00:00Z,67.255435,18.691472,13.432274,0.620819,0.0
2022-04-04T00:00:00Z,58.654896,30.383502,10.852437,0.109165,0.0
2022-04-11T00:00:00Z,61.506783,21.3869,16.95303,0.148711,0.004576
2022-04-18T00:00:00Z,59.816865,19.426444,20.627893,0.128799,0.0
2022-04-25T00:00:00Z,57.667581,22.780201,19.374635,0.175336,0.002248
2022-05-02T00:00:00Z,64.97272,19.335542,15.633281,0.058457,0.0
2022-05-09T00:00:00Z,65.265556,16.561645,17.950508,0.222292,0.0
2022-05-16T00:00:00Z,61.50981,25.985149,12.341344,0.163697,0.0
2022-05-23T00:00:00Z,65.253009,22.131688,12.518668,0.096635,0.0
2022-05-30T00:00:00Z,58.2734,26.942362,14.665215,0.119024,0.0
2022-06-06T00:00:00Z,66.43419,22.155128,11.305956,0.10027,0.004456
2022-06-13T00:00:00Z,59.996547,26.18914,13.695615,0.118698,0.0
2022-06-20T00:00:00Z,60.63439,24.812791,14.383271,0.169547,0.0
2022-06-27T00:00:00Z,63.673835,20.228992,15.90004,0.197133,0.0
2022-07-04T00:00:00Z,59.51203,26.57408,13.820508,0.093382,0.0
2022-07-11T00:00:00Z,60.443248,22.489644,16.793703,0.273405,0.0
2022-07-18T00:00:00Z,60.248861,22.928068,16.785618,0.037454,0.0
2022-07-25T00:00:00Z,61.04159,29.018747,9.788586,0.151076,0.0
2022-08-01T00:00:00Z,39.601664,50.571371,9.789853,0.037112,0.0
2022-08-08T00:00:00Z,65.968786,21.070781,12.788016,0.172418,0.0
2022-08-15T00:00:00Z,62.70531,25.854705,11.278499,0.161486,0.0
2022-08-22T00:00:00Z,59.779044,27.36856,12.711547,0.129844,0.011004
2022-08-29T00:00:00Z,59.985447,27.719345,12.244493,0.050716,0.0
2022-09-05T00:00:00Z,63.218613,24.484403,12.146601,0.150382,0.0
2022-09-12T00:00:00Z,60.716823,26.328821,12.913766,0.04059,0.0
2022-09-19T00:00:00Z,56.968244,29.446166,13.478371,0.107219,0.0
2022-09-26T00:00:00Z,64.755789,23.568788,11.603425,0.071998,0.0
2022-10-03T00:00:00Z,56.153527,30.733047,12.854517,0.252979,0.005929
2022-10-10T00:00:00Z,64.648785,26.050794,9.182874,0.092612,0.024934
2022-10-17T00:00:00Z,60.024848,30.457759,9.496395,0.020998,0.0
2022-10-24T00:00:00Z,66.085323,20.127001,13.667829,0.116269,0.003577
2022-10-31T00:00:00Z,67.95274,20.25061,11.730603,0.066047,0.0
2022-11-07T00:00:00Z,67.003013,21.847342,10.977026,0.166342,0.006277
2022-11-14T00:00:00Z,64.229065,23.728487,11.878693,0.160545,0.003211
2022-11-21T00:00:00Z,64.534389,25.090796,10.271252,0.100726,0.002837
2022-11-28T00:00:00Z,59.381958,26.327434,14.11219,0.172709,0.005709
2022-12-05T00:00:00Z,56.718094,27.088401,15.994489,0.197316,0.001701
2022-12-12T00:00:00Z,55.76187,25.964655,18.13177,0.136819,0.004886
2022-12-19T00:00:00Z,68.103176,20.196867,11.560569,0.132203,0.007185
2022-12-26T00:00:00Z,59.542077,26.627123,13.646578,0.180173,0.004049
