Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,48.852413,28.657068,22.196013,0.28665,0.007856
2022-01-03T00:00:00Z,49.63554,28.067804,21.986371,0.301766,0.008519
2022-01-10T00:00:00Z,57.302303,24.847758,17.622472,0.221549,0.005918
2022-01-17T00:00:00Z,63.588928,21.242776,14.988992,0.172809,0.006495
2022-01-24T00:00:00Z,64.181238,21.34287,14.296517,0.17316,0.006214
2022-01-31T00:00:00Z,64.510663,21.074622,14.248509,0.160675,0.005531
2022-02-07T00:00:00Z,64.523306,20.813001,14.503378,0.155721,0.004595
2022-02-14T00:00:00Z,65.271675,19.99818,14.565023,0.160391,0.004731
2022-02-21T00:00:00Z,66.913906,18.836551,14.092092,0.15252,0.00493
2022-02-28T00:00:00Z,66.87524,18.67338,14.259428,0.186837,0.005116
2022-03-07T00:00:00Z,66.39412,18.990775,14.42483,0.18682,0.003455
2022-03-14T00:00:00Z,59.912981,22.666535,17.21328,0.204237,0.002966
2022-03-21T00:00:00Z,53.486604,27.316399,18.940775,0.253324,0.002898
2022-03-28T00:00:00Z,51.167503,28.310644,20.239993,0.278465,0.003395
2022-04-04T00:00:00Z,49.985856,30.07111,19.62805,0.309471,0.005513
2022-04-11T00:00:00Z,50.317745,30.358479,19.069855,0.249276,0.004645
2022-04-18T00:00:00Z,49.631678,30.293265,19.820864,0.248859,0.005335
2022-04-25T00:00:00Z,49.737559,30.339647,19.588792,0.330099,0.003903
2022-05-02T00:00:00Z,48.943096,30.282149,20.568964,0.201628,0.004163
2022-05-09T00:00:00Z,48.612705,29.804412,21.348901,0.228133,0.005849
2022-05-16T00:00:00Z,48.870804,30.552961,20.353948,0.217921,0.004366
2022-05-23T00:00:00Z,50.587583,30.297951,18.893286,0.215468,0.005712
2022-05-30T00:00:00Z,51.149966,30.221145,18.445776,0.175332,0.00778
2022-06-06T00:00:00Z,50.18829,30.850492,18.801183,0.155598,0.004436
2022-06-13T00:00:00Z,50.642601,31.132348,18.082762,0.135159,0.00713
2022-06-20T00:00:00Z,50.159648,32.42157,17.260016,0.154892,0.003874
2022-06-27T00:00:00Z,50.046573,32.455738,17.34445,0.146261,0.006977
2022-07-04T00:00:00Z,47.703026,33.674921,18.456195,0.159958,0.0059
2022-07-11T00:00:00Z,48.541805,34.505321,16.812295,0.135322,0.005257
2022-07-18T00:00:00Z,48.497832,34.370067,16.993904,0.135009,0.003187
2022-07-25T00:00:00Z,48.152692,34.29177,17.405405,0.144351,0.005783
2022-08-01T00:00:00Z,46.332467,37.122413,16.402329,0.137704,0.005087
2022-08-08T00:00:00Z,46.745682,36.667454,16.44974,0.131553,0.00557
2022-08-15T00:00:00Z,46.719941,36.832374,16.340205,0.1037,0.003781
2022-08-22T00:00:00Z,48.658363,35.883288,15.319094,0.13154,0.007715
2022-08-29T00:00:00Z,48.031355,36.652572,15.19151,0.120561,0.004002
2022-09-05T00:00:00Z,48.168103,36.308117,15.332871,0.18535,0.005559
2022-09-12T00:00:00Z,50.442198,34.346733,15.078766,0.127443,0.00486
2022-09-19T00:00:00Z,53.885889,30.305065,15.697405,0.104997,0.006644
2022-09-26T00:00:00Z,54.021315,30.535581,15.314287,0.11074,0.018076
2022-10-03T00:00:00Z,54.186801,30.856303,14.810459,0.103834,0.042603
2022-10-10T00:00:00Z,54.474161,31.478974,13.87029,0.114565,0.06201
2022-10-17T00:00:00Z,56.353485,29.824258,13.611254,0.135735,0.075268
2022-10-24T00:00:00Z,55.951132,30.536653,13.280332,0.139851,0.092032
2022-10-31T00:00:00Z,56.703519,29.290135,13.812394,0.101416,0.092536
2022-11-07T00:00:00Z,54.758615,30.495412,14.554143,0.103846,0.087984
2022-11-14T00:00:00Z,54.783653,30.163165,14.865426,0.109228,0.078529
2022-11-21T00:00:00Z,56.43757,30.855041,12.513571,0.11201,0.081808
2022-11-28T00:00:00Z,54.273915,32.502527,13.015715,0.109617,0.098226
2022-12-05T00:00:00Z,54.148577,32.657434,12.96493,0.124952,0.104106
2022-12-12T00:00:00Z,52.91967,34.276241,12.582259,0.125362,0.096468
2022-12-19T00:00:00Z,53.798232,31.554315,14.409929,0.147683,0.089841
2022-12-26T00:00:00Z,54.218131,32.677721,12.873048,0.125005,0.106095
