Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,53.281385,32.767592,13.853378,0.095718,0.001927
2022-01-03T00:00:00Z,54.949496,33.843674,11.052741,0.14696,0.007129
2022-01-10T00:00:00Z,56.610604,32.547622,10.703302,0.133804,0.004668
2022-01-17T00:00:00Z,53.604101,34.840381,11.464706,0.090813,0.0
2022-01-24T00:00:00Z,56.204541,30.142106,13.465804,0.186876,0.000672
2022-01-31T00:00:00Z,56.557159,27.341951,15.913944,0.186186,0.00076
2022-02-07T00:00:00Z,58.209924,24.867434,16.764478,0.154834,0.00333
2022-02-14T00:00:00Z,59.24989,24.499355,16.027974,0.20646,0.016321
2022-02-21T00:00:00Z,58.735649,24.735878,16.295424,0.230596,0.002453
2022-02-28T00:00:00Z,58.027029,25.951557,15.791278,0.224424,0.005713
2022-03-07T00:00:00Z,57.078716,23.961242,18.670099,0.283182,0.006761
2022-03-14T00:00:00Z,54.948893,28.435412,16.357344,0.251107,0.007243
2022-03-21T00:00:00Z,59.444892,22.311416,18.071991,0.168161,0.00354
2022-03-28T00:00:00Z,57.619407,24.376888,17.763631,0.239174,0.000899
2022-04-04T00:00:00Z,59.889958,21.625136,18.350583,0.130879,0.003444
2022-04-11T00:00:00Z,60.86872,23.120269,15.748694,0.261507,0.00081
2022-04-18T00:00:00Z,59.028781,22.977767,17.666065,0.320548,0.006838
2022-04-25T00:00:00Z,61.642164,21.622045,16.461218,0.257258,0.017315
2022-05-02T00:00:00Z,54.990194,21.603842,23.23687,0.169094,0.0
2022-05-09T00:00:00Z,62.707786,21.776051,15.398427,0.102283,0.015453
2022-05-16T00:00:00Z,60.370947,20.238477,19.169792,0.219218,0.001566
2022-05-23T00:00:00Z,59.594415,21.876399,17.95907,0.567582,0.002534
2022-05-30T00:00:00Z,59.027562,21.666148,18.798661,0.504516,0.003114
2022-06-06T00:00:00Z,58.708678,21.127931,19.965806,0.195972,0.001613
2022-06-13T00:00:00Z,60.208585,19.804299,19.719855,0.264649,0.002612
2022-06-20T00:00:00Z,62.275186,21.025007,16.524255,0.154951,0.0206
2022-06-27T00:00:00Z,54.648152,19.407905,25.692278,0.194578,0.057087
2022-07-04T00:00:00Z,56.435857,21.242226,22.1627,0.156729,0.002488
2022-07-11T00:00:00Z,57.499439,21.038672,21.25818,0.199553,0.004157
2022-07-18T00:00:00Z,59.300357,23.091235,17.223721,0.37882,0.005867
2022-07-25T00:00:00Z,55.483113,21.65662,22.609326,0.247532,0.00341
2022-08-01T00:00:00Z,60.970159,21.086592,17.832704,0.10634,0.004206
2022-08-08T00:00:00Z,57.482981,23.882552,18.382235,0.24178,0.010452
2022-08-15T00:00:00Z,59.367993,22.442937,18.071207,0.115707,0.002156
2022-08-22T00:00:00Z,50.420646,26.401532,22.976805,0.194925,0.006091
2022-08-29T00:00:00Z,45.796207,32.477636,21.595316,0.130249,0.000592
2022-09-05T00:00:00Z,50.988011,22.770012,26.099411,0.135271,0.007294
2022-09-12T00:00:00Z,53.280019,25.845268,20.705566,0.167903,0.001244
2022-09-19T00:00:00Z,60.967064,19.026626,19.827808,0.147783,0.030719
2022-09-26T00:00:00Z,62.818887,18.801973,18.252995,0.124031,0.002114
2022-10-03T00:00:00Z,61.112079,20.758267,17.982716,0.142872,0.004065
2022-10-10T00:00:00Z,59.732335,18.404136,21.464497,0.393703,0.005329
2022-10-17T00:00:00Z,61.008386,18.418049,20.442772,0.107712,0.023081
2022-10-24T00:00:00Z,64.244618,18.76885,16.830105,0.143984,0.012443
2022-10-31T00:00:00Z,63.994168,18.528929,17.231153,0.209853,0.035896
2022-11-07T00:00:00Z,62.715534,18.533974,18.584172,0.139103,0.027216
2022-11-14T00:00:00Z,63.059163,15.924307,20.814099,0.192172,0.010258
2022-11-21T00:00:00Z,62.325903,18.768287,18.62567,0.170914,0.109227
2022-11-28T00:00:00Z,61.182288,19.272737,19.12384,0.122229,0.298905
2022-12-05T00:00:00Z,59.897032,20.782107,18.890983,0.083837,0.34604
2022-12-12T00:00:00Z,59.227823,21.516081,18.90269,0.147404,0.206002
2022-12-19T00:00:00Z,58.801694,23.311166,17.5109,0.119541,0.256699
2022-12-26T00:00:00Z,60.97926,20.405022,18.39763,0.134396,0.083692
