Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,66.616386,17.72097,15.261459,0.400127,0.001059
2022-01-03T00:00:00Z,66.544671,18.207422,14.985843,0.260056,0.002008
2022-01-10T00:00:00Z,66.036937,18.134039,15.510632,0.318391,0.0
2022-01-17T00:00:00Z,66.700586,18.470851,14.609758,0.218805,0.0
2022-01-24T00:00:00Z,64.510085,19.675657,15.616328,0.189368,0.008562
2022-01-31T00:00:00Z,65.666665,17.659253,16.457366,0.208341,0.008376
2022-02-07T00:00:00Z,65.924792,16.857601,17.015984,0.201623,0.0
2022-02-14T00:00:00Z,66.436185,17.407107,15.986221,0.170486,0.0
2022-02-21T00:00:00Z,66.706855,17.436593,15.507058,0.349493,0.0
2022-02-28T00:00:00Z,66.139815,16.839601,16.852819,0.167766,0.0
2022-03-07T00:00:00Z,67.973815,17.062397,14.810406,0.150764,0.002617
2022-03-14T00:00:00Z,62.508369,16.46397,20.906766,0.120414,0.000482
2022-03-21T00:00:00Z,62.974724,13.435622,23.42327,0.165462,0.000922
2022-03-28T00:00:00Z,65.927316,16.315286,17.629247,0.12707,0.001081
2022-04-04T00:00:00Z,64.525562,19.214052,16.117169,0.143217,0.0
2022-04-11T00:00:00Z,63.168668,18.74789,17.995647,0.085718,0.002078
2022-04-18T00:00:00Z,64.844918,16.801275,18.245433,0.107392,0.000981
2022-04-25T00:00:00Z,67.568225,15.659445,16.502217,0.270113,0.0
2022-05-02T00:00:00Z,67.310383,17.410372,15.121622,0.157623,0.0
2022-05-09T00:00:00Z,71.226992,14.197024,14.433656,0.142328,0.0
2022-05-16T00:00:00Z,60.401243,16.952407,22.500696,0.145654,0.0
2022-05-23T00:00:00Z,66.852967,16.06286,16.85271,0.228384,0.003079
2022-05-30T00:00:00Z,67.56964,16.344246,15.961901,0.124213,0.0
2022-06-06T00:00:00Z,65.985229,15.86736,18.029002,0.117868,0.000541
2022-06-13T00:00:00Z,63.044566,18.499798,18.250261,0.204312,0.001064
2022-06-20T00:00:00Z,62.838588,17.033217,19.929508,0.198687,0.0
2022-06-27T00:00:00Z,59.097744,16.992599,23.657105,0.249851,0.002701
2022-07-04T00:00:00Z,62.290206,14.707629,22.802908,0.199257,0.0
2022-07-11T00:00:00Z,67.357578,13.890977,18.591004,0.15996,0.000482
2022-07-18T00:00:00Z,64.90491,15.332178,19.511039,0.247285,0.004589
2022-07-25T00:00:00Z,64.162277,14.27446,21.409859,0.152915,0.000488
2022-08-01T00:00:00Z,61.50056,13.656856,24.688697,0.153887,0.0
2022-08-08T00:00:00Z,59.756029,16.124665,23.954206,0.161799,0.003302
2022-08-15T00:00:00Z,61.610654,17.207599,21.079672,0.098205,0.00387
2022-08-22T00:00:00Z,63.141921,17.64815,19.104796,0.104658,0.000476
2022-08-29T00:00:00Z,59.728692,11.960508,28.179189,0.131611,0.0
2022-09-05T00:00:00Z,63.157353,15.230765,21.43736,0.173492,0.00103
2022-09-12T00:00:00Z,66.385747,13.361001,20.124291,0.1279,0.001061
2022-09-19T00:00:00Z,65.396234,13.691397,20.785001,0.117121,0.010248
2022-09-26T00:00:00Z,68.923472,13.63717,17.336311,0.102568,0.000479
2022-10-03T00:00:00Z,65.49334,15.013877,19.341528,0.150765,0.000489
2022-10-10T00:00:00Z,59.651723,17.359354,22.931125,0.057386,0.000413
2022-10-17T00:00:00Z,67.942423,13.628441,18.247557,0.168837,0.012742
2022-10-24T00:00:00Z,72.216289,10.47934,17.114985,0.185812,0.003573
2022-10-31T00:00:00Z,69.416921,12.87112,17.61372,0.098239,0.0
2022-11-07T00:00:00Z,68.333814,12.005197,19.556331,0.104263,0.000395
2022-11-14T00:00:00Z,68.649654,12.346328,18.912542,0.088057,0.00342
2022-11-21T00:00:00Z,56.755854,28.366907,14.773843,0.102099,0.001296
2022-11-28T00:00:00Z,59.105468,25.267498,15.556137,0.068351,0.002545
2022-12-05T00:00:00Z,57.022367,27.198404,15.672722,0.104257,0.00225
2022-12-12T00:00:00Z,59.418853,22.666747,17.828155,0.085036,0.001209
2022-12-19T00:00:00Z,58.921592,23.72771,17.206728,0.142311,0.00166
2022-12-26T00:00:00Z,57.870227,24.675646,17.365462,0.087096,0.001569
