Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,60.393609,23.264792,16.055155,0.269896,0.016547
2022-01-03T00:00:00Z,59.646534,24.463892,15.623448,0.250588,0.015538
2022-01-10T00:00:00Z,61.189317,23.650367,14.924676,0.21504,0.0206
2022-01-17T00:00:00Z,62.296802,22.956059,14.499631,0.230346,0.017162
2022-01-24T00:00:00Z,60.846414,24.115714,14.791685,0.229579,0.016607
2022-01-31T00:00:00Z,61.29363,22.906845,15.574725,0.209056,0.015744
2022-02-07T00:00:00Z,63.599978,21.425627,14.791111,0.171351,0.011933
2022-02-14T00:00:00Z,64.841627,22.508886,12.459872,0.178147,0.011467
2022-02-21T00:00:00Z,63.863055,24.239565,11.684953,0.19861,0.013817
2022-02-28T00:00:00Z,65.15152,22.985161,11.626163,0.208795,0.028361
2022-03-07T00:00:00Z,65.106923,23.017483,11.661616,0.197718,0.01626
2022-03-14T00:00:00Z,69.442151,19.729972,10.651073,0.159338,0.017466
2022-03-21T00:00:00Z,71.98513,18.582698,9.274884,0.147448,0.009841
2022-03-28T00:00:00Z,70.991481,19.165408,9.629764,0.201247,0.012101
2022-04-04T00:00:00Z,66.604893,22.701183,10.434127,0.245118,0.014678
2022-04-11T00:00:00Z,65.036235,22.960685,11.793441,0.194101,0.015537
2022-04-18T00:00:00Z,62.180924,24.706787,12.873683,0.229102,0.009504
2022-04-25T00:00:00Z,62.702438,24.031944,13.039326,0.206515,0.019778
2022-05-02T00:00:00Z,60.812766,24.649658,14.299438,0.204357,0.03378
2022-05-09T00:00:00Z,61.894449,23.916167,13.888217,0.289192,0.011975
2022-05-16T00:00:00Z,61.69379,25.448478,12.615595,0.232035,0.010103
2022-05-23T00:00:00Z,61.889401,25.136071,12.759128,0.202873,0.012527
2022-05-30T00:00:00Z,61.373861,25.851071,12.510303,0.253171,0.011595
2022-06-06T00:00:00Z,64.038901,23.622523,12.104599,0.223656,0.01032
2022-06-13T00:00:00Z,65.042586,22.946749,11.836594,0.162085,0.011986
2022-06-20T00:00:00Z,63.352902,24.50166,11.93626,0.188184,0.020994
2022-06-27T00:00:00Z,62.119589,24.709659,12.942521,0.205766,0.022465
2022-07-04T00:00:00Z,63.649903,24.097583,12.057707,0.180378,0.014429
2022-07-11T00:00:00Z,63.553989,23.910233,12.316415,0.202638,0.016725
2022-07-18T00:00:00Z,64.636854,23.704825,11.493885,0.154475,0.009961
2022-07-25T00:00:00Z,64.286131,24.02211,11.510203,0.176055,0.005501
2022-08-01T00:00:00Z,64.013637,25.032294,10.766686,0.18,0.007384
2022-08-08T00:00:00Z,63.022794,25.132095,11.690266,0.141851,0.012995
2022-08-15T00:00:00Z,65.290237,24.295971,10.12644,0.25358,0.033772
2022-08-22T00:00:00Z,66.555905,23.261494,10.029781,0.142678,0.010142
2022-08-29T00:00:00Z,65.322746,24.267421,10.227682,0.169131,0.013019
2022-09-05T00:00:00Z,65.927805,23.606977,10.319363,0.139832,0.006024
2022-09-12T00:00:00Z,65.767436,23.098498,10.999487,0.125236,0.009343
2022-09-19T00:00:00Z,65.766423,23.376554,10.693435,0.154409,0.009179
2022-09-26T00:00:00Z,66.488199,22.286869,10.99765,0.214182,0.013099
2022-10-03T00:00:00Z,67.788138,22.041482,10.04928,0.110959,0.010141
2022-10-10T00:00:00Z,73.552041,17.415703,8.948491,0.076307,0.007457
2022-10-17T00:00:00Z,71.554142,19.548389,8.820073,0.069479,0.007918
2022-10-24T00:00:00Z,69.86546,20.942064,9.102277,0.078573,0.011626
2022-10-31T00:00:00Z,69.125385,21.629844,9.146122,0.088296,0.010353
2022-11-07T00:00:00Z,67.752031,22.534835,9.625096,0.07571,0.012329
2022-11-14T00:00:00Z,67.077983,23.158214,9.666789,0.087381,0.009633
2022-11-21T00:00:00Z,68.650686,22.631443,8.632418,0.075647,0.009806
2022-11-28T00:00:00Z,66.939985,23.790172,9.167931,0.09099,0.010922
2022-12-05T00:00:00Z,70.052385,21.693584,8.176166,0.070134,0.007731
2022-12-12T00:00:00Z,69.993945,21.841207,8.099928,0.054551,0.01037
2022-12-19T00:00:00Z,69.69518,22.589315,7.64284,0.066072,0.006593
2022-12-26T00:00:00Z,70.552746,21.744033,7.622529,0.069426,0.011266
