Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,53.067684,30.814445,15.150681,0.760778,0.206413
2022-01-03T00:00:00Z,54.482883,29.940541,15.154955,0.38018,0.041441
2022-01-10T00:00:00Z,54.779279,31.941416,12.364142,0.836181,0.078982
2022-01-17T00:00:00Z,54.859576,31.63979,12.286646,1.143323,0.070665
2022-01-24T00:00:00Z,51.420986,28.932601,18.656852,0.967437,0.022124
2022-01-31T00:00:00Z,53.608153,29.499708,15.967765,0.875146,0.049227
2022-02-07T00:00:00Z,53.916716,29.933017,15.256055,0.876064,0.018148
2022-02-14T00:00:00Z,53.262032,31.099023,14.637654,0.934907,0.066384
2022-02-21T00:00:00Z,53.561062,30.302591,15.174878,0.9397,0.021769
2022-02-28T00:00:00Z,56.101487,29.01246,14.181745,0.684185,0.020123
2022-03-07T00:00:00Z,54.64574,30.504649,14.189024,0.626386,0.034201
2022-03-14T00:00:00Z,61.495649,26.20421,11.957768,0.323821,0.018552
2022-03-21T00:00:00Z,52.629876,28.120877,18.206258,0.983247,0.059742
2022-03-28T00:00:00Z,55.445305,28.808201,14.280069,1.424714,0.04171
2022-04-04T00:00:00Z,64.478521,23.389751,11.078345,1.039666,0.013716
2022-04-11T00:00:00Z,55.420656,30.018244,13.679588,0.744281,0.137232
2022-04-18T00:00:00Z,59.979221,26.904638,12.290909,0.743599,0.081633
2022-04-25T00:00:00Z,56.214812,30.544358,12.361329,0.857847,0.021654
2022-05-02T00:00:00Z,54.493272,31.746081,12.856437,0.873349,0.03086
2022-05-09T00:00:00Z,54.275354,30.787449,14.185845,0.604348,0.147004
2022-05-16T00:00:00Z,59.816598,25.963796,13.08823,1.08544,0.045936
2022-05-23T00:00:00Z,57.576161,23.728427,17.812494,0.814416,0.068502
2022-05-30T00:00:00Z,59.637251,22.316592,17.516322,0.404818,0.125017
2022-06-06T00:00:00Z,65.696118,17.819277,15.946452,0.508701,0.029451
2022-06-13T00:00:00Z,57.263682,26.464467,15.885658,0.378975,0.007219
2022-06-20T00:00:00Z,48.404733,26.430273,24.465966,0.683407,0.015621
2022-06-27T00:00:00Z,57.837424,23.333155,18.180684,0.618439,0.030298
2022-07-04T00:00:00Z,56.383518,24.901098,17.999229,0.685724,0.030432
2022-07-11T00:00:00Z,53.830956,26.827958,18.448554,0.740022,0.15251
2022-07-18T00:00:00Z,50.794088,23.578177,24.943936,0.66174,0.022058
2022-07-25T00:00:00Z,53.962288,25.989252,19.039676,0.895993,0.112791
2022-08-01T00:00:00Z,51.948031,23.204631,23.974302,0.734686,0.13835
2022-08-08T00:00:00Z,50.955914,26.99549,21.308017,0.541248,0.199331
2022-08-15T00:00:00Z,48.439679,34.071777,16.534668,0.95263,0.001245
2022-08-22T00:00:00Z,54.932615,21.913747,22.722372,0.408163,0.023104
2022-08-29T00:00:00Z,54.326047,24.613488,20.426274,0.486472,0.147719
2022-09-05T00:00:00Z,58.292975,22.108743,18.966824,0.598513,0.032946
2022-09-12T00:00:00Z,54.279649,24.531381,20.495053,0.446589,0.247326
2022-09-19T00:00:00Z,55.800721,22.793862,20.608244,0.745698,0.051475
2022-09-26T00:00:00Z,56.639354,24.848777,17.759971,0.712134,0.039764
2022-10-03T00:00:00Z,56.554686,25.731934,16.659395,1.041356,0.012629
2022-10-10T00:00:00Z,58.333246,23.344587,17.45252,0.841425,0.028222
2022-10-17T00:00:00Z,57.592198,28.777801,13.301556,0.313807,0.014638
2022-10-24T00:00:00Z,57.881689,24.871894,16.68751,0.531238,0.027669
2022-10-31T00:00:00Z,59.872068,23.561834,15.891258,0.616205,0.058635
2022-11-07T00:00:00Z,59.386105,23.014817,16.998483,0.553835,0.046759
2022-11-14T00:00:00Z,58.95935,22.500406,17.476879,0.79378,0.269586
2022-11-21T00:00:00Z,56.264862,23.623486,19.540124,0.47049,0.101038
2022-11-28T00:00:00Z,60.54023,22.2819,16.05882,1.03353,0.085519
2022-12-05T00:00:00Z,59.280272,23.756748,16.209827,0.554145,0.199008
2022-12-12T00:00:00Z,56.681058,24.80862,17.510189,0.908222,0.091911
2022-12-19T00:00:00Z,55.469733,25.991295,17.7716,0.660444,0.106929
2022-12-26T00:00:00Z,56.178547,26.532458,16.865494,0.36783,0.055672
