Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,65.885474,16.963071,16.924815,0.217113,0.009528
2022-01-03T00:00:00Z,65.686151,17.485849,16.589828,0.228935,0.009236
2022-01-10T00:00:00Z,65.089816,17.475714,17.136347,0.288519,0.009605
2022-01-17T00:00:00Z,64.918333,17.730033,17.022158,0.317305,0.012171
2022-01-24T00:00:00Z,63.291333,17.73703,18.679837,0.282523,0.009277
2022-01-31T00:00:00Z,60.934154,16.744107,22.11509,0.196902,0.009746
2022-02-07T00:00:00Z,64.215679,17.974484,17.592765,0.205601,0.011471
2022-02-14T00:00:00Z,64.649286,17.900651,17.187156,0.255234,0.007673
2022-02-21T00:00:00Z,64.657773,18.15707,16.885314,0.290657,0.009186
2022-02-28T00:00:00Z,65.911775,17.896894,15.86546,0.314468,0.011404
2022-03-07T00:00:00Z,65.937682,17.664364,16.093535,0.294661,0.009758
2022-03-14T00:00:00Z,65.537515,16.937952,17.23532,0.281999,0.007214
2022-03-21T00:00:00Z,66.204449,17.533562,15.928382,0.323572,0.010035
2022-03-28T00:00:00Z,65.732351,17.549017,16.433653,0.27585,0.009129
2022-04-04T00:00:00Z,59.182558,18.874744,21.640791,0.295409,0.006498
2022-04-11T00:00:00Z,61.071812,19.907753,18.731975,0.279738,0.008722
2022-04-18T00:00:00Z,63.125617,18.662602,17.898624,0.300407,0.01275
2022-04-25T00:00:00Z,63.808814,17.980403,17.946923,0.248167,0.015693
2022-05-02T00:00:00Z,64.193412,18.375503,17.173261,0.249383,0.008441
2022-05-09T00:00:00Z,64.933716,17.988998,16.782909,0.27704,0.017336
2022-05-16T00:00:00Z,65.453392,17.583957,16.631257,0.32328,0.008113
2022-05-23T00:00:00Z,63.714723,17.872538,18.116322,0.287546,0.008871
2022-05-30T00:00:00Z,62.284951,18.060417,19.229975,0.419266,0.005391
2022-06-06T00:00:00Z,63.576345,19.984892,16.093306,0.341828,0.003628
2022-06-13T00:00:00Z,63.558643,20.014798,16.013146,0.408377,0.005035
2022-06-20T00:00:00Z,61.757116,21.189467,16.717089,0.331346,0.004983
2022-06-27T00:00:00Z,61.500117,21.966755,16.215474,0.313288,0.004366
2022-07-04T00:00:00Z,61.297588,21.799286,16.523945,0.374466,0.004715
2022-07-11T00:00:00Z,60.404457,22.215191,17.090248,0.284662,0.005443
2022-07-18T00:00:00Z,60.53327,23.362114,15.783991,0.315822,0.004804
2022-07-25T00:00:00Z,61.33479,22.734922,15.625556,0.30101,0.003722
2022-08-01T00:00:00Z,58.816688,25.915368,14.986748,0.277491,0.003705
2022-08-08T00:00:00Z,58.829463,23.872483,16.963785,0.33114,0.003128
2022-08-15T00:00:00Z,60.774549,23.153909,15.805924,0.260277,0.00534
2022-08-22T00:00:00Z,61.214069,23.698143,14.796718,0.287781,0.003288
2022-08-29T00:00:00Z,61.64198,24.005143,14.090129,0.257818,0.004929
2022-09-05T00:00:00Z,60.449142,24.250734,14.954229,0.338664,0.00723
2022-09-12T00:00:00Z,60.117239,23.805238,15.887955,0.184641,0.004928
2022-09-19T00:00:00Z,60.425968,23.358567,16.067091,0.13976,0.008614
2022-09-26T00:00:00Z,61.347098,23.873083,14.476804,0.298983,0.004032
2022-10-03T00:00:00Z,61.755592,22.853108,15.081819,0.305139,0.004342
2022-10-10T00:00:00Z,62.211672,21.657128,15.227409,0.89947,0.00432
2022-10-17T00:00:00Z,63.419494,22.154842,14.110534,0.312168,0.002962
2022-10-24T00:00:00Z,62.625917,22.630791,14.439789,0.299456,0.004046
2022-10-31T00:00:00Z,62.808129,23.556502,13.385853,0.244204,0.005312
2022-11-07T00:00:00Z,62.733973,22.824658,14.22945,0.207616,0.004303
2022-11-14T00:00:00Z,63.449466,22.650194,13.653053,0.243413,0.003874
2022-11-21T00:00:00Z,62.720066,23.95082,13.087682,0.237812,0.003621
2022-11-28T00:00:00Z,61.202519,24.260129,14.296611,0.236971,0.003769
2022-12-05T00:00:00Z,62.059578,23.745972,13.969938,0.220643,0.00387
2022-12-12T00:00:00Z,62.780361,24.636617,12.35198,0.228233,0.002809
2022-12-19T00:00:00Z,62.712152,23.965382,13.10691,0.212761,0.002795
2022-12-26T00:00:00Z,61.999518,25.259629,12.473906,0.252762,0.014185
