Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,54.225773,22.939467,22.336361,0.492292,0.006107
2022-01-03T00:00:00Z,54.894302,22.818316,21.839004,0.441056,0.007322
2022-01-10T00:00:00Z,55.508322,22.425122,21.577782,0.482028,0.006746
2022-01-17T00:00:00Z,55.568966,23.102497,20.807539,0.514936,0.006062
2022-01-24T00:00:00Z,55.505828,23.016843,20.956111,0.51219,0.009029
2022-01-31T00:00:00Z,54.450718,23.582733,21.494861,0.465339,0.006351
2022-02-07T00:00:00Z,54.916649,23.437108,21.172983,0.463812,0.009448
2022-02-14T00:00:00Z,54.472158,23.587244,21.493804,0.436101,0.010692
2022-02-21T00:00:00Z,55.301425,22.999948,21.251507,0.440428,0.006691
2022-02-28T00:00:00Z,54.682781,23.626081,21.21835,0.466226,0.006562
2022-03-07T00:00:00Z,54.419356,23.505923,21.636012,0.432086,0.006624
2022-03-14T00:00:00Z,54.242602,24.016109,21.292015,0.440635,0.008639
2022-03-21T00:00:00Z,52.804012,24.205121,22.606151,0.375783,0.008933
2022-03-28T00:00:00Z,53.828033,24.050582,21.718231,0.39463,0.008525
2022-04-04T00:00:00Z,53.128472,24.895119,21.57698,0.392632,0.006796
2022-04-11T00:00:00Z,52.027997,26.242786,21.282128,0.441823,0.005266
2022-04-18T00:00:00Z,52.443926,25.592517,21.486291,0.470658,0.006609
2022-04-25T00:00:00Z,52.051049,25.569007,22.014326,0.361017,0.004601
2022-05-02T00:00:00Z,52.020403,24.64391,22.971626,0.35939,0.00467
2022-05-09T00:00:00Z,51.947348,23.927549,23.800192,0.318434,0.006477
2022-05-16T00:00:00Z,52.67615,24.678351,22.231613,0.407313,0.006572
2022-05-23T00:00:00Z,53.406726,25.449207,20.755212,0.383583,0.005272
2022-05-30T00:00:00Z,53.499571,23.048639,23.142014,0.304352,0.005424
2022-06-06T00:00:00Z,53.436014,25.664689,20.547713,0.34625,0.005334
2022-06-13T00:00:00Z,53.067844,25.48079,21.081231,0.364993,0.005141
2022-06-20T00:00:00Z,52.26419,27.203379,20.184434,0.338517,0.009479
2022-06-27T00:00:00Z,52.186944,27.450693,20.014344,0.34268,0.005339
2022-07-04T00:00:00Z,51.965459,26.693281,20.979937,0.356372,0.004952
2022-07-11T00:00:00Z,51.907113,27.229945,20.494013,0.363578,0.005351
2022-07-18T00:00:00Z,52.488685,27.139553,20.024542,0.340747,0.006473
2022-07-25T00:00:00Z,51.44383,27.60029,20.663097,0.288995,0.003788
2022-08-01T00:00:00Z,50.950775,28.824183,19.939545,0.278172,0.007325
2022-08-08T00:00:00Z,51.13541,28.81002,19.749484,0.302195,0.002891
2022-08-15T00:00:00Z,50.341192,29.748739,19.180107,0.726096,0.003867
2022-08-22T00:00:00Z,51.588139,29.808078,18.316823,0.280749,0.006211
2022-08-29T00:00:00Z,51.037842,29.710928,18.952894,0.288461,0.009875
2022-09-05T00:00:00Z,52.190462,28.798359,18.593311,0.413938,0.00393
2022-09-12T00:00:00Z,53.603244,27.111603,18.536633,0.742534,0.005985
2022-09-19T00:00:00Z,54.702728,26.4913,18.571311,0.23141,0.00325
2022-09-26T00:00:00Z,56.308106,25.683512,17.7642,0.241445,0.002738
2022-10-03T00:00:00Z,54.537455,23.984935,21.294426,0.179968,0.003215
2022-10-10T00:00:00Z,55.683462,26.071304,18.007937,0.233465,0.003832
2022-10-17T00:00:00Z,57.254959,24.736887,17.758115,0.243141,0.006899
2022-10-24T00:00:00Z,58.290428,24.155758,17.390527,0.157071,0.006216
2022-10-31T00:00:00Z,58.578483,23.392176,17.845291,0.180209,0.003841
2022-11-07T00:00:00Z,57.957973,24.183007,17.707583,0.147213,0.004223
2022-11-14T00:00:00Z,58.088332,24.42718,17.293944,0.186625,0.003919
2022-11-21T00:00:00Z,56.420035,25.738037,17.673309,0.164125,0.004494
2022-11-28T00:00:00Z,52.632537,24.170951,23.046642,0.142503,0.007367
2022-12-05T00:00:00Z,53.269975,23.21615,23.395377,0.114402,0.004096
2022-12-12T00:00:00Z,55.849807,25.648746,18.300028,0.193883,0.007536
2022-12-19T00:00:00Z,54.999583,27.151983,17.64642,0.194443,0.007571
2022-12-26T00:00:00Z,57.160859,25.777634,16.905383,0.149974,0.006151
