Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S  Q U I C,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,55.022688,32.387988,6.377277,6.189274,0.022773
2022-01-03T00:00:00Z,55.022772,30.705611,8.183699,6.063452,0.024466
2022-01-10T00:00:00Z,59.53825,30.579956,3.254433,6.599561,0.027801
2022-01-17T00:00:00Z,57.472401,30.84752,4.712933,6.938982,0.028165
2022-01-24T00:00:00Z,59.78581,30.584798,2.141553,7.461552,0.026287
2022-01-31T00:00:00Z,60.984079,30.261787,1.159875,7.55055,0.043709
2022-02-07T00:00:00Z,58.889162,30.027776,3.955271,7.103674,0.024117
2022-02-14T00:00:00Z,61.468896,30.131636,1.361547,7.015157,0.022765
2022-02-21T00:00:00Z,59.924706,30.102478,2.764408,7.174455,0.033953
2022-02-28T00:00:00Z,57.790738,29.915329,5.096349,7.177727,0.019857
2022-03-07T00:00:00Z,59.287821,30.796006,2.447288,7.450773,0.018113
2022-03-14T00:00:00Z,60.360812,29.786032,1.211495,8.612675,0.028985
2022-03-21T00:00:00Z,60.543356,27.9344,1.449616,10.05258,0.020048
2022-03-28T00:00:00Z,59.920262,27.547306,1.29868,11.210675,0.023078
2022-04-04T00:00:00Z,58.802204,28.023908,1.749062,11.406931,0.017895
2022-04-11T00:00:00Z,57.840397,28.758835,2.277447,11.096233,0.027088
2022-04-18T00:00:00Z,52.33567,28.436678,9.410886,9.542065,0.2747
2022-04-25T00:00:00Z,53.948644,28.203574,7.892634,9.74083,0.214318
2022-05-02T00:00:00Z,53.386513,27.563214,9.554213,9.154921,0.341139
2022-05-09T00:00:00Z,52.739794,28.276673,9.23781,9.448515,0.297208
2022-05-16T00:00:00Z,53.793747,27.767572,8.419433,9.788221,0.231027
2022-05-23T00:00:00Z,56.921568,27.037425,5.151343,10.769497,0.120167
2022-05-30T00:00:00Z,58.310144,25.635166,4.920321,10.976275,0.158096
2022-06-06T00:00:00Z,56.554489,26.963154,4.843376,11.483357,0.155625
2022-06-13T00:00:00Z,56.324809,31.780554,0.591397,11.28173,0.02151
2022-06-20T00:00:00Z,52.794283,34.989416,1.213713,10.957836,0.044752
2022-06-27T00:00:00Z,49.553466,39.162835,1.324958,9.92263,0.036112
2022-07-04T00:00:00Z,50.713204,38.649027,0.454876,10.166643,0.01625
2022-07-11T00:00:00Z,50.362406,38.918627,0.353867,10.351602,0.013498
2022-07-18T00:00:00Z,51.73803,37.829345,0.358137,10.061266,0.013222
2022-07-25T00:00:00Z,50.113293,39.499915,0.379497,9.994331,0.012963
2022-08-01T00:00:00Z,40.211338,51.578634,0.295969,7.904046,0.010014
2022-08-08T00:00:00Z,52.900951,37.024607,0.356423,9.706108,0.011911
2022-08-15T00:00:00Z,51.950125,37.111725,0.34078,10.581103,0.016267
2022-08-22T00:00:00Z,50.175454,39.41071,0.349976,10.04881,0.01505
2022-08-29T00:00:00Z,50.95832,38.843653,0.457985,9.721433,0.01861
2022-09-05T00:00:00Z,51.604955,37.425484,0.506245,10.449907,0.013409
2022-09-12T00:00:00Z,51.345632,37.341171,0.450064,10.85018,0.012953
2022-09-19T00:00:00Z,52.681648,37.162223,0.480098,9.655005,0.021026
2022-09-26T00:00:00Z,58.344629,29.994435,0.563302,11.074064,0.02357
2022-10-03T00:00:00Z,61.648074,26.09267,0.542709,11.700794,0.015753
2022-10-10T00:00:00Z,62.167529,25.530529,0.558371,11.723132,0.020439
2022-10-17T00:00:00Z,64.155167,23.762189,0.518967,11.550174,0.013504
2022-10-24T00:00:00Z,64.152304,23.676412,0.635992,11.522661,0.012631
2022-10-31T00:00:00Z,64.520146,22.808176,0.805693,11.852667,0.013318
2022-11-07T00:00:00Z,63.031505,23.632638,0.750236,12.569884,0.015738
2022-11-14T00:00:00Z,63.189448,24.337663,0.366476,12.092953,0.01346
2022-11-21T00:00:00Z,65.100023,21.972738,0.266823,12.650345,0.010071
2022-11-28T00:00:00Z,64.334256,22.351415,0.256631,13.044448,0.01325
2022-12-05T00:00:00Z,64.013544,23.023379,0.234343,12.714156,0.014578
2022-12-12T00:00:00Z,62.962579,23.221776,0.247406,13.558639,0.0096
2022-12-19T00:00:00Z,63.322566,23.273509,0.247178,13.148662,0.008084
2022-12-26T00:00:00Z,63.319891,22.972688,0.227418,13.471482,0.00852
