Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,57.710601,22.385926,19.496287,0.399142,0.008045
2022-01-03T00:00:00Z,58.157444,22.066079,19.326369,0.439948,0.01016
2022-01-10T00:00:00Z,59.447661,22.254191,17.839968,0.449989,0.008191
2022-01-17T00:00:00Z,60.091211,22.2602,17.204889,0.436537,0.007163
2022-01-24T00:00:00Z,60.155797,22.966186,16.414166,0.455475,0.008376
2022-01-31T00:00:00Z,60.843414,22.90198,15.834298,0.414637,0.005671
2022-02-07T00:00:00Z,59.776691,23.277043,16.52817,0.410058,0.008039
2022-02-14T00:00:00Z,61.001193,21.803973,16.792599,0.395848,0.006386
2022-02-21T00:00:00Z,61.622468,21.89571,16.111348,0.366019,0.004455
2022-02-28T00:00:00Z,59.664341,23.603882,16.332115,0.392695,0.006968
2022-03-07T00:00:00Z,59.502648,23.503944,16.51201,0.47419,0.007207
2022-03-14T00:00:00Z,60.453085,22.625229,16.586415,0.329938,0.005334
2022-03-21T00:00:00Z,60.455786,23.111904,16.079382,0.348024,0.004905
2022-03-28T00:00:00Z,59.952037,23.202617,16.461767,0.377814,0.005764
2022-04-04T00:00:00Z,55.089242,28.25909,16.286161,0.361069,0.004438
2022-04-11T00:00:00Z,54.474711,28.444275,16.737519,0.338624,0.004871
2022-04-18T00:00:00Z,55.347992,26.745712,17.554097,0.347829,0.00437
2022-04-25T00:00:00Z,54.43193,27.248742,18.014792,0.299123,0.005413
2022-05-02T00:00:00Z,55.477176,27.088601,17.117087,0.311048,0.006089
2022-05-09T00:00:00Z,52.567444,27.111676,20.052308,0.262646,0.005926
2022-05-16T00:00:00Z,53.422733,27.479931,18.731134,0.361923,0.004278
2022-05-23T00:00:00Z,53.487896,28.162795,17.927558,0.417119,0.004632
2022-05-30T00:00:00Z,54.966487,28.20765,16.504879,0.316965,0.004019
2022-06-06T00:00:00Z,55.0369,28.691408,15.936969,0.329492,0.005231
2022-06-13T00:00:00Z,55.735194,28.0504,15.876156,0.334356,0.003894
2022-06-20T00:00:00Z,53.860895,29.341529,16.469249,0.323442,0.004884
2022-06-27T00:00:00Z,54.1557,28.924745,16.586593,0.328591,0.004371
2022-07-04T00:00:00Z,53.370706,29.441576,16.902985,0.279143,0.00559
2022-07-11T00:00:00Z,54.087646,29.583658,15.89983,0.422077,0.00679
2022-07-18T00:00:00Z,53.405844,30.061646,16.241332,0.283152,0.008026
2022-07-25T00:00:00Z,52.388016,30.646315,16.658817,0.301329,0.005523
2022-08-01T00:00:00Z,52.207269,32.14138,15.332542,0.312212,0.006597
2022-08-08T00:00:00Z,52.051168,31.609979,16.06659,0.265668,0.006595
2022-08-15T00:00:00Z,52.281742,31.842761,15.606779,0.262293,0.006425
2022-08-22T00:00:00Z,52.894312,32.049909,14.72638,0.320782,0.008617
2022-08-29T00:00:00Z,54.03397,30.484178,15.178234,0.299955,0.003663
2022-09-05T00:00:00Z,54.136211,31.026125,14.529932,0.298245,0.009487
2022-09-12T00:00:00Z,55.775261,30.671035,13.246213,0.304152,0.003338
2022-09-19T00:00:00Z,57.262003,28.713652,13.714218,0.30637,0.003757
2022-09-26T00:00:00Z,58.827604,27.855995,13.042354,0.270873,0.003174
2022-10-03T00:00:00Z,58.022518,28.043465,13.627052,0.299041,0.007924
2022-10-10T00:00:00Z,56.927426,28.524597,14.242236,0.298018,0.007722
2022-10-17T00:00:00Z,59.145313,27.099212,13.535489,0.205475,0.014511
2022-10-24T00:00:00Z,59.997279,27.606746,12.186922,0.201881,0.007172
2022-10-31T00:00:00Z,61.182919,25.919919,12.708812,0.180554,0.007796
2022-11-07T00:00:00Z,58.254719,27.321809,14.224747,0.191158,0.007569
2022-11-14T00:00:00Z,57.210436,27.131982,15.472674,0.176532,0.008376
2022-11-21T00:00:00Z,60.354644,27.630699,11.81634,0.190767,0.00755
2022-11-28T00:00:00Z,56.526179,27.012124,16.27199,0.179006,0.010701
2022-12-05T00:00:00Z,56.106483,27.279405,16.432135,0.17298,0.008997
2022-12-12T00:00:00Z,58.066541,28.313377,13.450954,0.159751,0.009376
2022-12-19T00:00:00Z,56.741971,28.100069,14.954994,0.194194,0.008772
2022-12-26T00:00:00Z,58.483827,27.322542,13.959409,0.223333,0.010889
