Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,56.606457,22.997258,20.056404,0.336075,0.003805
2022-01-03T00:00:00Z,55.533495,24.112332,20.018364,0.33365,0.002159
2022-01-10T00:00:00Z,55.142793,24.356306,20.137978,0.358621,0.004302
2022-01-17T00:00:00Z,55.856957,24.899355,18.937866,0.304697,0.001125
2022-01-24T00:00:00Z,55.646099,22.938955,21.045566,0.364261,0.005118
2022-01-31T00:00:00Z,57.01392,21.838171,20.734515,0.406445,0.00695
2022-02-07T00:00:00Z,53.794227,23.858156,21.92831,0.415227,0.00408
2022-02-14T00:00:00Z,53.729087,23.514607,22.299069,0.445956,0.011281
2022-02-21T00:00:00Z,54.128666,23.379654,22.058357,0.417826,0.015498
2022-02-28T00:00:00Z,57.950278,21.08656,20.410578,0.544777,0.007807
2022-03-07T00:00:00Z,59.182035,19.918105,20.037058,0.851366,0.011437
2022-03-14T00:00:00Z,55.755313,21.422132,21.881184,0.92776,0.013611
2022-03-21T00:00:00Z,56.105659,20.304761,22.580827,1.000606,0.008148
2022-03-28T00:00:00Z,60.6876,19.547245,18.76006,0.998433,0.006662
2022-04-04T00:00:00Z,60.72438,16.432264,21.84126,0.993889,0.008207
2022-04-11T00:00:00Z,59.831844,18.138097,21.078698,0.943267,0.008094
2022-04-18T00:00:00Z,61.514468,17.700111,19.785428,0.99211,0.007883
2022-04-25T00:00:00Z,58.161005,21.160161,19.504751,1.157764,0.01632
2022-05-02T00:00:00Z,57.883431,21.820864,19.346163,0.939686,0.009856
2022-05-09T00:00:00Z,58.336352,21.18107,19.620736,0.853484,0.008358
2022-05-16T00:00:00Z,59.986218,20.815733,18.357066,0.831124,0.009858
2022-05-23T00:00:00Z,59.081631,20.25923,19.753202,0.892524,0.013412
2022-05-30T00:00:00Z,59.326685,20.832636,18.958588,0.868991,0.0131
2022-06-06T00:00:00Z,63.472426,17.812463,17.850931,0.851622,0.012559
2022-06-13T00:00:00Z,63.822686,15.983737,19.342756,0.841497,0.009324
2022-06-20T00:00:00Z,60.92368,17.500617,20.802913,0.764664,0.008125
2022-06-27T00:00:00Z,60.848371,16.810561,21.565475,0.764081,0.011513
2022-07-04T00:00:00Z,60.990969,16.938678,21.252789,0.806958,0.010606
2022-07-11T00:00:00Z,59.553719,17.687407,21.870438,0.87358,0.014855
2022-07-18T00:00:00Z,58.717647,18.196385,22.205446,0.851846,0.028676
2022-07-25T00:00:00Z,60.101541,15.824335,23.159381,0.901705,0.013038
2022-08-01T00:00:00Z,63.846099,13.20383,22.125028,0.813806,0.011237
2022-08-08T00:00:00Z,59.943094,14.205368,25.058272,0.786335,0.00693
2022-08-15T00:00:00Z,63.51185,13.422797,22.302033,0.751068,0.012252
2022-08-22T00:00:00Z,62.352725,13.461277,23.419504,0.759449,0.007045
2022-08-29T00:00:00Z,61.706972,13.712002,24.003739,0.570044,0.007242
2022-09-05T00:00:00Z,62.951015,14.425467,22.020579,0.59482,0.008119
2022-09-12T00:00:00Z,62.685951,14.845894,21.840875,0.62113,0.006151
2022-09-19T00:00:00Z,63.045626,14.029235,22.362121,0.556127,0.006891
2022-09-26T00:00:00Z,62.882926,13.344386,23.180977,0.584364,0.007348
2022-10-03T00:00:00Z,62.377836,14.870554,22.2889,0.452517,0.010193
2022-10-10T00:00:00Z,64.254897,13.711054,21.551707,0.476188,0.006155
2022-10-17T00:00:00Z,66.873973,12.510367,20.135431,0.46893,0.011298
2022-10-24T00:00:00Z,61.726152,13.681943,24.061777,0.522618,0.00751
2022-10-31T00:00:00Z,60.638861,15.322985,23.506761,0.52167,0.009723
2022-11-07T00:00:00Z,59.168948,15.178419,25.068928,0.574495,0.00921
2022-11-14T00:00:00Z,58.731405,14.613968,26.146045,0.496501,0.01208
2022-11-21T00:00:00Z,58.878711,14.531511,26.12427,0.456661,0.008847
2022-11-28T00:00:00Z,54.99291,16.470812,28.028136,0.49665,0.011492
2022-12-05T00:00:00Z,57.545927,15.577039,26.370229,0.493146,0.01366
2022-12-12T00:00:00Z,56.911625,15.585055,26.834592,0.658434,0.010293
2022-12-19T00:00:00Z,56.182319,15.213055,27.902454,0.688609,0.013563
2022-12-26T00:00:00Z,56.745659,15.02785,27.712667,0.487188,0.026636
