Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,64.47061,20.301959,15.046788,0.170827,0.009816
2022-01-03T00:00:00Z,64.688491,20.077341,15.029153,0.19374,0.011275
2022-01-10T00:00:00Z,63.977733,20.135238,15.674807,0.200463,0.01176
2022-01-17T00:00:00Z,63.341605,19.955448,16.462709,0.229569,0.010669
2022-01-24T00:00:00Z,62.824157,20.00266,16.946992,0.217619,0.008572
2022-01-31T00:00:00Z,63.461726,20.190926,16.159842,0.178489,0.009017
2022-02-07T00:00:00Z,63.194467,20.251022,16.371985,0.174474,0.008051
2022-02-14T00:00:00Z,63.072835,20.160932,16.576262,0.182652,0.007319
2022-02-21T00:00:00Z,63.754076,19.971856,16.063608,0.201761,0.008699
2022-02-28T00:00:00Z,67.384994,17.589842,14.81975,0.198224,0.00719
2022-03-07T00:00:00Z,66.495093,18.022162,15.2725,0.201247,0.008998
2022-03-14T00:00:00Z,66.602249,17.959454,15.230079,0.191911,0.016307
2022-03-21T00:00:00Z,66.820691,17.96065,15.022495,0.18892,0.007243
2022-03-28T00:00:00Z,66.679617,18.274398,14.838522,0.200209,0.007254
2022-04-04T00:00:00Z,64.289984,18.737717,16.763551,0.199047,0.009702
2022-04-11T00:00:00Z,64.077455,19.063567,16.687154,0.164193,0.007632
2022-04-18T00:00:00Z,64.04741,19.415767,16.390852,0.139496,0.006476
2022-04-25T00:00:00Z,64.684518,19.793368,15.363457,0.152097,0.00656
2022-05-02T00:00:00Z,64.335058,20.510881,14.979962,0.168734,0.005365
2022-05-09T00:00:00Z,63.549876,21.802438,14.467948,0.174234,0.005503
2022-05-16T00:00:00Z,62.749616,22.064558,15.01127,0.1692,0.005356
2022-05-23T00:00:00Z,63.171737,21.228,15.416985,0.177278,0.006
2022-05-30T00:00:00Z,62.237458,21.219729,16.350525,0.186657,0.00563
2022-06-06T00:00:00Z,62.005549,20.814554,16.979321,0.195436,0.005141
2022-06-13T00:00:00Z,62.368881,20.814459,16.617669,0.192648,0.006344
2022-06-20T00:00:00Z,61.170147,20.99926,17.61896,0.206277,0.005356
2022-06-27T00:00:00Z,60.788368,20.109709,18.896619,0.199649,0.005654
2022-07-04T00:00:00Z,61.273107,19.646188,18.890776,0.184986,0.004944
2022-07-11T00:00:00Z,61.491623,19.33291,18.986916,0.183729,0.004822
2022-07-18T00:00:00Z,61.943243,19.227037,18.608836,0.214292,0.006591
2022-07-25T00:00:00Z,61.044342,19.684411,19.084922,0.17962,0.006706
2022-08-01T00:00:00Z,60.27479,19.313156,20.21905,0.186591,0.006413
2022-08-08T00:00:00Z,61.046319,19.062332,19.690989,0.192879,0.00748
2022-08-15T00:00:00Z,61.913566,18.146515,19.733374,0.199155,0.00739
2022-08-22T00:00:00Z,61.484592,18.419229,19.880867,0.208145,0.007167
2022-08-29T00:00:00Z,61.00927,18.527695,20.23177,0.22537,0.005896
2022-09-05T00:00:00Z,61.558991,18.078179,20.148249,0.208836,0.005745
2022-09-12T00:00:00Z,61.218154,18.949955,19.627047,0.199493,0.005351
2022-09-19T00:00:00Z,61.729961,18.724341,19.380212,0.159114,0.006372
2022-09-26T00:00:00Z,62.534363,18.079357,19.18416,0.194293,0.007828
2022-10-03T00:00:00Z,62.969845,18.145552,18.664857,0.212719,0.007027
2022-10-10T00:00:00Z,62.879423,17.946815,18.973726,0.194246,0.00579
2022-10-17T00:00:00Z,63.806243,17.129416,18.847958,0.210525,0.005857
2022-10-24T00:00:00Z,62.970784,17.15072,19.690927,0.180717,0.006852
2022-10-31T00:00:00Z,62.961243,16.852911,19.985001,0.194637,0.006207
2022-11-07T00:00:00Z,62.83438,17.769842,19.181856,0.207572,0.00635
2022-11-14T00:00:00Z,62.442728,17.848375,19.506963,0.19553,0.006404
2022-11-21T00:00:00Z,63.355588,16.37776,20.060314,0.200579,0.00576
2022-11-28T00:00:00Z,62.678876,16.883517,20.225043,0.206657,0.005907
2022-12-05T00:00:00Z,63.389478,16.296977,20.098739,0.209409,0.005396
2022-12-12T00:00:00Z,63.285183,15.894937,20.602891,0.211085,0.005903
2022-12-19T00:00:00Z,62.455965,17.085149,20.23903,0.214962,0.004895
2022-12-26T00:00:00Z,62.802243,16.996375,20.002787,0.193399,0.005196
