Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,54.602325,23.862584,21.226949,0.298086,0.010056
2022-01-03T00:00:00Z,56.079464,21.369682,22.229549,0.310418,0.010887
2022-01-10T00:00:00Z,56.166635,20.867096,22.649916,0.308439,0.007914
2022-01-17T00:00:00Z,55.943854,21.348602,22.383038,0.313986,0.010522
2022-01-24T00:00:00Z,57.920116,18.831719,22.944058,0.296603,0.007503
2022-01-31T00:00:00Z,55.769503,20.798828,23.127752,0.296933,0.006984
2022-02-07T00:00:00Z,56.41238,20.424074,22.85581,0.296981,0.010755
2022-02-14T00:00:00Z,57.957609,20.200178,21.442749,0.392508,0.006957
2022-02-21T00:00:00Z,58.692211,19.366562,21.60928,0.32185,0.010097
2022-02-28T00:00:00Z,57.743978,20.165917,21.811004,0.273088,0.006014
2022-03-07T00:00:00Z,57.050951,20.321942,22.313755,0.305117,0.008235
2022-03-14T00:00:00Z,57.247959,20.185186,22.271649,0.289427,0.005778
2022-03-21T00:00:00Z,58.257991,20.500617,20.989142,0.247262,0.004988
2022-03-28T00:00:00Z,56.801995,21.159311,21.776851,0.257951,0.003891
2022-04-04T00:00:00Z,55.862915,19.432503,24.237664,0.462991,0.003927
2022-04-11T00:00:00Z,55.10568,22.084867,22.554533,0.248047,0.006872
2022-04-18T00:00:00Z,56.898315,21.325206,21.562763,0.207755,0.00596
2022-04-25T00:00:00Z,53.92709,21.871917,23.956613,0.238332,0.006048
2022-05-02T00:00:00Z,56.012551,18.958596,24.774403,0.250937,0.003513
2022-05-09T00:00:00Z,53.857015,23.518962,22.431101,0.187068,0.005854
2022-05-16T00:00:00Z,56.700166,19.8404,23.184438,0.270147,0.004849
2022-05-23T00:00:00Z,58.715437,19.934441,21.140759,0.204904,0.00446
2022-05-30T00:00:00Z,56.414402,19.970581,23.42216,0.183999,0.008857
2022-06-06T00:00:00Z,58.509056,18.027596,23.281504,0.179484,0.002359
2022-06-13T00:00:00Z,58.155644,19.712805,21.876252,0.252484,0.002816
2022-06-20T00:00:00Z,55.165116,20.829804,23.755148,0.247403,0.002528
2022-06-27T00:00:00Z,54.097721,19.247471,26.432463,0.219345,0.003
2022-07-04T00:00:00Z,53.381827,20.028652,26.28628,0.29981,0.003432
2022-07-11T00:00:00Z,54.905587,19.1472,25.666837,0.275785,0.004591
2022-07-18T00:00:00Z,53.474683,21.046265,25.259585,0.209665,0.009802
2022-07-25T00:00:00Z,53.959401,18.947277,26.878487,0.206289,0.008546
2022-08-01T00:00:00Z,52.48665,17.859823,29.450539,0.197773,0.005215
2022-08-08T00:00:00Z,49.808286,20.224438,29.705431,0.254299,0.007545
2022-08-15T00:00:00Z,52.358387,17.53317,29.869574,0.226532,0.012338
2022-08-22T00:00:00Z,54.740776,15.530127,29.413237,0.309787,0.006073
2022-08-29T00:00:00Z,53.86093,16.753903,28.949633,0.4312,0.004333
2022-09-05T00:00:00Z,54.337503,17.749003,27.625637,0.281994,0.005863
2022-09-12T00:00:00Z,56.600505,13.627444,29.552563,0.214837,0.004651
2022-09-19T00:00:00Z,60.639245,15.476363,23.726663,0.151825,0.005904
2022-09-26T00:00:00Z,63.903138,12.662687,23.282471,0.140552,0.011152
2022-10-03T00:00:00Z,64.705922,14.157881,21.00206,0.129138,0.004998
2022-10-10T00:00:00Z,63.356979,15.417445,21.088667,0.125332,0.011576
2022-10-17T00:00:00Z,65.260841,14.639542,19.893333,0.197797,0.008486
2022-10-24T00:00:00Z,66.957166,13.420575,19.317891,0.293531,0.010838
2022-10-31T00:00:00Z,65.295743,13.658282,20.630096,0.405231,0.010649
2022-11-07T00:00:00Z,63.887682,16.536993,18.967642,0.598591,0.009092
2022-11-14T00:00:00Z,61.579273,17.523786,20.190308,0.698395,0.008238
2022-11-21T00:00:00Z,64.183884,13.364622,21.659473,0.781532,0.010488
2022-11-28T00:00:00Z,60.090719,14.022389,25.050266,0.820463,0.016163
2022-12-05T00:00:00Z,61.60479,13.896939,23.594169,0.889538,0.014565
2022-12-12T00:00:00Z,60.338308,15.141494,23.673076,0.837707,0.009416
2022-12-19T00:00:00Z,57.022202,16.954494,25.166649,0.844891,0.011764
2022-12-26T00:00:00Z,61.271018,15.435724,22.589194,0.690346,0.013717
