Serie_0 timestamps,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.3,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,60.344828,34.482759,5.172414,0.0,0.0
2022-01-03T00:00:00Z,20.689655,75.287356,4.022989,0.0,0.0
2022-01-10T00:00:00Z,80.808081,6.060606,13.131313,0.0,0.0
2022-01-17T00:00:00Z,5.809129,60.995851,33.195021,0.0,0.0
2022-01-24T00:00:00Z,30.952381,16.666667,52.380952,0.0,0.0
2022-01-31T00:00:00Z,48.663102,0.0,51.336898,0.0,0.0
2022-02-07T00:00:00Z,38.709677,18.27957,43.010753,0.0,0.0
2022-02-14T00:00:00Z,30.47619,66.666667,2.857143,0.0,0.0
2022-02-21T00:00:00Z,27.272727,4.545455,68.181818,0.0,0.0
2022-02-28T00:00:00Z,6.666667,0.0,93.333333,0.0,0.0
2022-03-07T00:00:00Z,29.310345,1.724138,68.965517,0.0,0.0
2022-03-14T00:00:00Z,37.5,59.375,3.125,0.0,0.0
2022-03-21T00:00:00Z,39.215686,0.0,60.784314,0.0,0.0
2022-03-28T00:00:00Z,12.903226,35.483871,51.612903,0.0,0.0
2022-04-04T00:00:00Z,21.212121,0.0,78.787879,0.0,0.0
2022-04-11T00:00:00Z,9.090909,9.090909,81.818182,0.0,0.0
2022-04-18T00:00:00Z,11.111111,85.858586,3.030303,0.0,0.0
2022-04-25T00:00:00Z,77.777778,6.666667,15.555556,0.0,0.0
2022-05-02T00:00:00Z,17.582418,0.549451,81.868132,0.0,0.0
2022-05-09T00:00:00Z,52.941176,47.058824,0.0,0.0,0.0
2022-05-16T00:00:00Z,72.727273,9.090909,18.181818,0.0,0.0
2022-05-23T00:00:00Z,50.0,3.278689,46.721311,0.0,0.0
2022-05-30T00:00:00Z,22.222222,0.0,77.777778,0.0,0.0
2022-06-06T00:00:00Z,7.142857,14.285714,71.428571,7.142857,0.0
2022-06-13T00:00:00Z,71.698113,13.207547,15.09434,0.0,0.0
2022-06-20T00:00:00Z,40.0,0.0,60.0,0.0,0.0
2022-06-27T00:00:00Z,42.016807,35.294118,22.689076,0.0,0.0
2022-07-04T00:00:00Z,47.368421,15.789474,36.842105,0.0,0.0
2022-07-11T00:00:00Z,42.857143,0.0,57.142857,0.0,0.0
2022-07-18T00:00:00Z,7.228916,7.228916,85.542169,0.0,0.0
2022-07-25T00:00:00Z,0.0,3.030303,72.727273,24.242424,0.0
2022-08-01T00:00:00Z,8.333333,85.416667,6.25,0.0,0.0
2022-08-08T00:00:00Z,3.358209,11.940299,84.701493,0.0,0.0
2022-08-15T00:00:00Z,24.074074,6.481481,69.444444,0.0,0.0
2022-08-22T00:00:00Z,0.568182,1.704545,97.727273,0.0,0.0
2022-08-29T00:00:00Z,92.96875,1.5625,5.46875,0.0,0.0
2022-09-05T00:00:00Z,18.518519,33.333333,48.148148,0.0,0.0
2022-09-12T00:00:00Z,66.666667,3.030303,30.30303,0.0,0.0
2022-09-19T00:00:00Z,6.593407,56.043956,16.483516,20.879121,0.0
2022-09-26T00:00:00Z,2.777778,41.666667,55.555556,0.0,0.0
2022-10-03T00:00:00Z,11.111111,0.0,88.888889,0.0,0.0
2022-10-10T00:00:00Z,14.285714,0.0,85.714286,0.0,0.0
2022-10-17T00:00:00Z,3.389831,3.389831,93.220339,0.0,0.0
2022-10-24T00:00:00Z,46.666667,31.666667,21.666667,0.0,0.0
2022-10-31T00:00:00Z,7.826087,0.869565,91.304348,0.0,0.0
2022-11-07T00:00:00Z,23.529412,76.470588,0.0,0.0,0.0
2022-11-14T00:00:00Z,72.413793,6.896552,20.689655,0.0,0.0
2022-11-21T00:00:00Z,67.692308,3.076923,29.230769,0.0,0.0
2022-11-28T00:00:00Z,39.43662,4.225352,56.338028,0.0,0.0
2022-12-05T00:00:00Z,87.939698,0.0,12.060302,0.0,0.0
2022-12-12T00:00:00Z,1.428571,0.0,98.571429,0.0,0.0
2022-12-19T00:00:00Z,78.125,0.0,21.875,0.0,0.0
2022-12-26T00:00:00Z,34.482759,27.586207,37.931034,0.0,0.0
