Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,55.293431,26.842281,15.905302,1.942314,0.016672
2022-01-03T00:00:00Z,52.34824,31.42876,13.224123,2.939428,0.059449
2022-01-10T00:00:00Z,55.601583,27.779152,14.510943,2.102139,0.006183
2022-01-17T00:00:00Z,56.318601,24.781358,17.66156,1.232611,0.00587
2022-01-24T00:00:00Z,50.062174,27.474509,18.353643,4.028849,0.080826
2022-01-31T00:00:00Z,52.912656,30.117954,16.079311,0.882842,0.007236
2022-02-07T00:00:00Z,50.072993,31.881942,16.737544,1.282133,0.025389
2022-02-14T00:00:00Z,49.017868,31.383855,17.615004,1.957927,0.025345
2022-02-21T00:00:00Z,49.72148,27.740642,20.911319,1.604278,0.022282
2022-02-28T00:00:00Z,54.449661,26.051122,17.965571,1.450183,0.083464
2022-03-07T00:00:00Z,49.542644,27.284644,22.231404,0.922311,0.018997
2022-03-14T00:00:00Z,52.205033,29.538983,15.800816,2.447472,0.007696
2022-03-21T00:00:00Z,58.366057,24.288861,15.745618,1.589886,0.009578
2022-03-28T00:00:00Z,59.047091,26.784104,12.324017,1.803176,0.041612
2022-04-04T00:00:00Z,50.564737,33.230294,14.87338,1.325645,0.005945
2022-04-11T00:00:00Z,52.633561,26.737397,18.155565,2.442087,0.031389
2022-04-18T00:00:00Z,65.26056,18.359734,15.62213,0.746097,0.011478
2022-04-25T00:00:00Z,61.313505,22.328163,14.949481,1.387505,0.021346
2022-05-02T00:00:00Z,48.398422,37.826197,13.033407,0.731116,0.010858
2022-05-09T00:00:00Z,58.56392,23.581697,16.486319,1.360334,0.007729
2022-05-16T00:00:00Z,49.651568,32.621951,15.940767,1.774826,0.010889
2022-05-23T00:00:00Z,43.511801,23.840573,30.314997,2.314262,0.018367
2022-05-30T00:00:00Z,53.566607,23.559856,21.860936,0.990099,0.022502
2022-06-06T00:00:00Z,44.574045,30.611716,24.408156,0.406083,0.0
2022-06-13T00:00:00Z,61.307473,22.004529,15.45732,1.210987,0.019691
2022-06-20T00:00:00Z,45.250227,43.494086,10.646042,0.573248,0.036397
2022-06-27T00:00:00Z,47.54873,27.466037,24.748966,0.236267,0.0
2022-07-04T00:00:00Z,71.882952,17.302799,9.669211,1.017812,0.127226
2022-07-11T00:00:00Z,42.28972,28.037383,21.728972,7.943925,0.0
2022-07-18T00:00:00Z,67.541302,13.605442,11.370262,7.482993,0.0
2022-07-25T00:00:00Z,57.398985,18.833298,19.515549,4.252168,0.0
2022-08-01T00:00:00Z,67.118291,14.121939,14.590933,4.116727,0.05211
2022-08-08T00:00:00Z,81.794195,11.345646,3.781882,3.034301,0.043975
2022-08-15T00:00:00Z,85.789183,6.401766,7.36755,0.441501,0.0
2022-08-22T00:00:00Z,68.571429,9.727891,21.360544,0.340136,0.0
2022-08-29T00:00:00Z,45.817246,21.492921,31.531532,1.158301,0.0
2022-09-05T00:00:00Z,63.80531,26.637168,8.40708,1.150442,0.0
2022-09-12T00:00:00Z,77.3,18.5,4.1,0.1,0.0
2022-09-19T00:00:00Z,67.653759,18.394077,12.984055,0.968109,0.0
2022-09-26T00:00:00Z,69.347496,20.789074,9.408194,0.455235,0.0
2022-10-03T00:00:00Z,64.588979,17.615176,17.70551,0.0,0.090334
2022-10-10T00:00:00Z,81.369863,13.753425,4.821918,0.0,0.054795
2022-10-17T00:00:00Z,77.332362,15.816327,5.830904,0.874636,0.145773
2022-10-24T00:00:00Z,67.402502,27.520235,4.930096,0.0,0.147167
2022-10-31T00:00:00Z,76.365118,17.685412,2.933985,1.303993,1.711491
2022-11-07T00:00:00Z,81.104651,10.852713,7.267442,0.387597,0.387597
2022-11-14T00:00:00Z,64.995602,20.228672,12.92876,1.319261,0.527704
2022-11-21T00:00:00Z,72.130243,14.569536,12.85872,0.386313,0.055188
2022-11-28T00:00:00Z,70.949403,16.884594,11.7112,0.227402,0.227402
2022-12-05T00:00:00Z,49.253731,36.794289,13.627515,0.064893,0.259572
2022-12-12T00:00:00Z,58.037923,34.624897,6.760099,0.247321,0.329761
2022-12-19T00:00:00Z,68.955043,19.927096,9.538275,1.45808,0.121507
2022-12-26T00:00:00Z,56.758621,14.965517,24.137931,3.862069,0.275862
