Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,61.003252,20.497003,18.324407,0.175338,0.0
2022-01-03T00:00:00Z,60.976073,19.784326,19.155674,0.082342,0.001584
2022-01-10T00:00:00Z,61.550444,17.610495,20.73979,0.096216,0.003054
2022-01-17T00:00:00Z,58.337375,20.421241,21.19582,0.033805,0.011758
2022-01-24T00:00:00Z,63.356878,16.176296,20.41601,0.050816,0.0
2022-01-31T00:00:00Z,62.072217,17.843426,19.993485,0.090872,0.0
2022-02-07T00:00:00Z,63.677996,16.461572,19.709337,0.144864,0.006231
2022-02-14T00:00:00Z,58.987151,16.743689,24.123867,0.145293,0.0
2022-02-21T00:00:00Z,62.117001,17.019726,20.812432,0.050841,0.0
2022-02-28T00:00:00Z,61.986539,16.6233,21.282612,0.095407,0.012143
2022-03-07T00:00:00Z,63.535781,17.436732,18.84614,0.179458,0.001889
2022-03-14T00:00:00Z,58.140479,17.643524,24.180268,0.032481,0.003248
2022-03-21T00:00:00Z,56.42176,16.012164,27.507884,0.058192,0.0
2022-03-28T00:00:00Z,56.836429,23.125076,19.910177,0.12485,0.003468
2022-04-04T00:00:00Z,55.312209,18.756757,25.731594,0.195713,0.003728
2022-04-11T00:00:00Z,58.708512,17.27773,23.61135,0.400688,0.00172
2022-04-18T00:00:00Z,60.827837,16.527065,22.563082,0.080271,0.001745
2022-04-25T00:00:00Z,61.345513,14.807712,23.648262,0.191784,0.006729
2022-05-02T00:00:00Z,60.457671,15.396863,23.972696,0.17277,0.0
2022-05-09T00:00:00Z,60.54438,16.6217,22.678529,0.155391,0.0
2022-05-16T00:00:00Z,56.340256,16.738019,26.766773,0.15016,0.004792
2022-05-23T00:00:00Z,58.577966,16.967999,24.356587,0.095707,0.00174
2022-05-30T00:00:00Z,54.831016,22.390231,22.71875,0.060003,0.0
2022-06-06T00:00:00Z,61.228128,18.175794,20.452502,0.143576,0.0
2022-06-13T00:00:00Z,58.126453,15.805233,25.906977,0.152616,0.008721
2022-06-20T00:00:00Z,59.627615,16.705233,23.561413,0.099609,0.00613
2022-06-27T00:00:00Z,59.657167,17.592479,22.648797,0.100018,0.001539
2022-07-04T00:00:00Z,61.944925,14.507345,23.452773,0.094956,0.0
2022-07-11T00:00:00Z,55.044536,12.925715,31.903126,0.119346,0.007277
2022-07-18T00:00:00Z,57.444155,17.598142,24.709661,0.246609,0.001434
2022-07-25T00:00:00Z,60.210167,12.291991,27.385686,0.112156,0.0
2022-08-01T00:00:00Z,57.861577,12.167994,29.8985,0.070597,0.001332
2022-08-08T00:00:00Z,58.854838,12.160255,28.762501,0.211669,0.010737
2022-08-15T00:00:00Z,59.153786,10.95947,29.81124,0.066956,0.008548
2022-08-22T00:00:00Z,55.980231,12.23196,31.627018,0.160791,0.0
2022-08-29T00:00:00Z,47.63982,31.169656,21.077173,0.11335,0.0
2022-09-05T00:00:00Z,57.321764,10.904617,31.663537,0.110082,0.0
2022-09-12T00:00:00Z,50.718036,10.630083,38.607695,0.041031,0.003156
2022-09-19T00:00:00Z,59.321867,13.123447,27.415664,0.139022,0.0
2022-09-26T00:00:00Z,61.001206,11.806773,27.004329,0.184952,0.00274
2022-10-03T00:00:00Z,70.191835,9.936055,19.825015,0.046049,0.001047
2022-10-10T00:00:00Z,65.804015,10.923938,22.992103,0.272609,0.007335
2022-10-17T00:00:00Z,67.633563,11.188551,21.100997,0.019842,0.057046
2022-10-24T00:00:00Z,62.688908,11.670992,25.49855,0.070775,0.070775
2022-10-31T00:00:00Z,63.673937,11.981514,24.176498,0.090838,0.077212
2022-11-07T00:00:00Z,65.980118,10.806062,23.092531,0.056677,0.064612
2022-11-14T00:00:00Z,66.964395,9.552895,23.43053,0.01637,0.035809
2022-11-21T00:00:00Z,61.83987,10.481788,27.573606,0.061678,0.043058
2022-11-28T00:00:00Z,56.705991,16.076435,27.035907,0.137933,0.043735
2022-12-05T00:00:00Z,58.474688,17.786492,23.654007,0.040754,0.044059
2022-12-12T00:00:00Z,62.29915,13.022828,24.600546,0.044914,0.032563
2022-12-19T00:00:00Z,61.581625,10.947087,27.397871,0.030154,0.043264
2022-12-26T00:00:00Z,61.52804,12.530252,25.882653,0.027791,0.031265
