Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,77.821265,21.98304,0.195695,0.0,0.0
2022-01-03T00:00:00Z,92.505176,7.494824,0.0,0.0,0.0
2022-01-10T00:00:00Z,84.330244,15.669756,0.0,0.0,0.0
2022-01-17T00:00:00Z,90.055249,9.944751,0.0,0.0,0.0
2022-01-24T00:00:00Z,81.040892,18.959108,0.0,0.0,0.0
2022-01-31T00:00:00Z,83.14367,16.714083,0.0,0.142248,0.0
2022-02-07T00:00:00Z,85.913043,14.086957,0.0,0.0,0.0
2022-02-14T00:00:00Z,82.425214,17.574786,0.0,0.0,0.0
2022-02-21T00:00:00Z,87.773488,12.162162,0.0,0.06435,0.0
2022-02-28T00:00:00Z,88.737201,11.194539,0.0,0.068259,0.0
2022-03-07T00:00:00Z,75.584995,24.415005,0.0,0.0,0.0
2022-03-14T00:00:00Z,75.68306,24.248634,0.0,0.068306,0.0
2022-03-21T00:00:00Z,86.100989,13.63873,0.0,0.0,0.260281
2022-03-28T00:00:00Z,82.352941,17.647059,0.0,0.0,0.0
2022-04-04T00:00:00Z,89.075145,10.867052,0.057803,0.0,0.0
2022-04-11T00:00:00Z,87.696629,12.078652,0.0,0.224719,0.0
2022-04-18T00:00:00Z,88.84273,10.801187,0.356083,0.0,0.0
2022-04-25T00:00:00Z,81.178977,18.821023,0.0,0.0,0.0
2022-05-02T00:00:00Z,88.550885,11.338496,0.0,0.110619,0.0
2022-05-09T00:00:00Z,86.288265,12.308673,0.637755,0.765306,0.0
2022-05-16T00:00:00Z,82.157676,17.842324,0.0,0.0,0.0
2022-05-23T00:00:00Z,63.364486,36.542056,0.093458,0.0,0.0
2022-05-30T00:00:00Z,84.953941,15.046059,0.0,0.0,0.0
2022-06-06T00:00:00Z,90.728477,8.813041,0.0,0.458482,0.0
2022-06-13T00:00:00Z,82.042254,17.840376,0.117371,0.0,0.0
2022-06-20T00:00:00Z,90.282132,7.523511,2.194357,0.0,0.0
2022-06-27T00:00:00Z,93.407534,6.164384,0.428082,0.0,0.0
2022-07-04T00:00:00Z,83.057851,16.115702,0.826446,0.0,0.0
2022-07-11T00:00:00Z,80.304183,19.315589,0.228137,0.152091,0.0
2022-07-18T00:00:00Z,87.772637,11.962987,0.264375,0.0,0.0
2022-07-25T00:00:00Z,82.480406,17.519594,0.0,0.0,0.0
2022-08-01T00:00:00Z,92.317881,7.682119,0.0,0.0,0.0
2022-08-08T00:00:00Z,90.590298,9.351257,0.058445,0.0,0.0
2022-08-15T00:00:00Z,80.0,20.0,0.0,0.0,0.0
2022-08-22T00:00:00Z,87.664234,12.043796,0.291971,0.0,0.0
2022-08-29T00:00:00Z,81.076923,18.769231,0.153846,0.0,0.0
2022-09-05T00:00:00Z,91.961192,8.038808,0.0,0.0,0.0
2022-09-12T00:00:00Z,88.424125,11.575875,0.0,0.0,0.0
2022-09-19T00:00:00Z,95.16129,4.83871,0.0,0.0,0.0
2022-09-26T00:00:00Z,94.444444,5.197133,0.358423,0.0,0.0
2022-10-03T00:00:00Z,92.311034,7.428323,0.260643,0.0,0.0
2022-10-10T00:00:00Z,93.229167,6.684028,0.086806,0.0,0.0
2022-10-17T00:00:00Z,94.829612,5.170388,0.0,0.0,0.0
2022-10-24T00:00:00Z,88.739946,9.472744,1.78731,0.0,0.0
2022-10-31T00:00:00Z,93.106312,5.89701,0.996678,0.0,0.0
2022-11-07T00:00:00Z,80.79615,18.153981,1.049869,0.0,0.0
2022-11-14T00:00:00Z,86.840253,13.159747,0.0,0.0,0.0
2022-11-21T00:00:00Z,94.122137,5.877863,0.0,0.0,0.0
2022-11-28T00:00:00Z,92.581301,7.317073,0.0,0.101626,0.0
2022-12-05T00:00:00Z,93.295562,6.232295,0.472144,0.0,0.0
2022-12-12T00:00:00Z,95.158287,4.841713,0.0,0.0,0.0
2022-12-19T00:00:00Z,91.983968,8.016032,0.0,0.0,0.0
2022-12-26T00:00:00Z,93.053016,6.642291,0.304692,0.0,0.0
