Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,63.259137,19.358584,17.187944,0.187813,0.006523
2022-01-03T00:00:00Z,64.1888,18.965119,16.626982,0.209042,0.010057
2022-01-10T00:00:00Z,64.481651,17.890923,17.387386,0.229543,0.010496
2022-01-17T00:00:00Z,63.819757,18.735747,17.200612,0.234316,0.009567
2022-01-24T00:00:00Z,63.553187,19.727456,16.495314,0.215755,0.008289
2022-01-31T00:00:00Z,63.242729,20.108591,16.439261,0.204053,0.005366
2022-02-07T00:00:00Z,63.060044,20.721,16.014375,0.199981,0.004599
2022-02-14T00:00:00Z,63.325255,19.95874,16.504545,0.206698,0.004763
2022-02-21T00:00:00Z,64.450519,18.40655,16.923507,0.213508,0.005915
2022-02-28T00:00:00Z,65.218288,18.717769,15.837035,0.221226,0.005683
2022-03-07T00:00:00Z,64.878109,19.144464,15.757453,0.215024,0.004949
2022-03-14T00:00:00Z,64.344177,19.187049,16.239636,0.222733,0.006405
2022-03-21T00:00:00Z,64.459308,18.786525,16.557959,0.190155,0.006053
2022-03-28T00:00:00Z,65.104044,18.468197,16.220607,0.202252,0.0049
2022-04-04T00:00:00Z,62.484375,20.521066,16.778771,0.210357,0.005432
2022-04-11T00:00:00Z,62.290931,20.625815,16.890359,0.188726,0.004169
2022-04-18T00:00:00Z,63.721957,19.628276,16.461294,0.183767,0.004706
2022-04-25T00:00:00Z,63.835799,19.425247,16.527935,0.205917,0.005102
2022-05-02T00:00:00Z,63.782133,19.282515,16.726887,0.203952,0.004514
2022-05-09T00:00:00Z,63.331921,18.715174,17.741767,0.206494,0.004644
2022-05-16T00:00:00Z,63.817433,18.506446,17.460437,0.211284,0.004399
2022-05-23T00:00:00Z,63.533351,18.988117,17.269037,0.205344,0.00415
2022-05-30T00:00:00Z,63.30478,19.575685,16.901439,0.214371,0.003725
2022-06-06T00:00:00Z,62.859531,19.707708,17.250341,0.179911,0.00251
2022-06-13T00:00:00Z,62.535305,19.884223,17.390763,0.185394,0.004316
2022-06-20T00:00:00Z,60.897289,20.974598,17.949627,0.175064,0.003421
2022-06-27T00:00:00Z,60.171162,22.035585,17.611001,0.177235,0.005017
2022-07-04T00:00:00Z,60.900316,21.39445,17.532963,0.169549,0.002722
2022-07-11T00:00:00Z,61.733346,21.229905,16.8699,0.162837,0.004013
2022-07-18T00:00:00Z,60.977252,21.689745,17.169716,0.15929,0.003997
2022-07-25T00:00:00Z,61.689708,21.26285,16.885991,0.158401,0.003051
2022-08-01T00:00:00Z,61.919307,21.967737,15.96143,0.147976,0.003549
2022-08-08T00:00:00Z,61.998717,21.870147,15.961176,0.164467,0.005492
2022-08-15T00:00:00Z,61.893165,22.125081,15.848882,0.12885,0.004023
2022-08-22T00:00:00Z,62.406342,21.901782,15.537816,0.149379,0.004682
2022-08-29T00:00:00Z,63.416012,21.657357,14.763305,0.159947,0.003379
2022-09-05T00:00:00Z,62.43062,22.296883,15.110165,0.157733,0.0046
2022-09-12T00:00:00Z,63.128851,21.567059,15.171896,0.127725,0.00447
2022-09-19T00:00:00Z,63.262203,21.074416,15.522211,0.135879,0.005291
2022-09-26T00:00:00Z,62.36477,21.913621,15.549923,0.164888,0.006797
2022-10-03T00:00:00Z,63.027483,21.148167,15.661617,0.157181,0.005552
2022-10-10T00:00:00Z,62.731009,21.362096,15.756048,0.144693,0.006154
2022-10-17T00:00:00Z,63.33781,21.362715,15.166166,0.129017,0.004293
2022-10-24T00:00:00Z,63.632026,21.218447,15.042541,0.103772,0.003214
2022-10-31T00:00:00Z,62.603646,22.062576,15.219574,0.110259,0.003945
2022-11-07T00:00:00Z,62.275719,21.227146,16.387591,0.106052,0.003492
2022-11-14T00:00:00Z,62.268251,21.291735,16.331882,0.104536,0.003595
2022-11-21T00:00:00Z,62.397612,21.904292,15.588968,0.105601,0.003526
2022-11-28T00:00:00Z,61.229254,21.838475,16.828191,0.099092,0.004989
2022-12-05T00:00:00Z,61.739886,21.751774,16.40405,0.099518,0.004772
2022-12-12T00:00:00Z,62.584473,22.407227,14.89799,0.106274,0.004037
2022-12-19T00:00:00Z,62.249896,22.614505,15.009585,0.121854,0.004161
2022-12-26T00:00:00Z,62.22053,22.753605,14.893435,0.128436,0.003994
