Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,52.306312,24.791435,22.591897,0.308932,0.001424
2022-01-03T00:00:00Z,53.559868,23.95535,22.286308,0.186485,0.011988
2022-01-10T00:00:00Z,55.11183,23.257582,21.45918,0.157585,0.013823
2022-01-17T00:00:00Z,54.741083,24.251299,20.787614,0.215879,0.004125
2022-01-24T00:00:00Z,55.239314,21.997233,22.421258,0.32583,0.016366
2022-01-31T00:00:00Z,53.284682,23.440288,23.005938,0.269092,0.0
2022-02-07T00:00:00Z,55.033127,21.970149,22.683655,0.313069,0.0
2022-02-14T00:00:00Z,55.674525,21.22232,22.577475,0.518235,0.007446
2022-02-21T00:00:00Z,54.366295,22.559672,22.88187,0.184939,0.007224
2022-02-28T00:00:00Z,55.547229,21.397332,22.859245,0.181206,0.014987
2022-03-07T00:00:00Z,57.933464,20.545134,21.337,0.167738,0.016664
2022-03-14T00:00:00Z,51.923057,27.436162,20.26752,0.371215,0.002045
2022-03-21T00:00:00Z,56.868565,18.063741,24.740447,0.311319,0.015928
2022-03-28T00:00:00Z,55.814012,23.737998,18.823588,1.613165,0.011237
2022-04-04T00:00:00Z,54.637408,22.14672,22.844942,0.353786,0.017144
2022-04-11T00:00:00Z,57.592362,16.41023,25.871649,0.119342,0.006416
2022-04-18T00:00:00Z,54.977256,22.225323,22.299277,0.470237,0.027907
2022-04-25T00:00:00Z,56.472243,20.014212,23.304716,0.188526,0.020303
2022-05-02T00:00:00Z,54.380609,20.387981,24.653237,0.572546,0.005627
2022-05-09T00:00:00Z,52.853476,21.957622,25.000363,0.174037,0.014503
2022-05-16T00:00:00Z,55.796476,18.105526,25.920101,0.176608,0.001289
2022-05-23T00:00:00Z,53.190646,20.015854,26.320609,0.467424,0.005467
2022-05-30T00:00:00Z,49.781521,18.812845,31.126612,0.27244,0.006581
2022-06-06T00:00:00Z,58.027779,16.535571,25.108574,0.328076,0.0
2022-06-13T00:00:00Z,57.373907,16.568645,25.830336,0.216609,0.010502
2022-06-20T00:00:00Z,53.255972,20.270849,26.193772,0.27689,0.002517
2022-06-27T00:00:00Z,52.813781,18.601097,28.285059,0.291727,0.008335
2022-07-04T00:00:00Z,52.022927,19.137264,28.433542,0.40368,0.002588
2022-07-11T00:00:00Z,58.152817,17.552268,24.073515,0.217626,0.003774
2022-07-18T00:00:00Z,62.352391,15.29587,22.125568,0.226171,0.0
2022-07-25T00:00:00Z,52.87051,16.087045,30.65419,0.385605,0.002649
2022-08-01T00:00:00Z,62.836982,12.545263,24.352153,0.250551,0.015051
2022-08-08T00:00:00Z,49.847237,18.363767,31.558659,0.144409,0.085929
2022-08-15T00:00:00Z,45.193163,27.238397,27.398763,0.164504,0.005173
2022-08-22T00:00:00Z,49.70027,13.94717,36.090566,0.25876,0.003235
2022-08-29T00:00:00Z,55.729027,16.227785,27.809096,0.234091,0.0
2022-09-05T00:00:00Z,55.134083,16.603842,28.123974,0.131309,0.006792
2022-09-12T00:00:00Z,55.071611,16.287551,28.473497,0.160417,0.006924
2022-09-19T00:00:00Z,55.362737,19.690915,24.745307,0.198574,0.002467
2022-09-26T00:00:00Z,59.306894,15.2558,25.295744,0.140465,0.001097
2022-10-03T00:00:00Z,60.766942,14.835122,24.255291,0.098069,0.044577
2022-10-10T00:00:00Z,60.695628,14.394625,24.675254,0.172325,0.062168
2022-10-17T00:00:00Z,61.426652,13.701615,24.544849,0.272932,0.053952
2022-10-24T00:00:00Z,62.623773,14.210853,22.739937,0.3097,0.115736
2022-10-31T00:00:00Z,59.84383,15.424109,24.593243,0.121466,0.017352
2022-11-07T00:00:00Z,62.891333,13.72911,23.169977,0.175917,0.033663
2022-11-14T00:00:00Z,61.661538,17.06034,21.111781,0.115399,0.050942
2022-11-21T00:00:00Z,60.363,14.811176,24.694523,0.105399,0.025903
2022-11-28T00:00:00Z,59.182676,16.181474,24.304806,0.287245,0.0438
2022-12-05T00:00:00Z,57.587549,17.900844,24.278346,0.177963,0.055299
2022-12-12T00:00:00Z,60.083586,17.54984,22.198769,0.122424,0.045381
2022-12-19T00:00:00Z,58.439174,18.11111,23.266113,0.146277,0.037326
2022-12-26T00:00:00Z,58.779857,17.995551,22.95307,0.223429,0.048092
