Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,53.248506,24.005527,22.736328,0.009639,0.0
2022-01-03T00:00:00Z,53.05753,26.852949,19.994076,0.088863,0.006582
2022-01-10T00:00:00Z,56.494518,25.199077,18.179458,0.126947,0.0
2022-01-17T00:00:00Z,58.605358,23.6095,17.680199,0.104943,0.0
2022-01-24T00:00:00Z,56.399009,24.151879,19.38075,0.068362,0.0
2022-01-31T00:00:00Z,57.777778,23.496088,18.312989,0.403756,0.00939
2022-02-07T00:00:00Z,55.694871,24.101558,20.123962,0.059707,0.019902
2022-02-14T00:00:00Z,57.535863,23.626032,18.605229,0.232876,0.0
2022-02-21T00:00:00Z,57.470136,23.315333,19.018164,0.196367,0.0
2022-02-28T00:00:00Z,57.58064,25.544997,16.588301,0.121659,0.164403
2022-03-07T00:00:00Z,58.925238,22.190227,18.719526,0.161774,0.003235
2022-03-14T00:00:00Z,57.394203,17.692996,24.854153,0.058647,0.0
2022-03-21T00:00:00Z,58.713476,21.761115,19.42789,0.097519,0.0
2022-03-28T00:00:00Z,63.964861,19.815251,16.135362,0.084526,0.0
2022-04-04T00:00:00Z,39.048284,29.055014,31.874268,0.022434,0.0
2022-04-11T00:00:00Z,57.739441,26.012109,15.894668,0.339193,0.014589
2022-04-18T00:00:00Z,58.279189,25.513027,16.075909,0.131875,0.0
2022-04-25T00:00:00Z,55.941388,27.530393,16.307177,0.213911,0.00713
2022-05-02T00:00:00Z,61.320784,22.890239,15.713431,0.062954,0.012591
2022-05-09T00:00:00Z,53.494234,27.235688,19.232097,0.027622,0.010358
2022-05-16T00:00:00Z,62.370454,22.548835,15.036744,0.043967,0.0
2022-05-23T00:00:00Z,56.598207,27.618802,15.685601,0.097391,0.0
2022-05-30T00:00:00Z,54.657312,29.647807,15.684512,0.010369,0.0
2022-06-06T00:00:00Z,61.25469,23.659012,14.942218,0.141078,0.003002
2022-06-13T00:00:00Z,54.583795,27.773673,17.285433,0.357099,0.0
2022-06-20T00:00:00Z,47.770149,31.407213,20.614091,0.208547,0.0
2022-06-27T00:00:00Z,58.328376,29.200692,12.46282,0.008112,0.0
2022-07-04T00:00:00Z,54.346603,29.299447,16.27122,0.082729,0.0
2022-07-11T00:00:00Z,49.677343,30.593215,19.643597,0.082884,0.00296
2022-07-18T00:00:00Z,57.416589,25.393724,17.00595,0.183738,0.0
2022-07-25T00:00:00Z,55.44611,31.26771,13.151247,0.134933,0.0
2022-08-01T00:00:00Z,61.62043,25.868087,12.306764,0.202094,0.002625
2022-08-08T00:00:00Z,52.852383,36.950658,10.16976,0.027198,0.0
2022-08-15T00:00:00Z,54.857621,30.404627,14.714196,0.023555,0.0
2022-08-22T00:00:00Z,55.058688,31.491742,13.446945,0.002626,0.0
2022-08-29T00:00:00Z,47.009527,36.525559,15.975455,0.489459,0.0
2022-09-05T00:00:00Z,58.852512,30.09531,10.55409,0.498088,0.0
2022-09-12T00:00:00Z,67.677704,21.505519,10.677704,0.136865,0.002208
2022-09-19T00:00:00Z,53.787329,29.327379,16.795981,0.078147,0.011164
2022-09-26T00:00:00Z,70.967429,17.19657,11.714556,0.089869,0.031576
2022-10-03T00:00:00Z,64.137191,23.732709,12.016284,0.113815,0.0
2022-10-10T00:00:00Z,65.053653,20.207289,14.620084,0.11211,0.006864
2022-10-17T00:00:00Z,60.922281,21.338432,17.595321,0.130469,0.013497
2022-10-24T00:00:00Z,61.430696,26.62051,11.858185,0.090609,0.0
2022-10-31T00:00:00Z,56.925887,28.01368,15.037067,0.023366,0.0
2022-11-07T00:00:00Z,65.338261,22.248352,12.39659,0.012598,0.004199
2022-11-14T00:00:00Z,69.341513,20.371883,10.258115,0.009496,0.018993
2022-11-21T00:00:00Z,57.075494,21.282727,21.630993,0.007705,0.003082
2022-11-28T00:00:00Z,57.380819,22.130687,20.399775,0.083287,0.005432
2022-12-05T00:00:00Z,59.406363,22.294339,18.256675,0.027124,0.0155
2022-12-12T00:00:00Z,54.196051,23.397587,22.394609,0.0,0.011754
2022-12-19T00:00:00Z,54.945829,29.588299,15.362947,0.0948,0.008126
2022-12-26T00:00:00Z,56.902919,21.147468,21.806121,0.084684,0.058808
