Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,62.803265,23.86006,13.278182,0.050138,0.008356
2022-01-03T00:00:00Z,61.944876,27.048727,10.664175,0.321163,0.02106
2022-01-10T00:00:00Z,64.075563,23.795901,11.938642,0.184961,0.004932
2022-01-17T00:00:00Z,63.860046,24.368445,11.642701,0.123551,0.005257
2022-01-24T00:00:00Z,65.939101,22.542773,11.396112,0.122014,0.0
2022-01-31T00:00:00Z,63.78306,24.946087,11.067595,0.195821,0.007436
2022-02-07T00:00:00Z,63.147596,25.621715,10.978135,0.252554,0.0
2022-02-14T00:00:00Z,58.732662,28.448594,12.466432,0.349848,0.002464
2022-02-21T00:00:00Z,63.197512,25.499149,11.135517,0.167823,0.0
2022-02-28T00:00:00Z,65.474302,23.537189,10.692822,0.288475,0.007212
2022-03-07T00:00:00Z,68.194694,21.034462,10.503249,0.267596,0.0
2022-03-14T00:00:00Z,60.991719,27.255028,11.71875,0.034503,0.0
2022-03-21T00:00:00Z,64.627075,26.810849,8.248773,0.294599,0.018705
2022-03-28T00:00:00Z,59.406802,23.192287,17.211212,0.17854,0.011159
2022-04-04T00:00:00Z,66.435006,21.313429,12.020507,0.229254,0.001805
2022-04-11T00:00:00Z,60.839971,25.95523,13.003053,0.201747,0.0
2022-04-18T00:00:00Z,66.402161,25.748222,7.663401,0.186217,0.0
2022-04-25T00:00:00Z,70.082874,20.829069,8.989005,0.099052,0.0
2022-05-02T00:00:00Z,65.810571,23.804541,10.133026,0.248315,0.003547
2022-05-09T00:00:00Z,66.936514,22.661773,10.230809,0.169104,0.001799
2022-05-16T00:00:00Z,65.87925,21.289347,12.734431,0.096973,0.0
2022-05-23T00:00:00Z,66.088856,23.665574,10.09407,0.151499,0.0
2022-05-30T00:00:00Z,63.137698,27.966372,8.800395,0.090759,0.004777
2022-06-06T00:00:00Z,64.03799,24.763848,11.076443,0.114862,0.006857
2022-06-13T00:00:00Z,65.982372,24.129636,9.818215,0.069776,0.0
2022-06-20T00:00:00Z,66.375855,25.343079,8.105007,0.172915,0.003144
2022-06-27T00:00:00Z,61.11084,28.198624,10.487293,0.196738,0.006504
2022-07-04T00:00:00Z,61.381908,28.40376,9.999826,0.214506,0.0
2022-07-11T00:00:00Z,62.292607,25.706051,11.970843,0.025924,0.004575
2022-07-18T00:00:00Z,61.161227,29.257079,9.416252,0.165442,0.0
2022-07-25T00:00:00Z,62.184957,24.971731,12.658528,0.184784,0.0
2022-08-01T00:00:00Z,63.727988,26.321524,9.854348,0.094538,0.001602
2022-08-08T00:00:00Z,71.471288,20.356099,8.137275,0.035338,0.0
2022-08-15T00:00:00Z,62.402089,27.909362,9.58784,0.100709,0.0
2022-08-22T00:00:00Z,63.420138,28.621089,7.871867,0.036592,0.050314
2022-08-29T00:00:00Z,60.343454,27.900117,11.522487,0.230551,0.00339
2022-09-05T00:00:00Z,59.406682,30.463704,10.022672,0.106943,0.0
2022-09-12T00:00:00Z,61.566837,30.514479,7.725308,0.190126,0.00325
2022-09-19T00:00:00Z,56.914002,33.478216,9.011694,0.596088,0.0
2022-09-26T00:00:00Z,60.286452,30.930855,8.570506,0.209881,0.002306
2022-10-03T00:00:00Z,62.78242,24.863809,12.251763,0.102008,0.0
2022-10-10T00:00:00Z,66.606353,26.516457,6.723534,0.153656,0.0
2022-10-17T00:00:00Z,64.96808,26.410805,8.600277,0.020838,0.0
2022-10-24T00:00:00Z,62.4434,28.06489,9.474688,0.017022,0.0
2022-10-31T00:00:00Z,68.008565,23.798247,8.093928,0.096424,0.002836
2022-11-07T00:00:00Z,67.780982,23.414165,8.723615,0.079884,0.001354
2022-11-14T00:00:00Z,62.838628,27.04377,10.105601,0.012,0.0
2022-11-21T00:00:00Z,62.222797,24.87262,12.87385,0.022645,0.008088
2022-11-28T00:00:00Z,60.700359,28.924241,10.262877,0.108643,0.00388
2022-12-05T00:00:00Z,61.535096,30.570661,7.891118,0.003125,0.0
2022-12-12T00:00:00Z,61.421094,30.488277,7.555747,0.534882,0.0
2022-12-19T00:00:00Z,55.574347,33.077391,11.331349,0.015221,0.001691
2022-12-26T00:00:00Z,71.389671,21.628267,6.912004,0.062127,0.007931
