Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,60.825862,30.571933,8.219891,0.369608,0.012706
2022-01-03T00:00:00Z,61.176391,30.49818,7.975669,0.336307,0.013452
2022-01-10T00:00:00Z,61.532937,30.108908,8.043645,0.298549,0.015961
2022-01-17T00:00:00Z,61.231701,29.963005,8.463923,0.334538,0.006834
2022-01-24T00:00:00Z,60.388235,30.435897,8.773817,0.388338,0.013713
2022-01-31T00:00:00Z,62.007088,28.82653,8.848523,0.305337,0.012522
2022-02-07T00:00:00Z,62.259504,28.626072,8.807031,0.299615,0.007778
2022-02-14T00:00:00Z,62.880564,28.101167,8.687185,0.318228,0.012857
2022-02-21T00:00:00Z,62.312517,28.785586,8.590395,0.299561,0.01194
2022-02-28T00:00:00Z,62.321512,28.829505,8.543756,0.293388,0.011839
2022-03-07T00:00:00Z,63.438829,27.599188,8.688524,0.263939,0.00952
2022-03-14T00:00:00Z,64.234754,26.283004,9.260157,0.212959,0.009127
2022-03-21T00:00:00Z,60.836962,28.753257,10.064538,0.331065,0.014178
2022-03-28T00:00:00Z,63.684847,26.146958,10.000017,0.160669,0.00751
2022-04-04T00:00:00Z,64.270993,26.195191,9.296264,0.230929,0.006623
2022-04-11T00:00:00Z,63.89972,26.068364,9.675859,0.340693,0.015365
2022-04-18T00:00:00Z,64.085694,26.332825,9.296277,0.277626,0.007579
2022-04-25T00:00:00Z,63.808223,26.650657,9.308173,0.222078,0.010869
2022-05-02T00:00:00Z,64.266055,25.411436,10.04934,0.263377,0.009792
2022-05-09T00:00:00Z,63.367438,25.702304,10.718129,0.206469,0.00566
2022-05-16T00:00:00Z,62.811703,26.56416,10.40318,0.211619,0.009339
2022-05-23T00:00:00Z,60.94148,28.42831,10.389764,0.231464,0.008982
2022-05-30T00:00:00Z,62.31206,27.51702,9.885507,0.281258,0.004154
2022-06-06T00:00:00Z,63.613719,26.34176,9.767207,0.258821,0.018492
2022-06-13T00:00:00Z,61.371882,27.606319,10.80625,0.210677,0.004872
2022-06-20T00:00:00Z,60.001026,28.027787,11.760195,0.205187,0.005806
2022-06-27T00:00:00Z,60.928002,27.665616,11.130952,0.258367,0.017063
2022-07-04T00:00:00Z,61.796317,26.88443,11.098654,0.211559,0.00904
2022-07-11T00:00:00Z,61.427712,27.677486,10.684249,0.201004,0.009548
2022-07-18T00:00:00Z,62.762824,25.468671,11.551592,0.203563,0.013351
2022-07-25T00:00:00Z,61.361976,25.928301,12.501232,0.200091,0.008401
2022-08-01T00:00:00Z,61.767005,24.970282,13.060815,0.193541,0.008357
2022-08-08T00:00:00Z,64.425846,25.364314,9.990577,0.2079,0.011362
2022-08-15T00:00:00Z,65.492869,23.762159,10.539029,0.199822,0.006122
2022-08-22T00:00:00Z,66.859274,23.654736,9.183183,0.296505,0.006303
2022-08-29T00:00:00Z,66.008531,24.081677,9.648354,0.25266,0.008777
2022-09-05T00:00:00Z,67.991502,22.712459,9.055189,0.228028,0.012821
2022-09-12T00:00:00Z,67.342652,22.173846,10.235924,0.242403,0.005176
2022-09-19T00:00:00Z,64.47107,23.699619,11.62776,0.192309,0.009242
2022-09-26T00:00:00Z,68.318234,19.59464,11.868393,0.202555,0.016178
2022-10-03T00:00:00Z,66.756459,20.128881,12.909037,0.19072,0.014902
2022-10-10T00:00:00Z,68.030572,19.314583,12.480606,0.156877,0.017362
2022-10-17T00:00:00Z,68.412807,19.550969,11.829339,0.188126,0.018759
2022-10-24T00:00:00Z,68.164145,19.776324,11.870973,0.172346,0.016213
2022-10-31T00:00:00Z,68.702152,19.487691,11.577864,0.210207,0.022086
2022-11-07T00:00:00Z,67.872736,19.812069,12.127334,0.172243,0.015618
2022-11-14T00:00:00Z,65.404108,21.094161,13.245282,0.237014,0.019435
2022-11-21T00:00:00Z,63.924874,18.138352,17.760992,0.160107,0.015675
2022-11-28T00:00:00Z,64.870864,18.816297,16.146279,0.14193,0.02463
2022-12-05T00:00:00Z,65.247221,20.637102,13.925714,0.166324,0.023638
2022-12-12T00:00:00Z,66.067041,20.202329,13.449,0.261197,0.020432
2022-12-19T00:00:00Z,63.607665,22.138422,14.004908,0.227203,0.021802
2022-12-26T00:00:00Z,66.448038,19.914348,13.473459,0.145077,0.019078
