Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,55.435055,33.745017,9.665728,1.145836,0.008364
2022-01-03T00:00:00Z,59.857693,27.353583,11.063795,1.722233,0.002695
2022-01-10T00:00:00Z,58.263782,27.921823,13.793464,0.020931,0.0
2022-01-17T00:00:00Z,53.758047,34.055124,11.919293,0.267536,0.0
2022-01-24T00:00:00Z,54.061753,31.222341,13.523068,1.192838,0.0
2022-01-31T00:00:00Z,56.600268,29.536072,11.706574,2.151925,0.00516
2022-02-07T00:00:00Z,55.329587,31.244474,13.405973,0.017114,0.002852
2022-02-14T00:00:00Z,54.831543,32.490579,12.568198,0.104055,0.005625
2022-02-21T00:00:00Z,55.744606,30.737298,13.442086,0.07601,0.0
2022-02-28T00:00:00Z,53.931943,32.088765,13.431644,0.547648,0.0
2022-03-07T00:00:00Z,55.854071,28.115804,15.703168,0.326957,0.0
2022-03-14T00:00:00Z,58.352422,32.156189,9.415034,0.057266,0.019089
2022-03-21T00:00:00Z,79.525568,16.132635,4.226441,0.077313,0.038043
2022-03-28T00:00:00Z,54.441705,31.909066,13.47576,0.130101,0.043367
2022-04-04T00:00:00Z,58.853863,30.785164,9.681317,0.353852,0.325803
2022-04-11T00:00:00Z,67.857957,25.742213,6.29646,0.10337,0.0
2022-04-18T00:00:00Z,51.068111,32.142028,16.426084,0.342492,0.021285
2022-04-25T00:00:00Z,40.410337,48.09861,11.359923,0.080696,0.050435
2022-05-02T00:00:00Z,48.575055,41.388912,9.773974,0.139219,0.12284
2022-05-09T00:00:00Z,60.346008,29.379448,10.025906,0.138463,0.110175
2022-05-16T00:00:00Z,67.936501,23.538902,8.165372,0.228011,0.131214
2022-05-23T00:00:00Z,54.706524,29.709396,15.009763,0.321617,0.252699
2022-05-30T00:00:00Z,63.873504,26.196716,9.74681,0.064286,0.118683
2022-06-06T00:00:00Z,60.664226,26.196322,12.90733,0.1607,0.071422
2022-06-13T00:00:00Z,66.180637,23.764789,9.904599,0.087485,0.06249
2022-06-20T00:00:00Z,56.199834,31.358981,12.335086,0.018452,0.087646
2022-06-27T00:00:00Z,57.689515,27.037078,15.040158,0.217846,0.015403
2022-07-04T00:00:00Z,55.973854,27.42843,16.388107,0.209609,0.0
2022-07-11T00:00:00Z,56.037375,28.338925,15.498933,0.124768,0.0
2022-07-18T00:00:00Z,56.110859,30.165581,13.506487,0.217073,0.0
2022-07-25T00:00:00Z,53.973455,28.093933,17.844659,0.087952,0.0
2022-08-01T00:00:00Z,50.010312,27.033766,22.858428,0.097493,0.0
2022-08-08T00:00:00Z,57.249551,29.314895,13.319434,0.116119,0.0
2022-08-15T00:00:00Z,50.003757,36.198562,13.579783,0.215393,0.002505
2022-08-22T00:00:00Z,42.519955,33.941385,23.399581,0.139079,0.0
2022-08-29T00:00:00Z,50.467231,32.57538,16.851483,0.105906,0.0
2022-09-05T00:00:00Z,40.35635,38.478288,21.01252,0.152841,0.0
2022-09-12T00:00:00Z,44.534353,42.550285,12.900649,0.014712,0.0
2022-09-19T00:00:00Z,45.228826,46.805486,7.91561,0.050078,0.0
2022-09-26T00:00:00Z,59.606227,32.441801,7.922307,0.029666,0.0
2022-10-03T00:00:00Z,57.334374,34.087126,8.531357,0.047143,0.0
2022-10-10T00:00:00Z,42.663534,47.472144,9.767301,0.097021,0.0
2022-10-17T00:00:00Z,64.420444,29.585973,5.959502,0.02703,0.007051
2022-10-24T00:00:00Z,35.561251,53.793116,10.595094,0.050539,0.0
2022-10-31T00:00:00Z,43.278636,39.582491,16.973163,0.161668,0.004042
2022-11-07T00:00:00Z,50.822406,33.844291,15.248778,0.084525,0.0
2022-11-14T00:00:00Z,50.659161,32.142513,17.138183,0.060142,0.0
2022-11-21T00:00:00Z,51.264246,34.197474,14.509622,0.026453,0.002204
2022-11-28T00:00:00Z,50.520431,31.680378,17.792373,0.004545,0.002273
2022-12-05T00:00:00Z,49.658734,33.323475,16.997315,0.020476,0.0
2022-12-12T00:00:00Z,58.557314,25.675396,15.730441,0.03685,0.0
2022-12-19T00:00:00Z,63.094034,25.436621,10.927015,0.542329,0.0
2022-12-26T00:00:00Z,45.968722,37.961428,15.995248,0.074602,0.0
