Serie_0 timestamps,Serie_0  T L S 1.2,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,50.757833,42.640391,6.287558,0.311826,0.002393
2022-01-03T00:00:00Z,51.367741,42.574043,5.803709,0.24351,0.010997
2022-01-10T00:00:00Z,51.544125,42.663253,5.629638,0.158105,0.00488
2022-01-17T00:00:00Z,51.374941,42.86154,5.518538,0.242211,0.00277
2022-01-24T00:00:00Z,49.716556,43.874509,6.173483,0.228793,0.00666
2022-01-31T00:00:00Z,50.062956,43.599774,6.112381,0.223009,0.001879
2022-02-07T00:00:00Z,50.704294,43.362696,5.692541,0.236761,0.003708
2022-02-14T00:00:00Z,49.108937,45.069276,5.596825,0.218225,0.006737
2022-02-21T00:00:00Z,49.756877,44.528393,5.554063,0.15897,0.001697
2022-02-28T00:00:00Z,49.287436,44.764802,5.766163,0.177966,0.003632
2022-03-07T00:00:00Z,49.809482,44.463462,5.548115,0.170975,0.007966
2022-03-14T00:00:00Z,48.682069,45.833065,5.325725,0.14791,0.011231
2022-03-21T00:00:00Z,43.698733,49.911146,6.272236,0.114015,0.003871
2022-03-28T00:00:00Z,45.987389,47.294994,6.576794,0.133697,0.007127
2022-04-04T00:00:00Z,47.949749,46.136435,5.708388,0.203664,0.001764
2022-04-11T00:00:00Z,47.539893,44.470404,7.762553,0.226338,0.000811
2022-04-18T00:00:00Z,47.679152,46.227763,5.971613,0.119061,0.00241
2022-04-25T00:00:00Z,44.932752,47.902741,7.04706,0.115011,0.002436
2022-05-02T00:00:00Z,45.01983,47.873292,6.96063,0.144345,0.001903
2022-05-09T00:00:00Z,44.443651,48.915647,6.431287,0.206506,0.002909
2022-05-16T00:00:00Z,41.683946,51.181993,6.900172,0.229275,0.004614
2022-05-23T00:00:00Z,40.657929,51.066389,8.085415,0.188778,0.001489
2022-05-30T00:00:00Z,42.051219,49.709223,7.918139,0.31816,0.00326
2022-06-06T00:00:00Z,45.213317,47.543535,7.059456,0.178348,0.005344
2022-06-13T00:00:00Z,37.072263,54.408162,8.197874,0.316786,0.004914
2022-06-20T00:00:00Z,38.65962,54.05025,7.063579,0.215725,0.010826
2022-06-27T00:00:00Z,34.584494,56.594822,8.4873,0.331052,0.002331
2022-07-04T00:00:00Z,38.581836,51.974421,9.233223,0.205376,0.005144
2022-07-11T00:00:00Z,41.430457,49.777591,8.49474,0.25121,0.046002
2022-07-18T00:00:00Z,38.367713,52.338529,8.95747,0.333544,0.002744
2022-07-25T00:00:00Z,38.036322,52.451765,9.335064,0.168702,0.008148
2022-08-01T00:00:00Z,38.164119,52.13354,9.528493,0.167719,0.006129
2022-08-08T00:00:00Z,36.982795,49.595952,13.273852,0.146215,0.001185
2022-08-15T00:00:00Z,39.008051,50.931711,9.878799,0.177919,0.003519
2022-08-22T00:00:00Z,38.81191,52.484837,8.526446,0.150186,0.026621
2022-08-29T00:00:00Z,37.882861,49.048242,12.675015,0.119734,0.274147
2022-09-05T00:00:00Z,41.079886,51.514359,7.259841,0.144923,0.000991
2022-09-12T00:00:00Z,37.634319,54.779655,7.441104,0.142578,0.002344
2022-09-19T00:00:00Z,38.170233,53.159601,8.506818,0.160591,0.002757
2022-09-26T00:00:00Z,39.604668,53.122851,7.1046,0.165173,0.002708
2022-10-03T00:00:00Z,38.621646,54.731981,6.554021,0.092165,0.000187
2022-10-10T00:00:00Z,36.813252,57.156304,5.912654,0.117613,0.000178
2022-10-17T00:00:00Z,37.426971,56.349613,6.099384,0.11338,0.010652
2022-10-24T00:00:00Z,40.893124,51.900529,7.119792,0.074492,0.012062
2022-10-31T00:00:00Z,40.165932,53.498347,6.213262,0.113581,0.008878
2022-11-07T00:00:00Z,39.906228,53.955209,6.067901,0.066006,0.004655
2022-11-14T00:00:00Z,36.483133,54.725047,8.603907,0.168681,0.019232
2022-11-21T00:00:00Z,34.914246,55.89372,9.039795,0.13091,0.021328
2022-11-28T00:00:00Z,35.155581,55.17297,9.501404,0.151151,0.018894
2022-12-05T00:00:00Z,35.444801,55.095773,9.343828,0.100094,0.015504
2022-12-12T00:00:00Z,32.663374,57.118624,10.032604,0.170139,0.015259
2022-12-19T00:00:00Z,33.051373,55.033672,11.784555,0.103233,0.027167
2022-12-26T00:00:00Z,38.377983,52.965971,8.587754,0.064309,0.003984
