Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,59.364517,27.130702,13.130927,0.360534,0.013319
2022-01-03T00:00:00Z,60.633195,26.590916,12.438513,0.326906,0.010469
2022-01-10T00:00:00Z,61.063802,26.306657,12.250392,0.36795,0.011198
2022-01-17T00:00:00Z,61.072412,26.211674,12.313828,0.393342,0.008744
2022-01-24T00:00:00Z,60.689836,26.842155,12.04846,0.410929,0.00862
2022-01-31T00:00:00Z,61.084839,26.212171,12.349924,0.344233,0.008833
2022-02-07T00:00:00Z,61.800097,25.812768,12.055933,0.324328,0.006875
2022-02-14T00:00:00Z,62.094178,25.535214,12.01804,0.347286,0.005282
2022-02-21T00:00:00Z,62.899879,25.196438,11.567296,0.331813,0.004574
2022-02-28T00:00:00Z,62.956145,25.726287,10.943004,0.369523,0.005041
2022-03-07T00:00:00Z,62.068675,26.678343,10.901681,0.34638,0.004922
2022-03-14T00:00:00Z,60.771281,28.055885,10.862169,0.303854,0.006811
2022-03-21T00:00:00Z,60.788857,27.832092,11.04747,0.32501,0.006571
2022-03-28T00:00:00Z,61.570681,26.981535,11.142843,0.301431,0.00351
2022-04-04T00:00:00Z,59.97219,29.281057,10.341121,0.400073,0.005559
2022-04-11T00:00:00Z,57.452642,31.310648,10.87692,0.35216,0.007629
2022-04-18T00:00:00Z,58.0804,31.012951,10.603227,0.295924,0.007499
2022-04-25T00:00:00Z,60.060547,29.016638,10.604695,0.28718,0.03094
2022-05-02T00:00:00Z,59.915763,28.873788,10.899917,0.303685,0.006847
2022-05-09T00:00:00Z,61.884628,27.455844,10.356644,0.297885,0.004998
2022-05-16T00:00:00Z,60.240692,28.749209,10.713653,0.292535,0.00391
2022-05-23T00:00:00Z,59.976254,28.833582,10.892641,0.292313,0.00521
2022-05-30T00:00:00Z,60.062982,28.636115,11.008657,0.281185,0.011061
2022-06-06T00:00:00Z,60.627088,28.638986,10.429686,0.297818,0.006422
2022-06-13T00:00:00Z,59.403076,29.638782,10.499677,0.443486,0.014979
2022-06-20T00:00:00Z,57.898296,31.210184,10.587197,0.296054,0.00827
2022-06-27T00:00:00Z,57.972782,31.45805,10.29039,0.274057,0.004722
2022-07-04T00:00:00Z,58.301425,31.030785,10.414624,0.245763,0.007402
2022-07-11T00:00:00Z,58.621859,31.174266,9.938799,0.259856,0.00522
2022-07-18T00:00:00Z,59.156183,31.030232,9.529032,0.275721,0.008831
2022-07-25T00:00:00Z,59.191713,31.248579,9.276746,0.275142,0.00782
2022-08-01T00:00:00Z,58.325754,32.666785,8.813616,0.188485,0.005361
2022-08-08T00:00:00Z,58.143012,32.615423,9.019291,0.216727,0.005547
2022-08-15T00:00:00Z,59.448869,31.65662,8.676647,0.21468,0.003183
2022-08-22T00:00:00Z,57.598543,33.336827,8.802793,0.250618,0.01122
2022-08-29T00:00:00Z,58.652376,32.594416,8.558272,0.190728,0.004209
2022-09-05T00:00:00Z,59.713052,31.177573,8.851794,0.252621,0.00496
2022-09-12T00:00:00Z,59.120031,30.862299,9.83349,0.178704,0.005476
2022-09-19T00:00:00Z,58.42038,31.252213,10.140789,0.18131,0.005309
2022-09-26T00:00:00Z,59.754372,30.545975,9.536614,0.156526,0.006513
2022-10-03T00:00:00Z,59.883161,29.044505,10.898706,0.169531,0.004097
2022-10-10T00:00:00Z,60.361173,30.493366,8.95593,0.184762,0.004768
2022-10-17T00:00:00Z,61.42015,29.757452,8.647264,0.166621,0.008512
2022-10-24T00:00:00Z,59.718612,30.779725,9.341894,0.147618,0.012151
2022-10-31T00:00:00Z,60.178284,31.146502,8.521185,0.144874,0.009155
2022-11-07T00:00:00Z,60.850797,30.237852,8.766018,0.139447,0.005886
2022-11-14T00:00:00Z,60.719889,30.42356,8.658137,0.191793,0.006621
2022-11-21T00:00:00Z,60.467627,31.1728,8.243675,0.106116,0.009781
2022-11-28T00:00:00Z,59.630313,30.990926,9.191625,0.180288,0.006848
2022-12-05T00:00:00Z,60.683949,30.311125,8.792726,0.20432,0.00788
2022-12-12T00:00:00Z,58.258829,32.782536,8.695871,0.251897,0.010868
2022-12-19T00:00:00Z,57.762107,33.213819,8.831518,0.176386,0.01617
2022-12-26T00:00:00Z,57.694398,33.50455,8.593193,0.188075,0.019785
