Serie_0 timestamps,Serie_0  T L S 1.2,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,49.566039,44.802372,5.019675,0.608605,0.003308
2022-01-03T00:00:00Z,48.691743,45.792622,4.893683,0.619392,0.002561
2022-01-10T00:00:00Z,49.264492,45.386088,4.804215,0.541108,0.004097
2022-01-17T00:00:00Z,48.239266,46.198814,4.928964,0.631031,0.001926
2022-01-24T00:00:00Z,48.642604,45.714342,4.975657,0.664,0.003397
2022-01-31T00:00:00Z,48.8543,45.580062,4.971112,0.592496,0.00203
2022-02-07T00:00:00Z,49.193571,45.416476,4.783776,0.603939,0.002237
2022-02-14T00:00:00Z,48.642145,45.926276,4.892144,0.537389,0.002047
2022-02-21T00:00:00Z,48.832862,45.630577,4.92967,0.605082,0.001809
2022-02-28T00:00:00Z,46.959986,47.82314,4.65798,0.554376,0.004519
2022-03-07T00:00:00Z,48.477299,45.963601,4.999769,0.556068,0.003263
2022-03-14T00:00:00Z,47.03399,47.080283,5.34538,0.538702,0.001645
2022-03-21T00:00:00Z,48.204397,46.820601,4.459951,0.513149,0.001901
2022-03-28T00:00:00Z,47.937361,46.751526,4.793802,0.516192,0.001119
2022-04-04T00:00:00Z,47.634361,46.423571,5.293689,0.647509,0.00087
2022-04-11T00:00:00Z,47.025463,46.806825,5.620768,0.545955,0.000987
2022-04-18T00:00:00Z,46.891066,47.069394,5.459271,0.579614,0.000656
2022-04-25T00:00:00Z,47.393721,47.114248,4.944406,0.547064,0.000562
2022-05-02T00:00:00Z,47.496691,46.984005,4.935213,0.583549,0.000541
2022-05-09T00:00:00Z,47.482658,46.962892,5.128695,0.425327,0.000428
2022-05-16T00:00:00Z,47.014129,47.539761,4.928253,0.517208,0.000649
2022-05-23T00:00:00Z,46.651588,48.033739,4.887776,0.426548,0.00035
2022-05-30T00:00:00Z,45.468826,48.652651,5.371409,0.506755,0.000359
2022-06-06T00:00:00Z,47.174556,47.230755,5.180612,0.413645,0.000432
2022-06-13T00:00:00Z,46.680881,47.444137,5.438021,0.436407,0.000554
2022-06-20T00:00:00Z,39.280932,55.907383,4.438759,0.371816,0.001111
2022-06-27T00:00:00Z,38.206062,56.446096,4.886818,0.460548,0.000475
2022-07-04T00:00:00Z,45.96893,47.90506,5.618736,0.505974,0.0013
2022-07-11T00:00:00Z,46.091402,47.52546,5.886324,0.49641,0.000405
2022-07-18T00:00:00Z,46.345168,47.479717,5.732928,0.441863,0.000324
2022-07-25T00:00:00Z,46.147102,47.252778,6.063668,0.535857,0.000596
2022-08-01T00:00:00Z,44.671311,48.922712,5.977346,0.428178,0.000452
2022-08-08T00:00:00Z,45.269878,48.175925,5.906397,0.647537,0.000262
2022-08-15T00:00:00Z,44.362817,48.081702,7.013111,0.542014,0.000356
2022-08-22T00:00:00Z,45.402438,47.032821,7.096817,0.467528,0.000396
2022-08-29T00:00:00Z,44.32496,48.393989,6.67999,0.60071,0.000351
2022-09-05T00:00:00Z,45.69163,47.711025,6.137664,0.459272,0.000409
2022-09-12T00:00:00Z,45.454309,47.880883,6.26814,0.396219,0.000449
2022-09-19T00:00:00Z,46.113563,47.167408,6.074134,0.644587,0.000308
2022-09-26T00:00:00Z,45.87155,47.286,6.454996,0.385914,0.00154
2022-10-03T00:00:00Z,44.608486,48.424857,6.442037,0.523857,0.000763
2022-10-10T00:00:00Z,45.754954,47.625847,6.235084,0.383831,0.000284
2022-10-17T00:00:00Z,45.008514,48.362644,6.250317,0.378164,0.000361
2022-10-24T00:00:00Z,45.62784,47.574301,6.33103,0.466567,0.000262
2022-10-31T00:00:00Z,44.690803,48.303887,6.561805,0.443034,0.000471
2022-11-07T00:00:00Z,45.779229,47.304701,6.48743,0.42835,0.00029
2022-11-14T00:00:00Z,44.736517,48.254002,6.615917,0.393237,0.000327
2022-11-21T00:00:00Z,43.425415,48.992666,7.192372,0.388969,0.000578
2022-11-28T00:00:00Z,44.518588,48.19791,6.881927,0.399351,0.002225
2022-12-05T00:00:00Z,45.0407,47.846905,6.755393,0.356503,0.0005
2022-12-12T00:00:00Z,45.131884,47.616499,6.816828,0.425022,0.009767
2022-12-19T00:00:00Z,46.162816,47.221241,5.949697,0.665528,0.000718
2022-12-26T00:00:00Z,44.122381,48.483764,7.011622,0.381244,0.000989
