Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1,Serie_0  T L S  Q U I C
2021-12-27T00:00:00Z,77.710843,22.289157,0.0,0.0,0.0
2022-01-03T00:00:00Z,78.082192,21.917808,0.0,0.0,0.0
2022-01-10T00:00:00Z,85.9375,14.0625,0.0,0.0,0.0
2022-01-17T00:00:00Z,94.464945,5.535055,0.0,0.0,0.0
2022-01-24T00:00:00Z,93.43696,6.56304,0.0,0.0,0.0
2022-01-31T00:00:00Z,81.686747,15.903614,2.409639,0.0,0.0
2022-02-07T00:00:00Z,85.690236,14.309764,0.0,0.0,0.0
2022-02-14T00:00:00Z,82.352941,17.647059,0.0,0.0,0.0
2022-02-21T00:00:00Z,90.28436,9.71564,0.0,0.0,0.0
2022-02-28T00:00:00Z,84.340659,12.087912,3.571429,0.0,0.0
2022-03-07T00:00:00Z,64.42926,34.565916,1.004823,0.0,0.0
2022-03-14T00:00:00Z,90.710383,9.289617,0.0,0.0,0.0
2022-03-21T00:00:00Z,86.684783,13.315217,0.0,0.0,0.0
2022-03-28T00:00:00Z,82.282282,17.717718,0.0,0.0,0.0
2022-04-04T00:00:00Z,92.409867,7.590133,0.0,0.0,0.0
2022-04-11T00:00:00Z,89.242054,10.757946,0.0,0.0,0.0
2022-04-18T00:00:00Z,78.409091,21.590909,0.0,0.0,0.0
2022-04-25T00:00:00Z,98.227848,1.772152,0.0,0.0,0.0
2022-05-02T00:00:00Z,91.603053,8.396947,0.0,0.0,0.0
2022-05-09T00:00:00Z,95.491803,4.508197,0.0,0.0,0.0
2022-05-16T00:00:00Z,99.176955,0.823045,0.0,0.0,0.0
2022-05-23T00:00:00Z,90.263459,9.736541,0.0,0.0,0.0
2022-05-30T00:00:00Z,89.309577,10.690423,0.0,0.0,0.0
2022-06-06T00:00:00Z,89.203085,10.796915,0.0,0.0,0.0
2022-06-13T00:00:00Z,93.292683,6.707317,0.0,0.0,0.0
2022-06-20T00:00:00Z,98.678414,1.321586,0.0,0.0,0.0
2022-06-27T00:00:00Z,85.285285,14.714715,0.0,0.0,0.0
2022-07-04T00:00:00Z,84.313725,15.686275,0.0,0.0,0.0
2022-07-11T00:00:00Z,87.022016,12.862109,0.115875,0.0,0.0
2022-07-18T00:00:00Z,96.173469,3.826531,0.0,0.0,0.0
2022-07-25T00:00:00Z,90.794242,9.205758,0.0,0.0,0.0
2022-08-01T00:00:00Z,93.360434,6.639566,0.0,0.0,0.0
2022-08-08T00:00:00Z,97.154472,2.845528,0.0,0.0,0.0
2022-08-15T00:00:00Z,94.705882,5.294118,0.0,0.0,0.0
2022-08-22T00:00:00Z,93.759513,6.240487,0.0,0.0,0.0
2022-08-29T00:00:00Z,92.35474,7.64526,0.0,0.0,0.0
2022-09-05T00:00:00Z,66.908432,33.091568,0.0,0.0,0.0
2022-09-12T00:00:00Z,85.53719,14.46281,0.0,0.0,0.0
2022-09-19T00:00:00Z,96.671491,3.328509,0.0,0.0,0.0
2022-09-26T00:00:00Z,97.227357,2.772643,0.0,0.0,0.0
2022-10-03T00:00:00Z,73.921569,26.078431,0.0,0.0,0.0
2022-10-10T00:00:00Z,87.372709,12.627291,0.0,0.0,0.0
2022-10-17T00:00:00Z,87.682334,12.317666,0.0,0.0,0.0
2022-10-24T00:00:00Z,92.193309,6.69145,1.115242,0.0,0.0
2022-10-31T00:00:00Z,87.8,12.2,0.0,0.0,0.0
2022-11-07T00:00:00Z,95.20096,4.739052,0.0,0.0,0.059988
2022-11-14T00:00:00Z,84.7487,15.2513,0.0,0.0,0.0
2022-11-21T00:00:00Z,87.315011,12.684989,0.0,0.0,0.0
2022-11-28T00:00:00Z,68.639053,31.360947,0.0,0.0,0.0
2022-12-05T00:00:00Z,95.367847,4.632153,0.0,0.0,0.0
2022-12-12T00:00:00Z,89.116517,10.883483,0.0,0.0,0.0
2022-12-19T00:00:00Z,84.6543,6.155143,0.0,0.0,9.190556
2022-12-26T00:00:00Z,86.403509,10.964912,0.219298,0.0,2.412281
