Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,65.875116,18.671006,15.176743,0.276766,0.000369
2022-01-03T00:00:00Z,67.278504,18.373926,14.062813,0.2826,0.002157
2022-01-10T00:00:00Z,67.757761,18.867255,13.165929,0.208754,0.000301
2022-01-17T00:00:00Z,66.451515,19.271554,13.97046,0.301963,0.004507
2022-01-24T00:00:00Z,63.66781,19.341932,16.700494,0.288474,0.001291
2022-01-31T00:00:00Z,63.794649,18.696404,17.215579,0.284786,0.008582
2022-02-07T00:00:00Z,64.10564,18.439008,17.170011,0.279263,0.006078
2022-02-14T00:00:00Z,63.762976,18.902202,16.970661,0.363212,0.000949
2022-02-21T00:00:00Z,65.270827,18.559246,15.779182,0.389777,0.000968
2022-02-28T00:00:00Z,66.984331,18.285413,14.368819,0.358676,0.002761
2022-03-07T00:00:00Z,68.462484,17.323048,14.005316,0.207957,0.001194
2022-03-14T00:00:00Z,70.101354,17.257505,12.45562,0.175147,0.010373
2022-03-21T00:00:00Z,71.4767,16.200606,12.13893,0.181289,0.002475
2022-03-28T00:00:00Z,65.781669,19.011081,14.982393,0.224211,0.000646
2022-04-04T00:00:00Z,65.248593,19.415881,15.159012,0.173202,0.003312
2022-04-11T00:00:00Z,61.13306,22.35547,16.241267,0.26805,0.002153
2022-04-18T00:00:00Z,62.294277,21.376878,16.070232,0.254213,0.0044
2022-04-25T00:00:00Z,61.73906,22.696013,15.335907,0.227398,0.001622
2022-05-02T00:00:00Z,65.36036,18.971711,15.450498,0.209354,0.008077
2022-05-09T00:00:00Z,64.643296,18.341883,16.683379,0.318224,0.013219
2022-05-16T00:00:00Z,64.876239,17.569577,17.296772,0.249225,0.008187
2022-05-23T00:00:00Z,59.904331,23.704457,15.887431,0.500147,0.003634
2022-05-30T00:00:00Z,58.816452,26.625008,14.374495,0.165392,0.018653
2022-06-06T00:00:00Z,63.973354,19.783209,16.053981,0.171863,0.017592
2022-06-13T00:00:00Z,61.181962,23.071581,15.402498,0.322393,0.021566
2022-06-20T00:00:00Z,63.04308,23.101467,13.555349,0.295854,0.00425
2022-06-27T00:00:00Z,64.026467,21.985391,13.740999,0.246112,0.001031
2022-07-04T00:00:00Z,63.67112,20.82035,14.585612,0.91697,0.005948
2022-07-11T00:00:00Z,58.329244,22.565214,18.75002,0.355521,0.0
2022-07-18T00:00:00Z,63.193804,21.765321,14.703894,0.336982,0.0
2022-07-25T00:00:00Z,62.214486,22.215974,15.261854,0.305963,0.001723
2022-08-01T00:00:00Z,59.69831,24.042471,15.629909,0.627733,0.001577
2022-08-08T00:00:00Z,65.471207,20.129824,13.462828,0.934906,0.001236
2022-08-15T00:00:00Z,61.960089,22.383347,15.456507,0.19473,0.005327
2022-08-22T00:00:00Z,60.962086,25.147736,13.573204,0.314126,0.002848
2022-08-29T00:00:00Z,62.12529,24.304179,13.311914,0.252174,0.006443
2022-09-05T00:00:00Z,61.050016,25.644237,13.141322,0.161545,0.00288
2022-09-12T00:00:00Z,57.784755,29.255847,12.818622,0.137826,0.00295
2022-09-19T00:00:00Z,60.831884,23.545265,15.443379,0.175929,0.003542
2022-09-26T00:00:00Z,60.154897,26.155317,13.523637,0.165857,0.000291
2022-10-03T00:00:00Z,63.263137,25.75282,10.761833,0.221381,0.000828
2022-10-10T00:00:00Z,63.111276,23.611161,13.094827,0.181354,0.001382
2022-10-17T00:00:00Z,63.597714,23.385491,12.752688,0.263522,0.000586
2022-10-24T00:00:00Z,64.456595,23.331746,12.03025,0.181126,0.000283
2022-10-31T00:00:00Z,61.774662,24.928833,13.069547,0.224184,0.002775
2022-11-07T00:00:00Z,61.889078,25.541996,12.362148,0.204489,0.002289
2022-11-14T00:00:00Z,61.630939,25.066342,13.186507,0.1157,0.000511
2022-11-21T00:00:00Z,60.013333,27.243265,12.65508,0.086132,0.00219
2022-11-28T00:00:00Z,58.698379,26.141473,15.026284,0.132016,0.001848
2022-12-05T00:00:00Z,61.116553,25.881525,12.896923,0.104186,0.000812
2022-12-12T00:00:00Z,59.996567,26.424294,13.294239,0.282408,0.002492
2022-12-19T00:00:00Z,60.39245,27.262673,12.150284,0.190665,0.003928
2022-12-26T00:00:00Z,62.813764,24.695748,12.297952,0.183381,0.009155
