Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,57.900058,21.705139,20.17678,0.217021,0.001001
2022-01-03T00:00:00Z,58.202148,22.729074,18.758901,0.308359,0.001517
2022-01-10T00:00:00Z,57.810255,22.351988,19.621406,0.215358,0.000992
2022-01-17T00:00:00Z,58.904499,21.794567,19.123047,0.175287,0.002601
2022-01-24T00:00:00Z,58.937289,22.423541,18.367179,0.270462,0.001528
2022-01-31T00:00:00Z,57.19806,23.633255,18.893132,0.269447,0.006106
2022-02-07T00:00:00Z,59.488001,21.875538,18.397688,0.236179,0.002593
2022-02-14T00:00:00Z,60.064787,20.703594,18.994039,0.236212,0.001368
2022-02-21T00:00:00Z,59.595066,20.361004,19.826462,0.215682,0.001786
2022-02-28T00:00:00Z,60.20428,20.566799,18.996084,0.231896,0.000942
2022-03-07T00:00:00Z,60.630312,20.762532,18.398756,0.206179,0.00222
2022-03-14T00:00:00Z,58.51827,21.970514,19.277139,0.226174,0.007902
2022-03-21T00:00:00Z,57.398782,23.703614,18.688093,0.186694,0.022816
2022-03-28T00:00:00Z,59.383809,21.14123,19.28573,0.163682,0.025548
2022-04-04T00:00:00Z,54.506622,24.866653,20.330274,0.293532,0.00292
2022-04-11T00:00:00Z,56.759692,24.578837,18.384242,0.275422,0.001807
2022-04-18T00:00:00Z,60.213614,21.420447,18.183953,0.179418,0.002568
2022-04-25T00:00:00Z,60.669648,20.465896,18.544954,0.319501,0.0
2022-05-02T00:00:00Z,59.806921,22.425019,17.464491,0.302578,0.000991
2022-05-09T00:00:00Z,59.029525,22.18209,18.464523,0.322274,0.001589
2022-05-16T00:00:00Z,58.693041,22.065173,18.952486,0.287862,0.001437
2022-05-23T00:00:00Z,59.06865,23.096916,17.633034,0.198906,0.002494
2022-05-30T00:00:00Z,56.737456,21.289562,21.633409,0.338602,0.000971
2022-06-06T00:00:00Z,60.030386,21.523029,18.260386,0.185407,0.000792
2022-06-13T00:00:00Z,58.773187,21.150804,19.831434,0.241709,0.002866
2022-06-20T00:00:00Z,56.233819,25.176568,18.399986,0.188301,0.001325
2022-06-27T00:00:00Z,56.913712,24.619126,18.197251,0.269184,0.000727
2022-07-04T00:00:00Z,56.068894,24.445466,19.308992,0.174019,0.002628
2022-07-11T00:00:00Z,56.012022,25.757144,18.079388,0.148198,0.003249
2022-07-18T00:00:00Z,57.116418,24.739501,17.952246,0.177131,0.014705
2022-07-25T00:00:00Z,59.159604,23.996929,16.663766,0.178478,0.001223
2022-08-01T00:00:00Z,56.223272,25.669679,17.92571,0.178324,0.003014
2022-08-08T00:00:00Z,57.123746,25.281441,17.446047,0.147662,0.001104
2022-08-15T00:00:00Z,56.288519,27.412934,16.158618,0.137388,0.002541
2022-08-22T00:00:00Z,58.888171,24.226107,16.77933,0.105772,0.000619
2022-08-29T00:00:00Z,59.529266,25.242597,15.057225,0.168877,0.002035
2022-09-05T00:00:00Z,56.34008,26.403898,17.10614,0.148483,0.001399
2022-09-12T00:00:00Z,54.075076,29.139969,16.631524,0.151297,0.002133
2022-09-19T00:00:00Z,56.785989,25.981838,16.881891,0.348061,0.002222
2022-09-26T00:00:00Z,60.736858,23.362718,15.792292,0.106661,0.001471
2022-10-03T00:00:00Z,61.3877,24.553504,13.920553,0.136954,0.001289
2022-10-10T00:00:00Z,61.565087,22.864381,15.471441,0.095943,0.003148
2022-10-17T00:00:00Z,63.506375,22.35576,14.0759,0.058522,0.003442
2022-10-24T00:00:00Z,61.855499,24.437571,13.639232,0.064936,0.002763
2022-10-31T00:00:00Z,60.900589,24.608704,14.401657,0.086294,0.002756
2022-11-07T00:00:00Z,60.910292,24.777048,14.180595,0.129442,0.002624
2022-11-14T00:00:00Z,63.072356,23.134825,13.649594,0.13657,0.006655
2022-11-21T00:00:00Z,47.965801,39.496884,12.472617,0.062499,0.002198
2022-11-28T00:00:00Z,49.995923,37.117551,12.832992,0.048127,0.005407
2022-12-05T00:00:00Z,52.835203,33.802302,13.308331,0.04879,0.005374
2022-12-12T00:00:00Z,57.202198,27.860722,14.851912,0.079558,0.00561
2022-12-19T00:00:00Z,60.368516,23.361349,16.163314,0.105098,0.001723
2022-12-26T00:00:00Z,61.339166,24.434987,14.06621,0.156327,0.003309
