Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,53.176596,32.632992,13.940005,0.231742,0.018665
2022-01-03T00:00:00Z,53.648857,31.038694,15.065131,0.239966,0.007351
2022-01-10T00:00:00Z,53.807888,31.252162,14.674123,0.261966,0.003861
2022-01-17T00:00:00Z,53.887241,30.954033,14.897615,0.257304,0.003806
2022-01-24T00:00:00Z,53.831691,30.686285,15.231674,0.246314,0.004036
2022-01-31T00:00:00Z,53.854015,30.420138,15.490141,0.231111,0.004595
2022-02-07T00:00:00Z,53.93157,29.916926,15.910422,0.23721,0.003871
2022-02-14T00:00:00Z,53.616847,30.50573,15.627758,0.24668,0.002985
2022-02-21T00:00:00Z,53.889746,30.017355,15.852764,0.235458,0.004677
2022-02-28T00:00:00Z,54.668904,29.641227,15.462045,0.220326,0.007499
2022-03-07T00:00:00Z,53.492804,30.847443,15.409124,0.240485,0.010144
2022-03-14T00:00:00Z,55.267544,28.893596,15.577592,0.254168,0.007101
2022-03-21T00:00:00Z,58.086587,27.882385,13.808064,0.220373,0.002591
2022-03-28T00:00:00Z,56.89747,28.957084,13.912768,0.230137,0.002541
2022-04-04T00:00:00Z,54.641585,30.155204,14.951906,0.247799,0.003506
2022-04-11T00:00:00Z,55.077328,29.50617,15.159814,0.254011,0.002676
2022-04-18T00:00:00Z,57.405128,28.274889,14.084737,0.232061,0.003185
2022-04-25T00:00:00Z,57.052793,29.199937,13.527515,0.215317,0.004438
2022-05-02T00:00:00Z,58.507584,27.593573,13.688785,0.206134,0.003924
2022-05-09T00:00:00Z,59.188614,27.529084,13.067524,0.211765,0.003013
2022-05-16T00:00:00Z,58.489029,28.007979,13.271454,0.229762,0.001776
2022-05-23T00:00:00Z,58.079921,28.345521,13.354881,0.216746,0.002931
2022-05-30T00:00:00Z,57.591444,27.675638,14.523154,0.208057,0.001707
2022-06-06T00:00:00Z,57.252884,27.268322,15.285521,0.190278,0.002995
2022-06-13T00:00:00Z,57.379464,27.030974,15.382255,0.205322,0.001985
2022-06-20T00:00:00Z,55.338342,27.029565,17.456095,0.174729,0.001268
2022-06-27T00:00:00Z,55.071433,26.378218,18.387682,0.161613,0.001054
2022-07-04T00:00:00Z,54.297255,25.793087,19.743298,0.16523,0.001131
2022-07-11T00:00:00Z,50.657527,25.251788,23.952881,0.13494,0.002864
2022-07-18T00:00:00Z,53.317427,26.494382,20.029122,0.158058,0.00101
2022-07-25T00:00:00Z,54.2015,26.496508,19.117789,0.183012,0.001191
2022-08-01T00:00:00Z,53.897087,26.154024,19.788045,0.159874,0.00097
2022-08-08T00:00:00Z,54.050507,25.913464,19.873637,0.160582,0.001809
2022-08-15T00:00:00Z,55.381427,24.770799,19.698182,0.147406,0.002186
2022-08-22T00:00:00Z,56.546165,24.76143,18.547226,0.144085,0.001093
2022-08-29T00:00:00Z,57.147059,24.152214,18.565048,0.134485,0.001193
2022-09-05T00:00:00Z,57.082083,24.795673,18.008747,0.112419,0.001078
2022-09-12T00:00:00Z,55.517916,26.700893,17.665251,0.115086,0.000853
2022-09-19T00:00:00Z,56.222766,25.84186,17.815611,0.118979,0.000783
2022-09-26T00:00:00Z,55.002892,26.051947,18.822667,0.121602,0.000892
2022-10-03T00:00:00Z,54.287054,25.419003,20.170191,0.121795,0.001958
2022-10-10T00:00:00Z,55.076125,23.874522,20.952702,0.095281,0.00137
2022-10-17T00:00:00Z,55.178915,22.948486,21.781732,0.089555,0.001312
2022-10-24T00:00:00Z,55.613178,23.182062,21.098769,0.105158,0.000833
2022-10-31T00:00:00Z,56.383264,21.997068,21.537131,0.079013,0.003523
2022-11-07T00:00:00Z,55.701841,22.498179,21.729426,0.069358,0.001195
2022-11-14T00:00:00Z,55.65434,21.840473,22.436476,0.067395,0.001315
2022-11-21T00:00:00Z,55.744414,21.569634,22.599509,0.085549,0.000894
2022-11-28T00:00:00Z,55.233095,21.816894,22.861933,0.08725,0.000828
2022-12-05T00:00:00Z,56.299269,20.913835,22.708464,0.077315,0.001116
2022-12-12T00:00:00Z,55.417962,20.42008,24.087346,0.073505,0.001108
2022-12-19T00:00:00Z,54.740592,20.186438,24.997848,0.074184,0.000938
2022-12-26T00:00:00Z,54.044157,19.741015,26.144226,0.069107,0.001495
