Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,54.815182,22.896803,21.927258,0.344825,0.015932
2022-01-03T00:00:00Z,55.879753,22.161551,21.656133,0.291191,0.011373
2022-01-10T00:00:00Z,58.085708,21.246674,20.370019,0.291638,0.005961
2022-01-17T00:00:00Z,59.328502,20.788502,19.557149,0.320671,0.005176
2022-01-24T00:00:00Z,59.169604,20.627603,19.961705,0.236501,0.004587
2022-01-31T00:00:00Z,58.908173,20.660064,20.09804,0.278165,0.055558
2022-02-07T00:00:00Z,57.942533,20.731007,20.979913,0.319528,0.02702
2022-02-14T00:00:00Z,56.901303,21.215294,21.60326,0.265637,0.014505
2022-02-21T00:00:00Z,58.1151,20.742576,20.841197,0.293908,0.007219
2022-02-28T00:00:00Z,56.797529,21.268934,21.6344,0.293759,0.005378
2022-03-07T00:00:00Z,55.951138,21.966563,21.732629,0.345314,0.004356
2022-03-14T00:00:00Z,55.776923,21.017653,22.921509,0.274032,0.009882
2022-03-21T00:00:00Z,55.544103,20.018929,24.124174,0.307379,0.005414
2022-03-28T00:00:00Z,55.959813,20.871957,22.900796,0.264123,0.003311
2022-04-04T00:00:00Z,53.398791,19.783927,26.517104,0.292601,0.007577
2022-04-11T00:00:00Z,55.664039,20.134804,23.941915,0.25051,0.008733
2022-04-18T00:00:00Z,54.790793,20.901337,24.013614,0.289928,0.004328
2022-04-25T00:00:00Z,54.675058,21.101177,23.785818,0.431578,0.006369
2022-05-02T00:00:00Z,54.454234,21.766313,23.489299,0.253606,0.036549
2022-05-09T00:00:00Z,54.654524,21.778717,23.295993,0.266688,0.004079
2022-05-16T00:00:00Z,54.76104,21.892622,23.083966,0.209676,0.052696
2022-05-23T00:00:00Z,55.008078,21.258402,23.429043,0.224746,0.07973
2022-05-30T00:00:00Z,56.096945,23.777098,19.811152,0.297225,0.01758
2022-06-06T00:00:00Z,56.134657,23.005905,20.570397,0.284102,0.004939
2022-06-13T00:00:00Z,55.096704,23.899351,20.82097,0.178319,0.004657
2022-06-20T00:00:00Z,55.613747,21.299779,22.894327,0.187267,0.00488
2022-06-27T00:00:00Z,55.562936,22.592251,21.670943,0.171441,0.002429
2022-07-04T00:00:00Z,55.283237,23.40443,21.146815,0.160664,0.004854
2022-07-11T00:00:00Z,55.970396,21.049759,22.729514,0.242922,0.007409
2022-07-18T00:00:00Z,55.587936,22.606123,21.611091,0.193043,0.001807
2022-07-25T00:00:00Z,54.804561,21.594514,23.409007,0.188359,0.003559
2022-08-01T00:00:00Z,54.504709,22.247633,23.055711,0.189344,0.002604
2022-08-08T00:00:00Z,53.763381,21.269675,24.688083,0.272808,0.006054
2022-08-15T00:00:00Z,53.773704,20.853586,25.154069,0.214572,0.004069
2022-08-22T00:00:00Z,56.127619,19.843681,23.815991,0.204506,0.008202
2022-08-29T00:00:00Z,56.371933,20.233081,23.209017,0.177165,0.008804
2022-09-05T00:00:00Z,56.328775,21.238162,22.218828,0.210808,0.003427
2022-09-12T00:00:00Z,56.764375,19.609825,23.451034,0.168521,0.006245
2022-09-19T00:00:00Z,57.631369,20.393674,21.801199,0.164896,0.008862
2022-09-26T00:00:00Z,58.067172,19.553089,22.220134,0.152755,0.00685
2022-10-03T00:00:00Z,56.750655,20.072647,23.043392,0.125969,0.007337
2022-10-10T00:00:00Z,57.372647,19.081673,23.404033,0.126211,0.015437
2022-10-17T00:00:00Z,57.259734,18.715639,23.888658,0.122885,0.013085
2022-10-24T00:00:00Z,58.81223,18.720966,22.327805,0.121201,0.017798
2022-10-31T00:00:00Z,59.989951,19.017412,20.867849,0.105408,0.01938
2022-11-07T00:00:00Z,58.853234,19.021335,21.979703,0.124222,0.021506
2022-11-14T00:00:00Z,58.887281,19.962973,21.036029,0.092708,0.021008
2022-11-21T00:00:00Z,54.196046,16.497877,29.187361,0.104748,0.013969
2022-11-28T00:00:00Z,55.375443,18.304746,26.184024,0.1197,0.016086
2022-12-05T00:00:00Z,56.628768,17.796586,25.439322,0.118099,0.017225
2022-12-12T00:00:00Z,58.12104,19.103208,22.643629,0.114056,0.018067
2022-12-19T00:00:00Z,58.629602,19.915642,21.313285,0.124493,0.016978
2022-12-26T00:00:00Z,57.145305,17.403745,25.300128,0.139004,0.011818
