Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,60.912109,20.320408,18.343755,0.357673,0.066054
2022-01-03T00:00:00Z,60.773597,20.177721,18.324115,0.648615,0.075953
2022-01-10T00:00:00Z,65.554442,18.805889,15.196721,0.359686,0.083262
2022-01-17T00:00:00Z,68.982378,16.84786,13.745996,0.361382,0.062385
2022-01-24T00:00:00Z,68.927452,17.060132,13.29047,0.526151,0.195796
2022-01-31T00:00:00Z,65.620935,17.14263,15.615963,1.011973,0.6085
2022-02-07T00:00:00Z,67.53896,18.308811,13.507882,0.453719,0.190629
2022-02-14T00:00:00Z,67.509598,19.194165,12.94617,0.272398,0.077669
2022-02-21T00:00:00Z,67.327804,19.486929,12.857658,0.266138,0.061471
2022-02-28T00:00:00Z,67.606573,19.158108,12.956803,0.221028,0.057488
2022-03-07T00:00:00Z,66.468273,19.713584,13.541707,0.212129,0.064307
2022-03-14T00:00:00Z,60.651828,22.471581,16.521316,0.287282,0.067994
2022-03-21T00:00:00Z,57.308004,24.42612,17.894716,0.292656,0.078504
2022-03-28T00:00:00Z,55.170465,23.329513,20.964214,0.417481,0.118329
2022-04-04T00:00:00Z,56.116488,23.690065,19.77934,0.340189,0.073918
2022-04-11T00:00:00Z,57.679477,23.682136,18.356705,0.234616,0.047065
2022-04-18T00:00:00Z,56.168421,22.99788,20.507504,0.288963,0.037232
2022-04-25T00:00:00Z,55.588249,22.226589,21.903302,0.265393,0.016467
2022-05-02T00:00:00Z,54.715005,22.805416,22.213888,0.238981,0.02671
2022-05-09T00:00:00Z,51.172425,23.212354,25.248352,0.344586,0.022284
2022-05-16T00:00:00Z,52.506936,23.491044,23.46203,0.47433,0.06566
2022-05-23T00:00:00Z,54.668359,24.496816,20.086441,0.679349,0.069034
2022-05-30T00:00:00Z,54.196923,25.739925,19.80842,0.230833,0.023899
2022-06-06T00:00:00Z,55.765639,26.356573,17.595991,0.259653,0.022144
2022-06-13T00:00:00Z,56.103944,26.368671,17.287143,0.191254,0.048989
2022-06-20T00:00:00Z,55.453807,28.056648,16.203617,0.241769,0.044158
2022-06-27T00:00:00Z,55.248414,29.859305,14.602447,0.225251,0.064583
2022-07-04T00:00:00Z,54.192604,29.710987,15.932647,0.155108,0.008654
2022-07-11T00:00:00Z,55.447869,29.765767,14.647143,0.138148,0.001073
2022-07-18T00:00:00Z,55.891413,29.637469,14.352786,0.113561,0.004771
2022-07-25T00:00:00Z,55.014004,31.196618,13.693023,0.093989,0.002367
2022-08-01T00:00:00Z,54.490232,33.986513,11.405784,0.114989,0.002482
2022-08-08T00:00:00Z,54.511547,30.522499,14.874383,0.086038,0.005534
2022-08-15T00:00:00Z,56.417434,32.335394,11.032434,0.155375,0.059363
2022-08-22T00:00:00Z,58.205337,30.691628,10.878923,0.188097,0.036015
2022-08-29T00:00:00Z,56.775767,31.315612,11.758414,0.120637,0.029571
2022-09-05T00:00:00Z,57.583595,31.527532,10.671526,0.143107,0.074241
2022-09-12T00:00:00Z,59.564113,31.426675,8.816337,0.146624,0.046252
2022-09-19T00:00:00Z,60.840945,29.322752,9.646024,0.144158,0.04612
2022-09-26T00:00:00Z,60.857405,29.827911,9.119424,0.127608,0.067653
2022-10-03T00:00:00Z,59.523188,30.843207,9.482379,0.098058,0.053168
2022-10-10T00:00:00Z,58.383268,31.919598,9.524564,0.098439,0.074131
2022-10-17T00:00:00Z,61.516622,28.414366,9.8941,0.142033,0.032879
2022-10-24T00:00:00Z,59.910971,30.630242,9.33131,0.091507,0.035969
2022-10-31T00:00:00Z,62.191075,28.416826,9.191008,0.146475,0.054615
2022-11-07T00:00:00Z,60.045232,30.440546,9.367264,0.127037,0.01992
2022-11-14T00:00:00Z,58.501133,31.243433,10.025718,0.136861,0.092855
2022-11-21T00:00:00Z,59.841475,32.19544,7.764401,0.126848,0.071836
2022-11-28T00:00:00Z,58.560566,33.114281,8.147172,0.131748,0.046233
2022-12-05T00:00:00Z,60.429665,30.85815,8.52955,0.133305,0.049329
2022-12-12T00:00:00Z,59.22984,32.114405,8.367887,0.227081,0.060787
2022-12-19T00:00:00Z,58.423126,31.649864,9.835283,0.079876,0.01185
2022-12-26T00:00:00Z,58.918266,32.084833,8.905734,0.06854,0.022627
