Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,62.860728,19.680946,17.243234,0.215092,0.0
2022-01-03T00:00:00Z,59.032534,20.569349,19.777397,0.620719,0.0
2022-01-10T00:00:00Z,62.651677,19.860814,17.201999,0.28551,0.0
2022-01-17T00:00:00Z,60.490574,19.197243,20.170282,0.141901,0.0
2022-01-24T00:00:00Z,61.303139,16.527612,21.056814,1.112435,0.0
2022-01-31T00:00:00Z,54.554595,19.726523,25.296602,0.402172,0.020109
2022-02-07T00:00:00Z,60.848029,17.198336,20.249653,1.684169,0.019814
2022-02-14T00:00:00Z,63.286109,16.482377,19.281272,0.950242,0.0
2022-02-21T00:00:00Z,59.847984,23.826834,15.945142,0.313946,0.066094
2022-02-28T00:00:00Z,57.404143,23.732922,17.672984,1.167915,0.022036
2022-03-07T00:00:00Z,69.27244,14.937918,15.497212,0.290832,0.001598
2022-03-14T00:00:00Z,48.906346,37.723352,13.185459,0.169439,0.015404
2022-03-21T00:00:00Z,66.207734,17.675643,15.367483,0.708645,0.040494
2022-03-28T00:00:00Z,65.651598,18.971061,14.355967,1.021373,0.0
2022-04-04T00:00:00Z,55.252294,28.669725,15.366972,0.711009,0.0
2022-04-11T00:00:00Z,70.892105,18.703059,9.946877,0.421323,0.036637
2022-04-18T00:00:00Z,47.088932,26.935381,25.511836,0.463852,0.0
2022-04-25T00:00:00Z,56.358582,28.544128,14.298124,0.7123,0.086866
2022-05-02T00:00:00Z,64.838296,18.407181,15.685995,0.883317,0.185212
2022-05-09T00:00:00Z,53.673142,18.329195,26.916898,1.03695,0.043815
2022-05-16T00:00:00Z,65.780172,17.690624,16.411379,0.117825,0.0
2022-05-23T00:00:00Z,63.526429,17.612639,18.568364,0.21455,0.078018
2022-05-30T00:00:00Z,70.665365,12.19138,17.017715,0.097643,0.027898
2022-06-06T00:00:00Z,64.942785,14.251746,20.731164,0.044583,0.029722
2022-06-13T00:00:00Z,62.216359,15.883905,21.723835,0.175901,0.0
2022-06-20T00:00:00Z,59.563684,17.959454,22.366681,0.110181,0.0
2022-06-27T00:00:00Z,66.184041,14.57529,19.079794,0.144788,0.016088
2022-07-04T00:00:00Z,57.336621,15.515824,27.106453,0.041102,0.0
2022-07-11T00:00:00Z,52.97992,10.795181,34.859438,1.285141,0.080321
2022-07-18T00:00:00Z,54.98836,14.682408,30.212837,0.116395,0.0
2022-07-25T00:00:00Z,64.688692,15.450388,19.66204,0.158292,0.040588
2022-08-01T00:00:00Z,54.277899,12.461707,33.140044,0.12035,0.0
2022-08-08T00:00:00Z,76.738319,6.277122,16.843274,0.131194,0.010092
2022-08-15T00:00:00Z,63.049597,14.277395,22.605066,0.058235,0.009706
2022-08-22T00:00:00Z,88.194664,3.798872,7.981117,0.025347,0.0
2022-08-29T00:00:00Z,67.882941,10.900167,21.124282,0.074088,0.018522
2022-09-05T00:00:00Z,64.547161,17.480056,17.890662,0.082121,0.0
2022-09-12T00:00:00Z,60.483783,19.904545,19.589977,0.021694,0.0
2022-09-19T00:00:00Z,65.726967,11.252399,22.912668,0.107965,0.0
2022-09-26T00:00:00Z,64.444138,16.600083,18.845571,0.096432,0.013776
2022-10-03T00:00:00Z,38.623519,50.04258,10.900364,0.116126,0.317411
2022-10-10T00:00:00Z,62.113547,20.359753,17.448004,0.078696,0.0
2022-10-17T00:00:00Z,71.557522,15.876106,12.185841,0.371681,0.00885
2022-10-24T00:00:00Z,69.450725,17.010241,13.432637,0.053199,0.053199
2022-10-31T00:00:00Z,67.599749,14.518488,17.53708,0.334239,0.010445
2022-11-07T00:00:00Z,70.30096,16.017356,13.229321,0.415436,0.036928
2022-11-14T00:00:00Z,74.353572,10.132159,14.95882,0.555449,0.0
2022-11-21T00:00:00Z,65.417216,18.958373,15.596157,0.028254,0.0
2022-11-28T00:00:00Z,66.609294,16.968715,16.118255,0.273362,0.030374
2022-12-05T00:00:00Z,68.148599,14.667073,16.849371,0.284206,0.050751
2022-12-12T00:00:00Z,59.157644,18.673151,22.104973,0.064232,0.0
2022-12-19T00:00:00Z,64.374423,21.009956,14.225598,0.359232,0.030791
2022-12-26T00:00:00Z,66.436529,19.433548,13.510121,0.619802,0.0
