Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,57.794771,21.188949,20.103601,0.906512,0.006167
2022-01-03T00:00:00Z,60.247137,22.57384,16.907776,0.271248,0.0
2022-01-10T00:00:00Z,57.147097,22.618459,19.947571,0.286873,0.0
2022-01-17T00:00:00Z,56.369461,23.849439,19.300587,0.480513,0.0
2022-01-24T00:00:00Z,56.744214,21.586244,20.896055,0.773487,0.0
2022-01-31T00:00:00Z,59.865142,22.978599,16.822046,0.334213,0.0
2022-02-07T00:00:00Z,58.99539,25.072371,15.45513,0.477109,0.0
2022-02-14T00:00:00Z,62.641852,20.436778,16.487618,0.433752,0.0
2022-02-21T00:00:00Z,60.712502,20.731369,18.400755,0.155374,0.0
2022-02-28T00:00:00Z,59.878174,18.424883,21.46515,0.231793,0.0
2022-03-07T00:00:00Z,62.79417,20.552343,16.458751,0.194736,0.0
2022-03-14T00:00:00Z,56.181731,29.312207,14.121954,0.384108,0.0
2022-03-21T00:00:00Z,66.013476,18.422235,15.524986,0.039304,0.0
2022-03-28T00:00:00Z,69.427496,14.935739,15.286252,0.344022,0.006491
2022-04-04T00:00:00Z,51.383107,22.888334,25.55278,0.175779,0.0
2022-04-11T00:00:00Z,57.393404,19.059767,23.355503,0.186771,0.004555
2022-04-18T00:00:00Z,55.376606,26.365165,17.992517,0.265712,0.0
2022-04-25T00:00:00Z,67.024362,16.554524,16.2529,0.168213,0.0
2022-05-02T00:00:00Z,51.67853,16.317858,31.610539,0.393073,0.0
2022-05-09T00:00:00Z,56.63103,27.859192,15.222947,0.286832,0.0
2022-05-16T00:00:00Z,52.604139,24.160172,23.149691,0.085998,0.0
2022-05-23T00:00:00Z,63.760748,15.899627,20.004326,0.32989,0.005408
2022-05-30T00:00:00Z,64.137346,16.394659,19.367317,0.100678,0.0
2022-06-06T00:00:00Z,59.210095,25.073746,14.902218,0.813941,0.0
2022-06-13T00:00:00Z,63.356349,18.335311,17.973891,0.334448,0.0
2022-06-20T00:00:00Z,61.036916,23.322476,15.608035,0.027144,0.005429
2022-06-27T00:00:00Z,54.771667,20.618314,24.501626,0.108393,0.0
2022-07-04T00:00:00Z,56.390196,24.083598,19.23624,0.289966,0.0
2022-07-11T00:00:00Z,59.891227,24.550168,15.375623,0.182983,0.0
2022-07-18T00:00:00Z,58.376051,23.656961,17.46463,0.502358,0.0
2022-07-25T00:00:00Z,59.860578,22.962061,17.042604,0.124391,0.010366
2022-08-01T00:00:00Z,62.861492,24.242424,12.739265,0.152207,0.004612
2022-08-08T00:00:00Z,50.614745,28.423939,20.785675,0.167074,0.008568
2022-08-15T00:00:00Z,59.65893,20.955446,19.199277,0.186346,0.0
2022-08-22T00:00:00Z,66.44915,17.002186,16.525825,0.022839,0.0
2022-08-29T00:00:00Z,60.127752,27.968825,11.642295,0.261128,0.0
2022-09-05T00:00:00Z,55.191036,32.604855,12.067834,0.136274,0.0
2022-09-12T00:00:00Z,59.437616,25.425156,14.9464,0.190829,0.0
2022-09-19T00:00:00Z,54.943274,31.70077,13.285049,0.070908,0.0
2022-09-26T00:00:00Z,59.206892,24.444536,16.299105,0.049466,0.0
2022-10-03T00:00:00Z,58.224271,17.848602,23.892343,0.034784,0.0
2022-10-10T00:00:00Z,76.779014,13.57001,9.572154,0.078822,0.0
2022-10-17T00:00:00Z,63.154706,17.564855,19.246355,0.034084,0.0
2022-10-24T00:00:00Z,67.158378,17.613685,15.205242,0.022694,0.0
2022-10-31T00:00:00Z,72.220641,16.819746,10.923391,0.033634,0.002587
2022-11-07T00:00:00Z,68.646383,22.203519,8.940481,0.196913,0.012704
2022-11-14T00:00:00Z,71.212212,17.091531,11.681262,0.008997,0.005998
2022-11-21T00:00:00Z,70.204071,18.676141,11.10417,0.007809,0.007809
2022-11-28T00:00:00Z,68.943369,18.178091,12.717284,0.155789,0.005466
2022-12-05T00:00:00Z,65.279245,19.298627,15.403491,0.009319,0.009319
2022-12-12T00:00:00Z,77.914534,14.764909,7.308654,0.009523,0.002381
2022-12-19T00:00:00Z,71.541376,17.670987,10.763709,0.007976,0.015952
2022-12-26T00:00:00Z,66.884016,20.523095,12.144835,0.433484,0.014571
