Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,61.70189,20.290429,17.418868,0.58283,0.005983
2022-01-03T00:00:00Z,57.683173,19.163498,22.595917,0.552866,0.004546
2022-01-10T00:00:00Z,62.202339,20.599326,16.625623,0.568807,0.003905
2022-01-17T00:00:00Z,60.731178,20.237368,18.51897,0.508571,0.003912
2022-01-24T00:00:00Z,62.77039,20.935603,15.75896,0.531513,0.003533
2022-01-31T00:00:00Z,63.74691,21.352087,14.376489,0.516932,0.007581
2022-02-07T00:00:00Z,62.212339,21.983511,15.47287,0.327557,0.003723
2022-02-14T00:00:00Z,62.874915,21.915131,14.946307,0.261292,0.002354
2022-02-21T00:00:00Z,62.008677,22.845664,14.878508,0.265764,0.001387
2022-02-28T00:00:00Z,63.745718,21.828663,14.173407,0.250503,0.00171
2022-03-07T00:00:00Z,64.18087,21.845552,13.722666,0.249533,0.00138
2022-03-14T00:00:00Z,63.690808,21.844469,14.232949,0.230485,0.00129
2022-03-21T00:00:00Z,64.657683,20.642908,14.435314,0.262503,0.001592
2022-03-28T00:00:00Z,64.045747,20.374956,15.326279,0.252246,0.000771
2022-04-04T00:00:00Z,61.979191,21.864733,15.920363,0.233953,0.001759
2022-04-11T00:00:00Z,61.987044,21.95653,15.823049,0.230427,0.002949
2022-04-18T00:00:00Z,62.836893,21.54226,15.356942,0.261827,0.002078
2022-04-25T00:00:00Z,63.018962,21.278152,15.437477,0.26293,0.002479
2022-05-02T00:00:00Z,63.790774,21.005516,14.946766,0.255096,0.001848
2022-05-09T00:00:00Z,65.122687,19.999185,14.648731,0.227518,0.001879
2022-05-16T00:00:00Z,63.670395,21.081638,15.006126,0.239936,0.001905
2022-05-23T00:00:00Z,64.116572,21.011717,14.651958,0.212693,0.007059
2022-05-30T00:00:00Z,64.6652,21.927977,13.17487,0.229823,0.00213
2022-06-06T00:00:00Z,65.996845,21.394179,12.39263,0.211792,0.004554
2022-06-13T00:00:00Z,63.956588,21.987834,13.827007,0.224042,0.004529
2022-06-20T00:00:00Z,62.447485,23.139325,14.191291,0.218648,0.003251
2022-06-27T00:00:00Z,61.804374,24.139346,13.837959,0.216332,0.00199
2022-07-04T00:00:00Z,61.878886,24.346318,13.570655,0.202662,0.001478
2022-07-11T00:00:00Z,62.165971,24.847038,12.788432,0.196607,0.001953
2022-07-18T00:00:00Z,62.133972,25.026165,12.636357,0.201932,0.001574
2022-07-25T00:00:00Z,62.369163,24.948625,12.495121,0.185577,0.001514
2022-08-01T00:00:00Z,62.401079,25.788024,11.644119,0.164809,0.00197
2022-08-08T00:00:00Z,62.805171,25.755095,11.251523,0.186271,0.00194
2022-08-15T00:00:00Z,63.228141,25.334577,11.264155,0.17037,0.002756
2022-08-22T00:00:00Z,62.634154,25.348103,11.81709,0.195104,0.005549
2022-08-29T00:00:00Z,62.61981,24.950955,12.222505,0.200425,0.006306
2022-09-05T00:00:00Z,62.703565,25.419872,11.686363,0.182665,0.007536
2022-09-12T00:00:00Z,63.180559,25.910641,10.663309,0.237241,0.008249
2022-09-19T00:00:00Z,63.324871,25.243793,11.18777,0.236654,0.006912
2022-09-26T00:00:00Z,63.69863,24.873773,11.228678,0.195199,0.00372
2022-10-03T00:00:00Z,63.555188,25.400211,10.855372,0.185303,0.003926
2022-10-10T00:00:00Z,64.189666,24.825874,10.830774,0.150125,0.003561
2022-10-17T00:00:00Z,64.859334,24.282471,10.752511,0.102938,0.002746
2022-10-24T00:00:00Z,64.537225,24.203161,11.156301,0.101029,0.002284
2022-10-31T00:00:00Z,64.091382,24.591925,11.228919,0.082781,0.004993
2022-11-07T00:00:00Z,63.001665,25.648608,11.273732,0.073281,0.002713
2022-11-14T00:00:00Z,62.918959,26.258961,10.749837,0.070302,0.001941
2022-11-21T00:00:00Z,63.021439,26.548009,10.336544,0.090405,0.003603
2022-11-28T00:00:00Z,63.562332,26.351493,9.992755,0.090968,0.002452
2022-12-05T00:00:00Z,64.553469,25.806739,9.553064,0.083778,0.00295
2022-12-12T00:00:00Z,62.833133,27.524291,9.566152,0.073706,0.002718
2022-12-19T00:00:00Z,61.984801,28.43235,9.503686,0.076379,0.002785
2022-12-26T00:00:00Z,63.265041,27.518593,9.138125,0.074524,0.003717
