Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,63.114224,23.691027,13.047536,0.144721,0.002492
2022-01-03T00:00:00Z,64.44096,22.27436,13.104825,0.178312,0.001544
2022-01-10T00:00:00Z,62.276268,18.571874,19.012384,0.138935,0.000539
2022-01-17T00:00:00Z,61.14213,20.75046,17.930969,0.17485,0.001591
2022-01-24T00:00:00Z,58.91204,17.446901,23.521134,0.119349,0.000576
2022-01-31T00:00:00Z,64.695024,18.540571,16.637398,0.126385,0.000622
2022-02-07T00:00:00Z,65.491257,19.869483,14.479946,0.158156,0.001157
2022-02-14T00:00:00Z,60.378472,21.257443,18.200527,0.162087,0.00147
2022-02-21T00:00:00Z,58.631267,22.161389,19.048586,0.157003,0.001756
2022-02-28T00:00:00Z,57.945921,20.006829,21.903581,0.142921,0.000747
2022-03-07T00:00:00Z,59.063703,19.578113,21.177462,0.179333,0.001388
2022-03-14T00:00:00Z,61.941621,18.550814,19.365158,0.141643,0.000763
2022-03-21T00:00:00Z,64.079042,17.307813,18.501084,0.111652,0.000409
2022-03-28T00:00:00Z,61.181527,23.02592,15.606719,0.184912,0.000922
2022-04-04T00:00:00Z,61.086087,22.240487,16.461527,0.211812,8.7e-05
2022-04-11T00:00:00Z,62.523699,21.331594,15.945102,0.199354,0.00025
2022-04-18T00:00:00Z,62.499851,22.14174,15.185845,0.171611,0.000953
2022-04-25T00:00:00Z,62.464988,23.154445,14.158732,0.221606,0.00023
2022-05-02T00:00:00Z,63.948428,22.574411,13.190802,0.281305,0.005053
2022-05-09T00:00:00Z,64.398751,22.168281,13.073519,0.358402,0.001047
2022-05-16T00:00:00Z,62.210866,22.541998,14.852873,0.393336,0.000927
2022-05-23T00:00:00Z,61.550745,24.805741,13.243235,0.399896,0.000383
2022-05-30T00:00:00Z,62.439156,22.762012,14.433884,0.364642,0.000305
2022-06-06T00:00:00Z,62.355644,22.26008,15.042067,0.341581,0.000629
2022-06-13T00:00:00Z,61.341122,21.365276,16.879636,0.413063,0.000904
2022-06-20T00:00:00Z,61.329421,20.564898,17.825506,0.2796,0.000575
2022-06-27T00:00:00Z,65.179984,18.317827,16.179064,0.322552,0.000573
2022-07-04T00:00:00Z,64.464099,19.103061,16.152865,0.279761,0.000215
2022-07-11T00:00:00Z,62.848056,19.50489,17.359302,0.286742,0.00101
2022-07-18T00:00:00Z,62.372276,20.181932,17.252944,0.191907,0.000941
2022-07-25T00:00:00Z,59.821198,20.478569,19.50556,0.193076,0.001597
2022-08-01T00:00:00Z,59.879892,19.890858,20.045748,0.18211,0.001392
2022-08-08T00:00:00Z,59.125019,19.315191,21.363372,0.19508,0.001337
2022-08-15T00:00:00Z,62.589401,18.048909,19.064706,0.29568,0.001303
2022-08-22T00:00:00Z,61.230031,19.892006,18.696937,0.179471,0.001555
2022-08-29T00:00:00Z,63.579228,18.405947,17.8375,0.170949,0.006375
2022-09-05T00:00:00Z,60.941367,18.759214,19.932061,0.366001,0.001357
2022-09-12T00:00:00Z,59.034586,20.301224,20.520647,0.141916,0.001628
2022-09-19T00:00:00Z,57.521338,19.542296,22.797542,0.137621,0.001203
2022-09-26T00:00:00Z,62.033149,17.602144,20.103743,0.259722,0.001241
2022-10-03T00:00:00Z,64.737433,17.071811,18.020365,0.169526,0.000866
2022-10-10T00:00:00Z,71.067841,14.13231,14.694512,0.104013,0.001324
2022-10-17T00:00:00Z,66.951925,16.368138,16.615641,0.063676,0.000621
2022-10-24T00:00:00Z,63.501075,19.490366,16.895714,0.111251,0.001593
2022-10-31T00:00:00Z,63.135238,18.770354,17.965392,0.12749,0.001526
2022-11-07T00:00:00Z,64.966973,16.96721,17.952947,0.111576,0.001293
2022-11-14T00:00:00Z,64.89096,16.619348,18.398456,0.089969,0.001267
2022-11-21T00:00:00Z,63.752053,16.848685,19.25958,0.137843,0.001839
2022-11-28T00:00:00Z,64.873933,16.32863,18.603635,0.190874,0.002928
2022-12-05T00:00:00Z,62.952211,17.831502,19.022032,0.192151,0.002104
2022-12-12T00:00:00Z,63.556428,17.051552,19.138695,0.251425,0.0019
2022-12-19T00:00:00Z,63.14392,17.559478,18.938392,0.3551,0.00311
2022-12-26T00:00:00Z,63.258931,17.22371,19.343862,0.169461,0.004036
