Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,69.019486,16.353091,14.605853,0.021571,0.0
2022-01-03T00:00:00Z,67.910448,15.158285,16.807681,0.123586,0.0
2022-01-10T00:00:00Z,72.63267,13.165423,14.112769,0.084992,0.004146
2022-01-17T00:00:00Z,65.664406,16.031829,18.192886,0.110879,0.0
2022-01-24T00:00:00Z,69.983817,14.12303,15.659401,0.233752,0.0
2022-01-31T00:00:00Z,68.557832,15.787296,15.553486,0.101386,0.0
2022-02-07T00:00:00Z,68.2599,14.146537,17.433414,0.158243,0.001907
2022-02-14T00:00:00Z,70.005308,15.247903,14.62788,0.118909,0.0
2022-02-21T00:00:00Z,70.991805,15.279462,13.579907,0.148826,0.0
2022-02-28T00:00:00Z,70.065321,14.881235,14.881235,0.172209,0.0
2022-03-07T00:00:00Z,70.973394,14.062831,14.776421,0.187353,0.0
2022-03-14T00:00:00Z,68.105734,15.661253,16.150149,0.082864,0.0
2022-03-21T00:00:00Z,67.296033,16.221106,16.280771,0.20209,0.0
2022-03-28T00:00:00Z,69.293063,17.172708,13.374547,0.15512,0.004562
2022-04-04T00:00:00Z,72.761744,13.557376,13.557376,0.123505,0.0
2022-04-11T00:00:00Z,66.817499,15.55222,17.580956,0.049324,0.0
2022-04-18T00:00:00Z,69.227546,15.369466,15.291949,0.111039,0.0
2022-04-25T00:00:00Z,68.574205,16.392213,14.958576,0.075006,0.0
2022-05-02T00:00:00Z,76.321401,12.277228,11.290175,0.109673,0.001523
2022-05-09T00:00:00Z,70.969506,13.916483,15.044748,0.069263,0.0
2022-05-16T00:00:00Z,70.088496,12.756268,17.031711,0.123525,0.0
2022-05-23T00:00:00Z,70.5787,14.050539,15.282506,0.088255,0.0
2022-05-30T00:00:00Z,71.749188,14.207515,13.939116,0.104181,0.0
2022-06-06T00:00:00Z,76.156139,10.614525,13.140093,0.089243,0.0
2022-06-13T00:00:00Z,68.51478,12.973029,18.470777,0.041414,0.0
2022-06-20T00:00:00Z,64.826894,17.474122,17.635799,0.063184,0.0
2022-06-27T00:00:00Z,62.921625,17.215569,19.777534,0.075798,0.009475
2022-07-04T00:00:00Z,68.162616,13.540352,18.267771,0.029261,0.0
2022-07-11T00:00:00Z,71.598446,12.592986,15.773755,0.034813,0.0
2022-07-18T00:00:00Z,64.025141,18.195271,17.751322,0.028266,0.0
2022-07-25T00:00:00Z,71.057062,10.566356,18.373171,0.003411,0.0
2022-08-01T00:00:00Z,71.616473,12.264151,16.104862,0.014514,0.0
2022-08-08T00:00:00Z,79.37108,8.581866,12.010014,0.03704,0.0
2022-08-15T00:00:00Z,58.687468,11.724671,29.523747,0.059182,0.004932
2022-08-22T00:00:00Z,67.992242,12.100514,19.866768,0.040476,0.0
2022-08-29T00:00:00Z,69.658506,9.847628,20.464183,0.029683,0.0
2022-09-05T00:00:00Z,63.254201,17.165224,19.577393,0.003182,0.0
2022-09-12T00:00:00Z,65.861805,18.273591,15.754511,0.110093,0.0
2022-09-19T00:00:00Z,69.976203,10.634254,19.371364,0.018178,0.0
2022-09-26T00:00:00Z,72.479948,9.697749,17.802174,0.020129,0.0
2022-10-03T00:00:00Z,65.293014,10.175,24.492318,0.039669,0.0
2022-10-10T00:00:00Z,72.404229,10.03177,17.52534,0.038661,0.0
2022-10-17T00:00:00Z,67.351422,12.481988,20.085755,0.080835,0.0
2022-10-24T00:00:00Z,63.800003,15.035218,21.046647,0.115178,0.002953
2022-10-31T00:00:00Z,68.829935,9.994124,21.132184,0.036256,0.007501
2022-11-07T00:00:00Z,69.880517,10.703169,19.379613,0.036701,0.0
2022-11-14T00:00:00Z,62.684853,18.640997,18.648101,0.018944,0.007104
2022-11-21T00:00:00Z,65.895696,13.553255,20.534175,0.012053,0.004821
2022-11-28T00:00:00Z,61.528601,13.194417,25.239048,0.032702,0.005232
2022-12-05T00:00:00Z,62.005067,13.681041,24.268793,0.035814,0.009285
2022-12-12T00:00:00Z,66.88014,16.648144,16.452267,0.01667,0.002778
2022-12-19T00:00:00Z,66.885878,13.323119,19.766901,0.020659,0.003443
2022-12-26T00:00:00Z,64.768043,12.130182,23.068354,0.033421,0.0
