Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,63.245058,23.097856,13.466163,0.177846,0.013078
2022-01-03T00:00:00Z,60.977101,24.187882,14.658921,0.160272,0.015823
2022-01-10T00:00:00Z,66.025108,21.012897,12.760629,0.191809,0.009557
2022-01-17T00:00:00Z,69.83294,18.94904,11.037673,0.169543,0.010803
2022-01-24T00:00:00Z,67.334761,21.816211,10.67874,0.159856,0.010432
2022-01-31T00:00:00Z,67.496537,21.560711,10.771783,0.163803,0.007166
2022-02-07T00:00:00Z,67.251601,21.114541,11.47516,0.148973,0.009725
2022-02-14T00:00:00Z,65.855482,21.984036,11.979651,0.171338,0.009493
2022-02-21T00:00:00Z,66.142267,22.232371,11.45008,0.167668,0.007614
2022-02-28T00:00:00Z,66.064022,20.874639,12.902677,0.151453,0.007209
2022-03-07T00:00:00Z,67.256759,19.171344,13.396688,0.162263,0.012946
2022-03-14T00:00:00Z,66.198675,21.146487,12.510191,0.138623,0.006024
2022-03-21T00:00:00Z,67.053776,22.455625,10.349431,0.129879,0.011289
2022-03-28T00:00:00Z,73.349349,18.694659,7.857718,0.093553,0.004721
2022-04-04T00:00:00Z,62.224033,24.640825,12.975676,0.154463,0.005004
2022-04-11T00:00:00Z,61.700325,24.889556,13.220054,0.179526,0.01054
2022-04-18T00:00:00Z,60.728332,25.551938,13.567329,0.147249,0.005153
2022-04-25T00:00:00Z,61.978257,24.159514,13.712171,0.143032,0.007026
2022-05-02T00:00:00Z,59.245121,25.72327,14.877433,0.148026,0.00615
2022-05-09T00:00:00Z,59.642358,24.247136,15.952964,0.143664,0.013878
2022-05-16T00:00:00Z,60.820922,22.839658,16.206221,0.123708,0.009491
2022-05-23T00:00:00Z,60.750654,24.119945,14.970056,0.148938,0.010408
2022-05-30T00:00:00Z,61.277153,23.778185,14.614388,0.319673,0.010601
2022-06-06T00:00:00Z,62.904954,23.093346,13.863166,0.130657,0.007877
2022-06-13T00:00:00Z,63.846485,22.576227,13.420264,0.146029,0.010995
2022-06-20T00:00:00Z,63.693702,23.503702,12.663267,0.133987,0.005341
2022-06-27T00:00:00Z,61.536965,24.765021,13.572678,0.112683,0.012653
2022-07-04T00:00:00Z,60.772459,25.168768,13.913136,0.134412,0.011225
2022-07-11T00:00:00Z,63.690259,23.161888,13.01899,0.122833,0.006029
2022-07-18T00:00:00Z,61.037635,25.103969,13.730367,0.12003,0.008
2022-07-25T00:00:00Z,59.974159,26.811725,13.063798,0.141586,0.008732
2022-08-01T00:00:00Z,62.843139,25.117182,11.913812,0.117819,0.008047
2022-08-08T00:00:00Z,62.379038,25.034645,12.379628,0.198274,0.008416
2022-08-15T00:00:00Z,63.95985,23.329809,12.582702,0.117962,0.009676
2022-08-22T00:00:00Z,64.113102,22.250284,13.503794,0.122907,0.009914
2022-08-29T00:00:00Z,63.767451,23.711317,12.368075,0.14221,0.010947
2022-09-05T00:00:00Z,64.633348,23.633773,11.577505,0.122493,0.03288
2022-09-12T00:00:00Z,61.771138,26.470767,11.640195,0.109464,0.008435
2022-09-19T00:00:00Z,60.280322,27.609601,12.001113,0.100646,0.008318
2022-09-26T00:00:00Z,61.589377,26.086848,12.201043,0.115144,0.007588
2022-10-03T00:00:00Z,63.706205,24.83724,11.347212,0.102853,0.00649
2022-10-10T00:00:00Z,63.678338,25.41778,10.79821,0.081387,0.024285
2022-10-17T00:00:00Z,62.071951,25.962062,11.88121,0.05838,0.026397
2022-10-24T00:00:00Z,62.490811,25.59907,11.841391,0.05739,0.011338
2022-10-31T00:00:00Z,62.930022,24.452598,12.540046,0.069517,0.007817
2022-11-07T00:00:00Z,61.773499,25.006807,13.154447,0.057348,0.0079
2022-11-14T00:00:00Z,60.597417,25.509773,13.833789,0.051954,0.007067
2022-11-21T00:00:00Z,60.716272,25.550788,13.670406,0.052183,0.010351
2022-11-28T00:00:00Z,61.334394,26.519625,12.072416,0.064272,0.009293
2022-12-05T00:00:00Z,62.640643,26.101015,11.19174,0.0575,0.009103
2022-12-12T00:00:00Z,62.630756,26.279565,11.029951,0.050212,0.009516
2022-12-19T00:00:00Z,63.185968,25.105927,11.638722,0.061566,0.007817
2022-12-26T00:00:00Z,62.981129,26.219652,10.734306,0.05723,0.007682
