Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,57.699932,22.282346,19.596986,0.397369,0.023367
2022-01-03T00:00:00Z,59.032751,21.427094,19.100496,0.416623,0.023036
2022-01-10T00:00:00Z,57.264557,25.631808,16.776337,0.301727,0.025572
2022-01-17T00:00:00Z,59.058239,24.861655,15.786555,0.271286,0.022265
2022-01-24T00:00:00Z,57.070982,27.354453,15.312381,0.248407,0.013777
2022-01-31T00:00:00Z,61.330359,22.466982,15.848347,0.331698,0.022613
2022-02-07T00:00:00Z,61.026719,20.932481,17.676361,0.350791,0.013648
2022-02-14T00:00:00Z,59.814328,21.229476,18.649112,0.288603,0.018482
2022-02-21T00:00:00Z,60.0383,22.901484,16.752732,0.284079,0.023404
2022-02-28T00:00:00Z,60.484802,22.734093,16.458124,0.307068,0.015913
2022-03-07T00:00:00Z,60.726592,21.76857,17.235842,0.245346,0.02365
2022-03-14T00:00:00Z,60.39654,22.357466,16.9492,0.282795,0.014
2022-03-21T00:00:00Z,58.524208,23.532153,17.673258,0.254406,0.015975
2022-03-28T00:00:00Z,58.846496,20.928615,19.868672,0.333244,0.022974
2022-04-04T00:00:00Z,61.633619,20.291259,17.807428,0.252299,0.015394
2022-04-11T00:00:00Z,57.986948,23.197271,18.529677,0.266945,0.01916
2022-04-18T00:00:00Z,59.728031,20.474033,19.553756,0.230698,0.013483
2022-04-25T00:00:00Z,59.219773,21.585412,18.888271,0.279695,0.026849
2022-05-02T00:00:00Z,59.39268,21.155885,19.14842,0.290448,0.012567
2022-05-09T00:00:00Z,59.577986,20.770236,19.419564,0.217861,0.014353
2022-05-16T00:00:00Z,62.804355,20.815945,16.120716,0.24835,0.010634
2022-05-23T00:00:00Z,62.238309,21.457083,16.02335,0.266838,0.014421
2022-05-30T00:00:00Z,61.596125,20.501913,17.649241,0.232373,0.020348
2022-06-06T00:00:00Z,61.05414,21.230583,17.437223,0.265276,0.012778
2022-06-13T00:00:00Z,63.195133,20.194702,16.373693,0.224125,0.012347
2022-06-20T00:00:00Z,60.320078,21.83057,17.602767,0.233596,0.012989
2022-06-27T00:00:00Z,62.129808,21.754794,15.874905,0.22567,0.014823
2022-07-04T00:00:00Z,60.436104,22.017095,17.313402,0.226187,0.007212
2022-07-11T00:00:00Z,58.181193,22.526137,19.119514,0.163852,0.009304
2022-07-18T00:00:00Z,60.05885,22.320044,17.424705,0.186534,0.009867
2022-07-25T00:00:00Z,60.475053,23.862286,15.458571,0.191055,0.013035
2022-08-01T00:00:00Z,59.778727,23.375378,16.677034,0.158744,0.010117
2022-08-08T00:00:00Z,57.018872,25.053202,17.753632,0.162068,0.012225
2022-08-15T00:00:00Z,59.045872,26.403391,14.377136,0.14695,0.026652
2022-08-22T00:00:00Z,60.295789,25.655224,13.925156,0.114032,0.0098
2022-08-29T00:00:00Z,55.782531,28.719519,15.080246,0.407887,0.009816
2022-09-05T00:00:00Z,60.22759,26.878833,12.737819,0.134792,0.020965
2022-09-12T00:00:00Z,60.483371,26.272734,13.094967,0.137778,0.01115
2022-09-19T00:00:00Z,62.892817,23.986367,12.631158,0.462098,0.02756
2022-09-26T00:00:00Z,65.282913,21.860023,12.743668,0.107991,0.005405
2022-10-03T00:00:00Z,63.969532,22.894418,13.039219,0.086153,0.010678
2022-10-10T00:00:00Z,64.192167,22.706849,12.974316,0.111008,0.015659
2022-10-17T00:00:00Z,61.376739,25.904562,12.57185,0.117728,0.02912
2022-10-24T00:00:00Z,64.137534,23.080311,12.628312,0.10488,0.048963
2022-10-31T00:00:00Z,65.148415,21.528302,13.155955,0.122477,0.044851
2022-11-07T00:00:00Z,63.317039,22.529542,14.006509,0.110488,0.036422
2022-11-14T00:00:00Z,64.007674,22.292043,13.468652,0.204424,0.027206
2022-11-21T00:00:00Z,57.54452,21.505975,20.752266,0.181333,0.015905
2022-11-28T00:00:00Z,62.565027,21.170302,16.071844,0.180126,0.012702
2022-12-05T00:00:00Z,62.442016,21.499391,15.830226,0.217873,0.010494
2022-12-12T00:00:00Z,61.844922,24.165956,13.837156,0.137649,0.014316
2022-12-19T00:00:00Z,63.051799,23.79689,13.019504,0.11812,0.013687
2022-12-26T00:00:00Z,62.026605,24.827727,12.993715,0.135659,0.016294
