Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,57.425054,26.536403,15.738758,0.289079,0.010707
2022-01-03T00:00:00Z,59.009168,28.861072,11.671368,0.449577,0.008815
2022-01-10T00:00:00Z,58.497871,27.39547,13.680798,0.416183,0.009679
2022-01-17T00:00:00Z,59.618607,26.691708,13.527882,0.121352,0.040451
2022-01-24T00:00:00Z,63.037864,22.026217,14.658155,0.263145,0.014619
2022-01-31T00:00:00Z,62.638057,22.713093,14.40435,0.236068,0.008431
2022-02-07T00:00:00Z,59.937844,25.268946,14.338991,0.401626,0.052594
2022-02-14T00:00:00Z,62.653133,24.781239,12.425621,0.118131,0.021876
2022-02-21T00:00:00Z,59.671584,25.132202,14.987476,0.199462,0.009277
2022-02-28T00:00:00Z,62.577614,25.054539,12.246182,0.121665,0.0
2022-03-07T00:00:00Z,65.805334,22.200528,11.862418,0.127485,0.004235
2022-03-14T00:00:00Z,61.479114,24.921251,13.353116,0.241954,0.004565
2022-03-21T00:00:00Z,67.565184,21.802147,10.506135,0.122699,0.003834
2022-03-28T00:00:00Z,60.202982,27.250084,11.859177,0.68404,0.003718
2022-04-04T00:00:00Z,60.893035,23.085892,15.727426,0.293648,0.0
2022-04-11T00:00:00Z,61.012023,22.13552,16.784776,0.063699,0.003981
2022-04-18T00:00:00Z,51.141588,28.824125,19.675836,0.354555,0.003896
2022-04-25T00:00:00Z,58.092475,29.516795,12.316334,0.074396,0.0
2022-05-02T00:00:00Z,65.356933,22.095329,12.250294,0.293772,0.003672
2022-05-09T00:00:00Z,55.314827,29.496728,15.086888,0.101557,0.0
2022-05-16T00:00:00Z,58.207124,27.322572,14.240252,0.222384,0.007668
2022-05-23T00:00:00Z,60.403273,25.803624,13.692911,0.096017,0.004175
2022-05-30T00:00:00Z,65.112535,21.232805,13.598656,0.056005,0.0
2022-06-06T00:00:00Z,58.918344,19.917931,21.086969,0.076755,0.0
2022-06-13T00:00:00Z,58.324771,25.761374,15.782335,0.131519,0.0
2022-06-20T00:00:00Z,60.449122,24.747321,14.678167,0.125389,0.0
2022-06-27T00:00:00Z,62.058465,23.854294,13.816991,0.266443,0.003806
2022-07-04T00:00:00Z,54.403004,25.706755,19.66639,0.223851,0.0
2022-07-11T00:00:00Z,53.563598,30.431657,15.911296,0.079071,0.014377
2022-07-18T00:00:00Z,61.393268,24.195183,14.306687,0.104862,0.0
2022-07-25T00:00:00Z,58.491937,26.138436,15.234644,0.12806,0.006922
2022-08-01T00:00:00Z,55.948041,23.976215,19.962482,0.113262,0.0
2022-08-08T00:00:00Z,38.377769,51.096508,10.473151,0.045062,0.00751
2022-08-15T00:00:00Z,47.510227,36.769643,15.43236,0.28777,0.0
2022-08-22T00:00:00Z,58.716688,25.939499,15.250587,0.093227,0.0
2022-08-29T00:00:00Z,60.828638,16.68957,22.426824,0.048097,0.006871
2022-09-05T00:00:00Z,59.714627,26.118133,14.007895,0.155724,0.003621
2022-09-12T00:00:00Z,55.6492,18.5274,25.752874,0.063474,0.007053
2022-09-19T00:00:00Z,67.802919,16.808698,15.176152,0.212231,0.0
2022-09-26T00:00:00Z,46.111965,13.387779,40.457131,0.016172,0.026953
2022-10-03T00:00:00Z,63.251715,21.095116,15.488363,0.137899,0.026907
2022-10-10T00:00:00Z,69.935635,16.283305,13.636364,0.124738,0.019958
2022-10-17T00:00:00Z,63.729407,18.306976,17.762224,0.181584,0.019809
2022-10-24T00:00:00Z,57.043949,20.431285,22.442669,0.057468,0.024629
2022-10-31T00:00:00Z,64.552883,13.437991,21.751347,0.211378,0.0464
2022-11-07T00:00:00Z,64.074934,19.552796,16.247032,0.086101,0.039137
2022-11-14T00:00:00Z,66.722134,15.042849,18.104668,0.072108,0.058241
2022-11-21T00:00:00Z,67.817093,14.528088,17.480672,0.094989,0.079158
2022-11-28T00:00:00Z,63.629055,17.02238,19.094422,0.153004,0.101138
2022-12-05T00:00:00Z,64.02514,19.160203,16.592672,0.096282,0.125702
2022-12-12T00:00:00Z,63.505155,18.619887,17.499169,0.252744,0.123046
2022-12-19T00:00:00Z,64.876934,18.170803,16.775712,0.069235,0.107315
2022-12-26T00:00:00Z,66.235744,15.507696,18.123685,0.071974,0.060901
