Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,56.749405,28.011654,15.104647,0.128983,0.005311
2022-01-03T00:00:00Z,57.4691,28.458838,13.938577,0.12407,0.009415
2022-01-10T00:00:00Z,58.766999,27.076126,14.003616,0.149521,0.003738
2022-01-17T00:00:00Z,57.777108,28.972563,13.1297,0.11599,0.00464
2022-01-24T00:00:00Z,57.462926,28.145754,14.198324,0.148194,0.044803
2022-01-31T00:00:00Z,58.941532,28.268838,12.620326,0.166976,0.002328
2022-02-07T00:00:00Z,57.280278,28.417065,14.190299,0.108087,0.004271
2022-02-14T00:00:00Z,57.666033,28.616415,13.560614,0.154545,0.002393
2022-02-21T00:00:00Z,58.824553,27.973671,13.099043,0.100057,0.002677
2022-02-28T00:00:00Z,57.739176,28.91593,13.258365,0.083792,0.002736
2022-03-07T00:00:00Z,58.114062,28.776683,12.915448,0.188139,0.005668
2022-03-14T00:00:00Z,60.098274,26.201667,13.512113,0.182866,0.00508
2022-03-21T00:00:00Z,60.696275,27.16722,11.950321,0.183954,0.00223
2022-03-28T00:00:00Z,57.21778,26.853155,15.784307,0.142096,0.002662
2022-04-04T00:00:00Z,57.709251,27.923508,14.251585,0.115311,0.000345
2022-04-11T00:00:00Z,57.362502,29.017674,13.489135,0.123367,0.007322
2022-04-18T00:00:00Z,61.496488,26.296329,12.081164,0.125379,0.00064
2022-04-25T00:00:00Z,61.965184,27.29302,10.594782,0.145218,0.001797
2022-05-02T00:00:00Z,60.386122,28.197649,11.308061,0.106828,0.00134
2022-05-09T00:00:00Z,60.887842,27.781288,11.14576,0.181676,0.003434
2022-05-16T00:00:00Z,61.225178,27.918588,10.757068,0.094689,0.004476
2022-05-23T00:00:00Z,61.529372,28.232842,10.147224,0.08808,0.002481
2022-05-30T00:00:00Z,61.809643,27.493778,10.603824,0.090469,0.002286
2022-06-06T00:00:00Z,58.966272,29.173112,11.667166,0.167614,0.025835
2022-06-13T00:00:00Z,59.553616,27.700523,12.611067,0.12991,0.004884
2022-06-20T00:00:00Z,59.375234,28.655731,11.866775,0.101283,0.000977
2022-06-27T00:00:00Z,60.831119,30.220998,8.838586,0.106993,0.002304
2022-07-04T00:00:00Z,57.694992,33.075982,9.123029,0.104245,0.001752
2022-07-11T00:00:00Z,59.144888,31.408073,9.372705,0.069519,0.004815
2022-07-18T00:00:00Z,58.417545,32.36172,9.145901,0.068598,0.006236
2022-07-25T00:00:00Z,61.362574,29.487737,9.053372,0.092801,0.003516
2022-08-01T00:00:00Z,59.058388,33.188056,7.663724,0.083168,0.006664
2022-08-08T00:00:00Z,58.941841,31.779608,9.167638,0.109889,0.001025
2022-08-15T00:00:00Z,61.360069,30.911945,7.680875,0.045029,0.002082
2022-08-22T00:00:00Z,61.511997,28.688979,9.764307,0.029896,0.004822
2022-08-29T00:00:00Z,56.810788,34.40562,8.741374,0.038631,0.003587
2022-09-05T00:00:00Z,56.814471,33.421353,9.682255,0.080283,0.001638
2022-09-12T00:00:00Z,58.809773,31.850826,9.295781,0.04165,0.00197
2022-09-19T00:00:00Z,55.49554,34.880959,9.527731,0.092896,0.002873
2022-09-26T00:00:00Z,54.484988,37.508575,7.867523,0.130339,0.008575
2022-10-03T00:00:00Z,56.681252,31.668427,11.581219,0.064576,0.004526
2022-10-10T00:00:00Z,58.425423,32.101214,9.438663,0.031033,0.003668
2022-10-17T00:00:00Z,57.750733,33.622038,8.46348,0.163749,0.0
2022-10-24T00:00:00Z,61.495373,29.071431,9.373461,0.054495,0.00524
2022-10-31T00:00:00Z,59.168643,31.004715,9.73188,0.092419,0.002343
2022-11-07T00:00:00Z,55.731661,32.071047,12.129944,0.0655,0.001849
2022-11-14T00:00:00Z,54.851262,32.932759,12.137475,0.075879,0.002626
2022-11-21T00:00:00Z,56.730176,34.006282,9.195232,0.066115,0.002195
2022-11-28T00:00:00Z,54.504079,33.61191,11.834414,0.044293,0.005305
2022-12-05T00:00:00Z,54.890206,32.693904,12.357169,0.052048,0.006673
2022-12-12T00:00:00Z,52.813106,38.121902,9.000501,0.049821,0.01467
2022-12-19T00:00:00Z,57.941205,32.931602,9.038819,0.086065,0.00231
2022-12-26T00:00:00Z,56.759989,34.965041,8.195047,0.075483,0.00444
