Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,46.290968,27.525908,24.871921,1.273774,0.03743
2022-01-03T00:00:00Z,46.880618,28.82772,23.136014,1.142187,0.01346
2022-01-10T00:00:00Z,47.387256,28.426923,23.265445,0.89904,0.021336
2022-01-17T00:00:00Z,47.862614,30.145961,20.833373,1.090611,0.067441
2022-01-24T00:00:00Z,47.690004,28.595239,22.510105,1.167723,0.036928
2022-01-31T00:00:00Z,47.616957,30.59178,20.734237,1.037228,0.019798
2022-02-07T00:00:00Z,48.140558,26.933767,23.951095,0.946433,0.028147
2022-02-14T00:00:00Z,50.828856,25.924935,22.212768,1.022925,0.010516
2022-02-21T00:00:00Z,51.374445,25.008682,22.607973,0.922998,0.085903
2022-02-28T00:00:00Z,49.863037,25.563469,23.183684,1.362898,0.026912
2022-03-07T00:00:00Z,47.814587,27.117527,23.915562,1.1145,0.037824
2022-03-14T00:00:00Z,44.625399,26.909604,27.604956,0.851327,0.008714
2022-03-21T00:00:00Z,45.75072,28.528726,24.684858,0.908634,0.127062
2022-03-28T00:00:00Z,49.291727,24.567274,25.284707,0.843756,0.012536
2022-04-04T00:00:00Z,45.840126,27.397384,25.600478,1.121255,0.040756
2022-04-11T00:00:00Z,46.987653,23.313243,28.821772,0.855511,0.02182
2022-04-18T00:00:00Z,45.701709,25.142558,28.371567,0.752615,0.031551
2022-04-25T00:00:00Z,44.736342,21.12483,33.407111,0.710245,0.021473
2022-05-02T00:00:00Z,45.022876,24.26243,29.807239,0.896522,0.010933
2022-05-09T00:00:00Z,44.488999,24.812265,29.455405,1.193927,0.049404
2022-05-16T00:00:00Z,42.2151,25.561051,31.323811,0.885737,0.0143
2022-05-23T00:00:00Z,43.260963,21.998141,33.682734,1.041563,0.016599
2022-05-30T00:00:00Z,38.853118,27.8342,32.525722,0.758196,0.028764
2022-06-06T00:00:00Z,46.838988,23.049906,29.3528,0.736881,0.021425
2022-06-13T00:00:00Z,40.283732,22.942085,35.748224,0.919542,0.106418
2022-06-20T00:00:00Z,39.251367,22.918654,37.19539,0.626259,0.00833
2022-06-27T00:00:00Z,37.688589,26.486076,34.984606,0.827494,0.013234
2022-07-04T00:00:00Z,40.021833,24.203377,34.936712,0.822187,0.015891
2022-07-11T00:00:00Z,38.734923,22.153345,38.428601,0.662051,0.02108
2022-07-18T00:00:00Z,38.85082,22.988482,37.571554,0.578699,0.010446
2022-07-25T00:00:00Z,37.745959,22.570431,38.848976,0.801798,0.032836
2022-08-01T00:00:00Z,40.160349,22.290195,36.957941,0.5654,0.026115
2022-08-08T00:00:00Z,39.875334,17.992556,41.30698,0.802709,0.022422
2022-08-15T00:00:00Z,41.631233,18.830043,38.97874,0.544799,0.015186
2022-08-22T00:00:00Z,35.368114,22.01886,41.932054,0.664122,0.01685
2022-08-29T00:00:00Z,38.729827,21.352876,39.229078,0.664307,0.023913
2022-09-05T00:00:00Z,36.539781,17.930825,44.85871,0.649409,0.021275
2022-09-12T00:00:00Z,31.694278,23.675329,44.204401,0.404927,0.021066
2022-09-19T00:00:00Z,33.698925,17.185738,47.972519,1.056422,0.086397
2022-09-26T00:00:00Z,33.783074,17.039883,48.63716,0.407588,0.132296
2022-10-03T00:00:00Z,35.1279,13.554985,50.761088,0.411434,0.144594
2022-10-10T00:00:00Z,30.419733,17.734508,51.073852,0.391891,0.380016
2022-10-17T00:00:00Z,31.14049,16.896331,50.868822,0.52155,0.572808
2022-10-24T00:00:00Z,30.751291,15.84997,50.722446,2.056866,0.619427
2022-10-31T00:00:00Z,30.015083,14.630468,54.223228,0.648317,0.482905
2022-11-07T00:00:00Z,30.574155,15.702885,52.764566,0.409301,0.549093
2022-11-14T00:00:00Z,30.032423,16.644195,52.620343,0.36115,0.341889
2022-11-21T00:00:00Z,30.658279,14.28126,54.473431,0.371653,0.215377
2022-11-28T00:00:00Z,28.783423,14.970347,55.61758,0.363029,0.265622
2022-12-05T00:00:00Z,29.920294,14.286267,55.083888,0.457571,0.25198
2022-12-12T00:00:00Z,27.652934,16.785971,55.04362,0.319472,0.198002
2022-12-19T00:00:00Z,23.831725,14.381233,61.23313,0.394382,0.15953
2022-12-26T00:00:00Z,25.295434,14.614314,59.529836,0.415665,0.144751
