Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,66.579399,17.51938,15.301954,0.595089,0.004178
2022-01-03T00:00:00Z,65.354929,16.64002,15.949573,2.042955,0.012523
2022-01-10T00:00:00Z,65.761314,15.812804,16.376866,2.029097,0.019918
2022-01-17T00:00:00Z,66.123366,16.495463,16.58162,0.777491,0.022059
2022-01-24T00:00:00Z,64.527255,17.598499,17.206922,0.618917,0.048407
2022-01-31T00:00:00Z,63.596631,18.875589,17.077707,0.416823,0.033249
2022-02-07T00:00:00Z,67.662165,15.391584,16.283694,0.619947,0.042609
2022-02-14T00:00:00Z,67.184873,15.913254,16.121187,0.751787,0.0289
2022-02-21T00:00:00Z,67.059996,15.602187,16.434245,0.854958,0.048614
2022-02-28T00:00:00Z,68.087789,13.996214,16.771518,1.14448,0.0
2022-03-07T00:00:00Z,66.793714,16.287138,15.385139,1.531289,0.00272
2022-03-14T00:00:00Z,68.561489,15.720436,14.858951,0.858337,0.000787
2022-03-21T00:00:00Z,68.819361,14.706904,16.055373,0.417615,0.000747
2022-03-28T00:00:00Z,67.479073,14.283194,17.729659,0.50654,0.001534
2022-04-04T00:00:00Z,62.980129,16.277487,20.212688,0.529328,0.000368
2022-04-11T00:00:00Z,63.222212,19.122967,16.847173,0.805423,0.002224
2022-04-18T00:00:00Z,64.427808,16.935653,16.13739,2.498061,0.001087
2022-04-25T00:00:00Z,65.220754,16.828777,16.401304,1.546147,0.003018
2022-05-02T00:00:00Z,67.734839,15.793009,12.718045,3.745617,0.008489
2022-05-09T00:00:00Z,62.725176,19.270357,12.462388,5.539428,0.002651
2022-05-16T00:00:00Z,64.495758,15.572174,16.432379,3.499333,0.000357
2022-05-23T00:00:00Z,68.638817,14.294413,15.402145,1.645397,0.019228
2022-05-30T00:00:00Z,66.71856,14.981989,16.76673,1.531674,0.001047
2022-06-06T00:00:00Z,64.861445,14.872103,17.273259,2.98666,0.006532
2022-06-13T00:00:00Z,63.686658,16.011855,20.031341,0.269805,0.000341
2022-06-20T00:00:00Z,67.757189,13.084279,18.370669,0.787201,0.000662
2022-06-27T00:00:00Z,57.33804,13.142843,28.996326,0.518293,0.004497
2022-07-04T00:00:00Z,66.471393,13.44418,19.862671,0.219842,0.001914
2022-07-11T00:00:00Z,62.614747,12.731947,24.304508,0.347396,0.001402
2022-07-18T00:00:00Z,64.036964,13.974891,21.774241,0.21303,0.000874
2022-07-25T00:00:00Z,64.212926,12.528005,23.029386,0.22808,0.001603
2022-08-01T00:00:00Z,63.076098,14.615447,22.047482,0.252198,0.008775
2022-08-08T00:00:00Z,62.463433,11.412044,25.913131,0.190148,0.021244
2022-08-15T00:00:00Z,61.851458,13.321645,24.350266,0.467091,0.009539
2022-08-22T00:00:00Z,67.286268,12.052207,20.408756,0.238888,0.013881
2022-08-29T00:00:00Z,64.676468,11.190617,23.967916,0.163315,0.001684
2022-09-05T00:00:00Z,64.943827,13.039673,21.800665,0.214788,0.001046
2022-09-12T00:00:00Z,64.619224,14.226428,20.847842,0.30515,0.001356
2022-09-19T00:00:00Z,63.175171,15.307666,21.359802,0.140102,0.017259
2022-09-26T00:00:00Z,60.879648,13.182843,25.780295,0.155176,0.002037
2022-10-03T00:00:00Z,62.133163,14.171168,23.383081,0.311135,0.001454
2022-10-10T00:00:00Z,64.426939,12.305724,22.804858,0.461447,0.001032
2022-10-17T00:00:00Z,62.094716,12.423113,25.271348,0.20812,0.002703
2022-10-24T00:00:00Z,64.741149,13.379683,21.616205,0.261581,0.001382
2022-10-31T00:00:00Z,65.844225,13.899251,20.103098,0.151901,0.001525
2022-11-07T00:00:00Z,63.962011,13.661647,22.211062,0.163691,0.001589
2022-11-14T00:00:00Z,67.542356,11.541469,20.821214,0.091549,0.003412
2022-11-21T00:00:00Z,60.306117,12.117172,27.405838,0.17,0.000873
2022-11-28T00:00:00Z,64.709936,12.892201,22.127216,0.268758,0.001888
2022-12-05T00:00:00Z,62.515428,14.58016,22.738314,0.162487,0.003611
2022-12-12T00:00:00Z,60.535797,12.399715,26.930415,0.131915,0.002157
2022-12-19T00:00:00Z,63.822704,13.947934,22.018001,0.2102,0.001161
2022-12-26T00:00:00Z,62.299686,14.256227,23.21275,0.226423,0.004915
